Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,17918.8014519276,17726.1284037223,-8837.00686297364,n/a,0.468889584297052,1.55886609306585,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.03,0.08,0.19,0.02,0.17,0.04,0.05,0.16,0.08,0.09,0.03,0.06
GTR+G+I,27,17922.1761456786,17722.0970163911,-8833.98675358031,0.177802082209024,0.774763129974766,1.52276866975516,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.03,0.08,0.19,0.02,0.17,0.04,0.05,0.16,0.08,0.09,0.03,0.07
HKY+G,22,17927.4894547794,17764.4440114313,-8860.18068947494,n/a,0.453984170981779,1.57115184748998,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.05,0.05,0.2,0.03,0.17,0.06,0.03,0.16,0.06,0.1,0.05,0.05
HKY+G+I,23,17929.8272696284,17759.3744331475,-8856.64214063057,0.194821171262823,0.795148479693706,1.52402790097288,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.05,0.05,0.2,0.03,0.16,0.06,0.03,0.16,0.06,0.1,0.05,0.05
TN93+G,23,17936.7790415116,17766.3262050307,-8860.11802657218,n/a,0.453683419319399,1.57414459672773,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.05,0.05,0.19,0.03,0.17,0.06,0.03,0.17,0.06,0.09,0.05,0.05
TN93+G+I,24,17938.9870773335,17761.1271756119,-8856.5145882143,0.196310204976633,0.799042854520395,1.52782606897621,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.05,0.05,0.19,0.03,0.17,0.06,0.03,0.17,0.06,0.09,0.05,0.05
T92+G,20,17942.9989347516,17794.7692610242,-8877.35034199873,n/a,0.444008098694224,1.57736095396658,0.208598207008965,0.208598207008965,0.291401792991035,0.291401792991035,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G+I,21,17945.4772874662,17789.8395650627,-8873.88206208718,0.197665384282284,0.783038276877725,1.52841921895534,0.208598207008965,0.208598207008965,0.291401792991035,0.291401792991035,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+I,26,18062.1377956424,17869.4647474371,-8908.67503483104,0.367014428330383,n/a,1.26274715882222,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.03,0.08,0.17,0.02,0.16,0.05,0.05,0.15,0.09,0.09,0.04,0.07
HKY+I,22,18067.8848957187,17904.8394523706,-8930.37840994459,0.371374727843281,n/a,1.24343070751593,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.06,0.06,0.18,0.03,0.15,0.07,0.03,0.15,0.07,0.09,0.06,0.06
TN93+I,23,18076.3110238209,17905.85818734,-8929.88401772683,0.371443833185934,n/a,1.24807833804354,0.155745721271394,0.261450692746536,0.265281173594132,0.317522412387938,0.06,0.06,0.17,0.03,0.16,0.07,0.03,0.15,0.07,0.08,0.06,0.06
