Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,13449.07350736,13270.5167825091,-6611.21079109587,0.435714368677662,0.806612248463702,3.11686869260859,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.03,0.09,0.03,0.33,0.03,0.03,0.25,0.03,0.08,0.03,0.03
TN93+G,23,13459.527701855,13288.4071842462,-6621.15980345104,n/a,0.254432378011767,3.11052282344601,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.03,0.09,0.03,0.33,0.03,0.03,0.25,0.03,0.08,0.03,0.03
GTR+G+I,27,13474.263423773,13273.3999889141,-6609.64000397934,0.435838830807991,0.8134041038645,3.10863563397754,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.02,0.03,0.09,0.03,0.33,0.03,0.03,0.25,0.04,0.08,0.02,0.04
GTR+G,26,13483.4344473991,13290.0062638472,-6618.94743090005,n/a,0.254789876216808,3.09289253111553,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.02,0.03,0.1,0.02,0.33,0.02,0.03,0.25,0.04,0.08,0.02,0.04
T92+G+I,21,13498.6866925343,13342.4395448141,-6650.18312900605,0.449982255323586,0.838021825019181,2.79301097693561,0.2256927949327,0.2256927949327,0.2743072050673,0.2743072050673,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
T92+G,20,13499.5692344453,13350.75924922,-6655.34631506919,n/a,0.249566627830203,2.71719879561083,0.2256927949327,0.2256927949327,0.2743072050673,0.2743072050673,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G+I,20,13519.0418127504,13370.2318275251,-6665.08260422176,0.449443157911868,0.864941271631838,2.69086566976661,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G,19,13519.2025509102,13377.830046446,-6669.88488840934,n/a,0.254644150399542,2.62893075688029,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+I,23,13519.414910531,13348.2943929222,-6651.10340778904,0.569505566593769,n/a,2.31219006765671,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.04,0.11,0.04,0.28,0.04,0.04,0.21,0.04,0.1,0.03,0.04
HKY+G+I,23,13519.493804918,13348.3732873092,-6651.14285498252,0.45627593148005,0.873472804470747,2.78626624824635,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.04,0.2,0.03,0.21,0.03,0.03,0.16,0.03,0.17,0.03,0.04
HKY+G,22,13520.9544057105,13357.2704138372,-6656.59507048646,n/a,0.250037542338828,2.71321712775669,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.04,0.2,0.03,0.21,0.04,0.03,0.16,0.04,0.17,0.03,0.04
GTR+I,26,13542.239374664,13348.8111911122,-6648.34989453254,0.569504406797378,n/a,2.317507930927,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.04,0.11,0.03,0.28,0.04,0.03,0.21,0.05,0.1,0.03,0.05
T92+I,20,13567.8620952495,13419.0521100242,-6689.4927454713,0.579184308463081,n/a,2.28273457191834,0.2256927949327,0.2256927949327,0.2743072050673,0.2743072050673,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+I,19,13584.4367109948,13443.0642065305,-6702.50196845163,0.578646841650871,n/a,2.24025137825381,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,13585.8073609855,13422.1233691122,-6689.02154812397,0.579315446777736,n/a,2.29020032298292,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.04,0.19,0.04,0.2,0.04,0.04,0.15,0.04,0.16,0.03,0.04
JC+G,18,14037.1929297808,13903.2582242679,-6933.60199295231,n/a,0.28557247285711,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,14046.6370662808,13905.2645618165,-6933.60214609461,9.99E-6,0.285593704276695,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,14071.6289828301,13937.6942773172,-6950.82001947693,0.57408348245908,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,14422.0750937832,14258.3911019099,-7107.15541452279,n/a,n/a,1.85999477193727,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.04,0.05,0.1,0.04,0.26,0.05,0.04,0.2,0.05,0.09,0.04,0.05
GTR,25,14440.2692265106,14254.2766129867,-7102.08673556349,n/a,n/a,1.8627975782804,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.03,0.04,0.11,0.03,0.26,0.04,0.04,0.2,0.06,0.09,0.03,0.06
K2,18,14508.38138751,14374.4466819971,-7169.19622181689,n/a,n/a,1.83226113533979,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92,19,14509.198267739,14367.8257632747,-7164.88274682373,n/a,n/a,1.83756612705271,0.2256927949327,0.2256927949327,0.2743072050673,0.2743072050673,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY,21,14529.85151179,14373.6043640698,-7165.76553863391,n/a,n/a,1.83818336700145,0.234441805225653,0.216943784639747,0.281868566904196,0.266745843230404,0.04,0.05,0.17,0.04,0.18,0.05,0.04,0.14,0.05,0.15,0.04,0.05
JC,17,14938.6334434428,14812.136854996,-7389.04416489095,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
