Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,20033.0951971605,19873.479247155,-9915.70840314232,0.364067138371979,1.20716327920363,1.96315881489961,0.210323886639676,0.210323886639676,0.289676113360324,0.289676113360324,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+G+I,24,20044.6233311643,19862.2148500745,-9907.06687079596,0.365079784252312,1.22365465160198,2.01057712003411,0.20391363022942,0.216734143049933,0.278677462887989,0.300674763832659,0.04,0.05,0.16,0.03,0.23,0.05,0.03,0.18,0.05,0.11,0.04,0.05
T92+G,20,20055.6674541653,19903.6495567802,-9931.79639809415,n/a,0.358971727013114,2.08156493394885,0.210323886639676,0.210323886639676,0.289676113360324,0.289676113360324,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
HKY+G+I,23,20056.8173375606,19882.0060956478,-9917.96574044351,0.360561579539566,1.18097157446426,1.95962637776668,0.20391363022942,0.216734143049933,0.278677462887989,0.300674763832659,0.04,0.05,0.2,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.04,0.05
GTR+G+I,27,20065.536710715,19860.3381398608,-9903.11796122301,0.354927966034618,1.13065750337528,2.03168554861871,0.20391363022942,0.216734143049933,0.278677462887989,0.300674763832659,0.03,0.06,0.16,0.02,0.23,0.04,0.04,0.18,0.05,0.11,0.03,0.04
TN93+G,23,20068.9902046728,19894.17896276,-9924.05217399961,n/a,0.358749326047919,2.13214696522429,0.20391363022942,0.216734143049933,0.278677462887989,0.300674763832659,0.03,0.04,0.16,0.03,0.24,0.05,0.03,0.18,0.05,0.11,0.03,0.04
HKY+G,22,20078.4309564557,19911.2172249226,-9933.57441634048,n/a,0.359889853495145,2.07602658871385,0.20391363022942,0.216734143049933,0.278677462887989,0.300674763832659,0.03,0.04,0.2,0.03,0.19,0.05,0.03,0.15,0.05,0.14,0.03,0.04
GTR+G,26,20086.5119120227,19888.9097664072,-9918.4074283263,n/a,0.356628840721138,2.14650511338563,0.20391363022942,0.216734143049933,0.278677462887989,0.300674763832659,0.02,0.06,0.16,0.02,0.24,0.04,0.04,0.18,0.05,0.11,0.03,0.04
T92+I,20,20140.5400395672,19988.5221421821,-9974.2326907951,0.451158863558706,n/a,1.63302285895879,0.210323886639676,0.210323886639676,0.289676113360324,0.289676113360324,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+I,23,20152.1056479995,19977.2944060867,-9965.60989566298,0.449744187446593,n/a,1.65182645119766,0.20391363022942,0.216734143049933,0.278677462887989,0.300674763832659,0.04,0.05,0.15,0.04,0.21,0.06,0.04,0.16,0.06,0.1,0.04,0.05
K2+G+I,20,20157.7597106868,20005.7418133017,-9982.84252635489,0.361854222683612,1.31539351332516,1.78055033931874,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
