Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,20854.1704527363,20641.7046682885,-10293.8132684146,0.453042599903834,1.45522627707702,1.87635653520546,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.01,0.05,0.13,0.01,0.26,0.06,0.04,0.19,0.07,0.09,0.04,0.06
TN93+G+I,24,20860.9350136111,20672.0690878438,-10312.0035441802,0.450464830749748,1.37852809142947,1.88882261805969,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.03,0.05,0.13,0.04,0.26,0.05,0.04,0.18,0.05,0.09,0.03,0.05
GTR+G,26,20867.8659092274,20663.2665370978,-10305.5969951029,n/a,0.320229797983803,1.91022306697741,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.01,0.05,0.13,0.01,0.27,0.05,0.04,0.19,0.07,0.09,0.03,0.06
TN93+G,23,20876.469629017,20695.4707372296,-10324.7068503259,n/a,0.315417309500628,1.92601698471946,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.03,0.05,0.13,0.04,0.26,0.05,0.04,0.19,0.05,0.09,0.03,0.05
T92+G+I,21,20879.5914826537,20714.3272802631,-10336.1397740297,0.458890125200992,1.44856978634046,1.79907671473393,0.20577915376677,0.20577915376677,0.29422084623323,0.29422084623323,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G,20,20891.4177748024,20734.0212277645,-10346.9889185468,n/a,0.315439128763647,1.82206209207834,0.20577915376677,0.20577915376677,0.29422084623323,0.29422084623323,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+I,26,20904.660413057,20700.0610409274,-10323.9942470177,0.541163416847661,n/a,1.66039873443171,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.01,0.05,0.14,0.01,0.24,0.07,0.04,0.17,0.07,0.1,0.04,0.06
TN93+I,23,20917.9077756232,20736.9088838358,-10345.425923629,0.540814544495392,n/a,1.65083196190266,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.04,0.05,0.14,0.04,0.23,0.06,0.04,0.17,0.06,0.09,0.04,0.05
HKY+G+I,23,20920.3306425018,20739.3317507144,-10346.6373570683,0.455594565071214,1.40086867615641,1.81976137545522,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.03,0.05,0.2,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
HKY+G,22,20931.4569762433,20758.3253255921,-10357.1365223818,n/a,0.314625053327407,1.84341196890977,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.03,0.05,0.2,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
T92+I,20,20932.4641566829,20775.067609645,-10367.512109487,0.545707905027176,n/a,1.6192603422429,0.20577915376677,0.20577915376677,0.29422084623323,0.29422084623323,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+I,22,20975.723885588,20802.5922349369,-10379.2699770541,0.545580609056769,n/a,1.62665865403941,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.05
K2+G+I,20,21031.1723619525,20873.7758149146,-10416.8662121218,0.472173880951337,1.84650742657751,1.66323787970612,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,21042.8999239146,20893.3712392895,-10427.6659915456,n/a,0.331635780568405,1.68999983276157,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,21067.147786542,20917.6191019169,-10439.7899228593,0.544027575737237,n/a,1.55232718395463,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,21471.1916013403,21321.6629167152,-10641.8118302584,0.488115974197047,2.75519318032839,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,21487.9765593382,21346.3159441539,-10655.1403077001,n/a,0.358330767553757,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,21488.9707868951,21347.3101717108,-10655.6374214785,0.539874546500294,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,22051.1599334525,21878.0282828014,-10916.9880009864,n/a,n/a,1.35607723843453,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.04,0.06,0.13,0.04,0.21,0.06,0.04,0.15,0.06,0.09,0.04,0.06
GTR,25,22056.1312516961,21859.3984991373,-10904.66566478,n/a,n/a,1.18422147194196,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.04,0.06,0.13,0.04,0.19,0.06,0.04,0.14,0.09,0.09,0.04,0.08
T92,19,22075.964753075,21926.4360684499,-10944.1984061258,n/a,n/a,1.34547029242602,0.20577915376677,0.20577915376677,0.29422084623323,0.29422084623323,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY,21,22117.3988094298,21952.1346070392,-10955.0434374177,n/a,n/a,1.34358406671002,0.214654282765738,0.196904024767802,0.27703818369453,0.31140350877193,0.04,0.06,0.18,0.05,0.16,0.07,0.05,0.11,0.07,0.12,0.04,0.06
K2,18,22156.8612585005,22015.2006433162,-10989.5826572813,n/a,n/a,1.33867571214704,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,22527.6396531173,22393.8473143696,-11179.9078530324,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
