Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G,22,4733.7189045901,4599.58891530321,-2277.64144888233,n/a,0.372649849333786,2.61636220458388,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.04,0.03,0.21,0.02,0.18,0.04,0.02,0.21,0.04,0.12,0.04,0.03
TN93+G,23,4739.24651464037,4599.03371852597,-2276.34989011598,n/a,0.363345078511704,2.7892512785769,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.04,0.03,0.17,0.02,0.22,0.04,0.02,0.25,0.04,0.1,0.04,0.03
HKY+G+I,23,4741.82964655161,4601.61685043721,-2277.6414560716,0,0.372674289709648,2.61618937869987,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.04,0.03,0.21,0.02,0.18,0.04,0.02,0.21,0.04,0.12,0.04,0.03
TN93+G+I,24,4747.35725424931,4601.0628784909,-2276.34989612896,0,0.36336715137953,2.78907752741135,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.04,0.03,0.17,0.02,0.22,0.04,0.02,0.25,0.04,0.1,0.04,0.03
T92+G,20,4753.49721801659,4631.53651948493,-2295.64133317855,n/a,0.38690211737833,2.44927150081707,0.232582582582583,0.232582582582583,0.267417417417417,0.267417417417417,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G,19,4756.29891781027,4640.42470098451,-2301.09754686688,n/a,0.406760343963068,2.31924076488251,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,4761.60793805498,4633.56198166621,-2295.64132940626,0,0.3868868165813,2.44935117884686,0.232582582582583,0.232582582582583,0.267417417417417,0.267417417417417,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
GTR+G,26,4762.10604687604,4603.65219783859,-2275.61356485935,n/a,0.365327122747745,2.77036116751894,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.04,0.04,0.17,0.02,0.21,0.03,0.03,0.25,0.04,0.1,0.03,0.04
K2+G+I,20,4764.40966775943,4642.44896922778,-2301.09755804997,0.00001,0.406719266104349,2.31947047853215,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G+I,27,4770.21682553256,4605.68508509267,-2275.61359039612,0,0.365370761186709,2.76990465380932,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.04,0.04,0.17,0.02,0.21,0.03,0.03,0.25,0.04,0.1,0.03,0.04
HKY+I,22,4809.81124907449,4675.68125978761,-2315.68762112453,0.345152223882986,n/a,1.83278031282325,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.05,0.04,0.18,0.03,0.16,0.05,0.03,0.19,0.05,0.11,0.05,0.04
TN93+I,23,4814.0837427498,4673.87094663539,-2313.76850417069,0.345940459614207,n/a,1.89633474301265,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.05,0.04,0.15,0.03,0.19,0.05,0.03,0.22,0.05,0.09,0.05,0.04
K2+I,19,4825.36650289854,4709.49228607278,-2335.63133941101,0.342965244986343,n/a,1.71636005865179,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+I,20,4826.96467695536,4705.00397842371,-2332.37506264794,0.345104542808335,n/a,1.75835034315888,0.232582582582583,0.232582582582583,0.267417417417417,0.267417417417417,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+I,26,4834.59728871922,4676.14343968178,-2311.85918578094,0.344079191061009,n/a,1.89571002996242,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.05,0.04,0.15,0.03,0.19,0.04,0.03,0.22,0.07,0.09,0.04,0.06
JC+G,18,4888.41676797629,4778.63025559631,-2371.21183574137,n/a,0.496067847764258,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,4896.52754840597,4780.65333158021,-2371.21186216473,0.00001,0.495526370750003,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,4934.04473272647,4824.25822034649,-2394.02581811646,0.335322547400322,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,4964.46189670269,4836.41594031391,-2397.06830873011,n/a,n/a,1.42773917690453,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.06,0.05,0.17,0.03,0.15,0.06,0.03,0.17,0.06,0.1,0.06,0.05
K2,18,4967.74297444385,4857.95646206387,-2410.87493897516,n/a,n/a,1.41135412914324,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93,22,4971.80280696191,4837.67281767502,-2396.68340006823,n/a,n/a,1.43207152420474,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.06,0.05,0.16,0.03,0.16,0.06,0.03,0.18,0.06,0.09,0.06,0.05
T92,19,4975.41502310321,4859.54080627745,-2410.65559951335,n/a,n/a,1.411657774264,0.232582582582583,0.232582582582583,0.267417417417417,0.267417417417417,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.14,0.06,0.14,0.05,0.06
GTR,25,4985.56653060531,4833.19180350068,-2391.39917051547,n/a,n/a,1.43460949465427,0.16996996996997,0.295195195195195,0.250750750750751,0.284084084084084,0.05,0.04,0.16,0.03,0.16,0.05,0.03,0.19,0.08,0.09,0.05,0.07
JC,17,5061.02276616729,4957.32517986542,-2461.57019862836,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
