Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,22335.3466542327,22145.2112308407,-11048.5762108626,0.462072107430148,1.56190720871556,2.52670630149965,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.03,0.04,0.12,0.03,0.3,0.04,0.03,0.22,0.04,0.09,0.03,0.04
GTR+G+I,27,22338.6730199391,22124.7786187495,-11035.3522541841,0.465430639052849,1.67544733698071,2.50443668537937,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.01,0.04,0.12,0.02,0.3,0.04,0.03,0.22,0.05,0.09,0.03,0.05
TN93+G,23,22364.0750949382,22181.8597238533,-11067.9028110592,n/a,0.311332478607032,2.60282196459056,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.03,0.04,0.12,0.03,0.31,0.04,0.03,0.22,0.04,0.09,0.03,0.04
GTR+I,26,22390.3826550382,22184.4077165649,-11066.1694515775,0.534544116398447,n/a,2.17201949505669,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.02,0.04,0.13,0.02,0.28,0.05,0.03,0.2,0.06,0.1,0.03,0.05
GTR+G,26,22391.8733587692,22185.8984202959,-11066.9148034431,n/a,0.326928714407189,2.23002279848172,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.03,0.03,0.13,0.03,0.28,0.04,0.03,0.2,0.06,0.1,0.03,0.05
T92+G+I,21,22401.6161521079,22235.2414750261,-11096.5980993319,0.454209073617164,1.452085737349,2.27886990457241,0.211722956436613,0.211722956436613,0.288277043563387,0.288277043563387,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,22408.2413505741,22226.0259794892,-11089.9859388772,0.535026292090957,n/a,1.80043244135047,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.03,0.05,0.13,0.04,0.24,0.05,0.04,0.17,0.05,0.1,0.03,0.05
T92+G,20,22415.6280059667,22257.173970523,-11108.5664061052,n/a,0.318435829411373,2.31349107038357,0.211722956436613,0.211722956436613,0.288277043563387,0.288277043563387,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G+I,23,22447.9262990525,22265.7109279676,-11109.8284131164,0.45439912098348,1.44668518423335,2.30158763895969,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.03,0.04,0.21,0.03,0.2,0.04,0.03,0.14,0.04,0.16,0.03,0.04
HKY+G,22,22461.6793862655,22287.3842639604,-11121.6673365668,n/a,0.317318064484405,2.3401872510666,0.224473813020069,0.198972099853157,0.278756730298581,0.297797356828194,0.03,0.04,0.21,0.03,0.2,0.04,0.03,0.14,0.04,0.16,0.03,0.04
