Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,10359.8390670722,10198.0607046602,-5075.96468494966,n/a,0.356349895912539,2.85085337481024,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.03,0.04,0.11,0.03,0.32,0.04,0.03,0.23,0.04,0.08,0.03,0.04
TN93+G+I,24,10361.2941775731,10192.4877005086,-5072.17246417458,0.31179515525994,0.874023855538276,2.68651574656044,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.03,0.04,0.11,0.03,0.31,0.04,0.03,0.22,0.04,0.09,0.03,0.04
T92+G+I,21,10379.835985712,10232.1152879788,-5095.00269632054,0.355787901612145,1.12959436485846,2.37007219506445,0.215005931198102,0.215005931198102,0.284994068801898,0.284994068801898,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+G,20,10381.3644387156,10240.6732906675,-5100.28669884783,n/a,0.373907372744459,2.46222395621361,0.215005931198102,0.215005931198102,0.284994068801898,0.284994068801898,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+G,26,10383.1611118705,10200.2998417292,-5074.06637927232,n/a,0.362492592332565,2.81586765744471,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.02,0.04,0.11,0.02,0.32,0.03,0.03,0.23,0.05,0.08,0.02,0.05
GTR+G+I,27,10384.8995999651,10195.0116517413,-5070.41584729412,0.310338233290539,0.886388670734761,2.66550568751351,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.02,0.04,0.11,0.02,0.31,0.03,0.03,0.22,0.05,0.09,0.02,0.05
HKY+G+I,23,10403.9708818544,10242.1925194424,-5098.03059234075,0.357135741181116,1.13297318398865,2.38916876947771,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.14,0.04,0.16,0.03,0.04
HKY+G,22,10405.6442963575,10250.8945271128,-5103.3870756178,n/a,0.37236885054998,2.48583069597024,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.16,0.03,0.04
TN93+I,23,10409.2552274957,10247.4768650836,-5100.67276516138,0.463990459802239,n/a,2.04779977486716,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.03,0.05,0.13,0.04,0.26,0.05,0.04,0.18,0.05,0.1,0.03,0.05
T92+I,20,10415.5180831526,10274.8269351045,-5117.36352106636,0.470500821981567,n/a,2.00612404132399,0.215005931198102,0.215005931198102,0.284994068801898,0.284994068801898,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,10431.420782472,10248.5595123307,-5098.19621457307,0.463396144529451,n/a,2.06635183393993,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.02,0.05,0.13,0.03,0.26,0.04,0.04,0.19,0.05,0.11,0.03,0.05
K2+G+I,20,10438.7008975013,10298.0097494532,-5128.9549282407,0.35968714289609,1.31601667425655,2.14817579994922,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,10439.2526385314,10284.5028692868,-5120.19124670476,0.470745158830375,n/a,2.01751973357707,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.03,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.15,0.03,0.05
K2+G,19,10439.8970090419,10306.2358886818,-5134.07276003648,n/a,0.407847915831105,2.21498319704516,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,10468.160652316,10334.4995319559,-5148.20458167354,0.466962845506447,n/a,1.89609873396454,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,10763.9235504302,10630.2624300701,-5296.08603073063,0.396507131930126,2.39740812036611,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10770.5173130113,10643.8866981716,-5303.90268804669,n/a,0.477830838802165,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10775.5317087724,10648.9010939327,-5306.40988592724,0.461545144219694,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,10908.0576733455,10753.3079041009,-5354.59376411181,n/a,n/a,1.65514303687977,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.04,0.05,0.12,0.04,0.24,0.05,0.04,0.17,0.05,0.1,0.04,0.05
GTR,25,10914.6165075222,10738.782394491,-5344.31385312367,n/a,n/a,1.65845810937282,0.225622775800712,0.204389086595492,0.284816132858838,0.285172004744958,0.02,0.05,0.13,0.02,0.24,0.05,0.04,0.17,0.07,0.1,0.03,0.07
