Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,15868.4237603968,15700.5153911197,-7827.20735815331,n/a,0.665129732296458,1.88944095445403,0.259599636032757,0.190536851683349,0.255959963603276,0.293903548680619,0.03,0.04,0.13,0.04,0.24,0.05,0.04,0.18,0.05,0.11,0.03,0.04
TN93+G+I,24,15877.7286623931,15702.52431638,-7827.20743862777,0.00001,0.664962439327431,1.88977703907917,0.259599636032757,0.190536851683349,0.255959963603276,0.293903548680619,0.03,0.04,0.13,0.04,0.24,0.05,0.04,0.18,0.05,0.11,0.03,0.04
T92+G,20,15883.8618742017,15737.8436327049,-7848.88352662686,n/a,0.660748856447269,1.84237384671521,0.225068243858053,0.225068243858053,0.274931756141947,0.274931756141947,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+G,26,15889.9987845361,15700.2035844386,-7824.03775865186,n/a,0.710135084244621,1.65167188646446,0.259599636032757,0.190536851683349,0.255959963603276,0.293903548680619,0.03,0.05,0.14,0.05,0.21,0.04,0.05,0.16,0.07,0.12,0.03,0.06
T92+G+I,21,15893.166519686,15739.8512027673,-7848.88347884534,0.00001,0.660447466217491,1.84284557522335,0.225068243858053,0.225068243858053,0.274931756141947,0.274931756141947,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+G+I,27,15893.2839009015,15696.1938236562,-7821.02794631087,0.00001,0.709527848313953,1.68653577893765,0.259599636032757,0.190536851683349,0.255959963603276,0.293903548680619,0.03,0.05,0.14,0.04,0.22,0.04,0.05,0.16,0.07,0.12,0.03,0.06
HKY+G,22,15911.686527896,15751.0745016837,-7853.49111242662,n/a,0.652066463116818,1.87550359701241,0.259599636032757,0.190536851683349,0.255959963603276,0.293903548680619,0.03,0.04,0.19,0.05,0.17,0.05,0.05,0.12,0.05,0.17,0.03,0.04
HKY+G+I,23,15920.9914643294,15753.0830950523,-7853.49121011962,0.00001,0.65187488623681,1.87585277140659,0.259599636032757,0.190536851683349,0.255959963603276,0.293903548680619,0.03,0.04,0.19,0.05,0.17,0.05,0.05,0.12,0.05,0.17,0.03,0.04
K2+G,19,15938.4994207525,15799.7786207061,-7880.85467042598,n/a,0.704679311232865,1.76771133622645,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,15947.8043376373,15801.7860961406,-7880.85475834469,0.00001,0.704269270157834,1.76820298215097,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
