Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,4548.79311594799,4427.20075175973,-2193.47110533508,n/a,0.446188412675834,1.32012496329436,0.232262996941896,0.232262996941896,0.267737003058104,0.267737003058104,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
T92+G+I,21,4551.44900320986,4423.79003542676,-2190.75277633407,0.346475243116782,1.44919010144907,1.29238117771093,0.232262996941896,0.232262996941896,0.267737003058104,0.267737003058104,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G,19,4552.32642420084,4436.80191034075,-2199.28403209345,n/a,0.458489034827855,1.28293759348215,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,4554.45935633558,4432.86699214732,-2196.30422552887,0.352051238215873,1.57775047409642,1.25714686340229,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93+G,23,4561.58019175529,4421.79176159152,-2187.72582534289,n/a,0.436007886264326,1.39159530971233,0.261162079510703,0.203363914373089,0.246788990825688,0.28868501529052,0.04,0.05,0.11,0.05,0.21,0.06,0.05,0.17,0.06,0.1,0.04,0.05
TN93+G+I,24,4563.64614511814,4417.79485847658,-2184.71252939237,0.340398941594742,1.37026001722558,1.34890712306054,0.261162079510703,0.203363914373089,0.246788990825688,0.28868501529052,0.04,0.05,0.11,0.05,0.21,0.06,0.05,0.17,0.06,0.1,0.04,0.05
T92+I,20,4563.97370273012,4442.38133854186,-2201.06139872615,0.442491926548042,n/a,1.18017870070348,0.232262996941896,0.232262996941896,0.267737003058104,0.267737003058104,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+I,19,4564.98199817268,4449.45748431259,-2205.61181907937,0.441484580983633,n/a,1.16370962255703,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
HKY+G,22,4568.28076325167,4434.55643975897,-2195.12238372303,n/a,0.440291593752976,1.34444692444044,0.261162079510703,0.203363914373089,0.246788990825688,0.28868501529052,0.04,0.05,0.16,0.06,0.14,0.06,0.06,0.12,0.06,0.15,0.04,0.05
HKY+G+I,23,4570.83159567057,4431.0431655068,-2192.35152730053,0.34473700592256,1.39479804117609,1.31397138749815,0.261162079510703,0.203363914373089,0.246788990825688,0.28868501529052,0.04,0.05,0.16,0.06,0.14,0.06,0.06,0.11,0.06,0.15,0.04,0.05
