Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,31469.9518987959,31256.2169939835,-15601.0712225612,0.271006292764808,1.28819481811324,1.44631138389993,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.02,0.08,0.14,0.02,0.2,0.05,0.07,0.17,0.08,0.1,0.03,0.06
TN93+G+I,24,31500.5506093707,31310.5569186735,-15631.2488808305,0.287200378502666,1.4222496401612,1.45310338015318,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.04,0.05,0.13,0.04,0.2,0.06,0.04,0.17,0.06,0.1,0.04,0.05
T92+G+I,21,31501.1405556393,31334.8898580573,-15646.4221569466,0.283736142069048,1.40156309843574,1.41318379544994,0.216395864106352,0.216395864106352,0.283604135893648,0.283604135893648,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G,20,31534.7421005067,31376.40612916,-15668.1823637076,n/a,0.475350237297325,1.50055267778477,0.216395864106352,0.216395864106352,0.283604135893648,0.283604135893648,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G,23,31537.8687505874,31355.7891933009,-15654.8673857661,n/a,0.468339774880522,1.54064744174753,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.04,0.05,0.14,0.04,0.21,0.06,0.04,0.17,0.06,0.1,0.04,0.05
HKY+G+I,23,31545.0533669982,31362.9738097117,-15658.4596939715,0.279559599043379,1.35367297473626,1.40989289030713,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.04,0.05,0.18,0.05,0.15,0.06,0.05,0.12,0.06,0.13,0.04,0.05
GTR+G,26,31546.1935477189,31340.3721832294,-15644.15148135,n/a,0.488983054344631,1.31312032432936,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.04,0.07,0.15,0.05,0.17,0.04,0.06,0.14,0.07,0.11,0.03,0.06
HKY+G,22,31576.1546815351,31401.9894552968,-15678.9697855673,n/a,0.474284447257158,1.49696338848287,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.04,0.05,0.19,0.04,0.15,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+G+I,20,31667.5178947,31509.1819233533,-15734.5702608043,0.284818627783771,1.52182509026424,1.32304757912232,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+I,20,31674.7251916152,31516.3892202685,-15738.1739092619,0.363593538109089,n/a,1.21707279328865,0.216395864106352,0.216395864106352,0.283604135893648,0.283604135893648,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
TN93+I,23,31678.2914577127,31496.2119004262,-15725.0787393287,0.362496854664158,n/a,1.232203948472,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.05,0.06,0.14,0.05,0.18,0.07,0.05,0.15,0.07,0.1,0.05,0.06
K2+G,19,31703.6982480016,31553.27720044,-15757.6198717823,n/a,0.504603275180579,1.39264133374785,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+I,26,31708.6772431719,31502.8558786824,-15725.3933290765,0.361743249436981,n/a,1.08680060443895,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.05,0.07,0.14,0.05,0.16,0.06,0.06,0.13,0.08,0.1,0.04,0.07
HKY+I,22,31725.5853181816,31551.4200919432,-15753.6851038905,0.363264155581031,n/a,1.20365493404814,0.223535204332841,0.209256523879862,0.256573116691285,0.310635155096012,0.05,0.06,0.17,0.05,0.14,0.07,0.05,0.11,0.07,0.12,0.05,0.06
K2+I,19,31824.6929535127,31674.2719059511,-15818.1172245379,0.36239877723612,n/a,1.17143214767142,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,32070.229024537,31919.8079769754,-15940.88526005,0.296517663545786,1.91934519579944,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
