Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,26640.3187752787,26425.6793730559,-13185.8036384638,0.395514568164119,1.79082930347413,1.91807497413075,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.02,0.06,0.12,0.02,0.26,0.03,0.05,0.2,0.07,0.09,0.02,0.06
TN93+G+I,24,26657.9183051786,26467.1208509431,-13209.5318199888,0.408937056674161,2.03853270668511,1.89966234199002,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.05,0.12,0.04,0.26,0.05,0.04,0.2,0.05,0.09,0.04,0.05
TN93+G,23,26715.5070626663,26532.657306761,-13243.302337591,n/a,0.394620850176235,2.03098307132834,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.03,0.04,0.11,0.04,0.27,0.05,0.04,0.21,0.05,0.09,0.03,0.04
T92+G+I,21,26718.9206270822,26551.966841175,-13254.9613975157,0.415933291402574,2.10694616096768,1.78380102509154,0.217571428571429,0.217571428571429,0.282428571428571,0.282428571428571,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,26722.5101910074,26515.8179135858,-13231.8754851865,n/a,0.417035899118271,1.73430520797556,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.06,0.12,0.04,0.24,0.03,0.05,0.19,0.07,0.09,0.02,0.06
TN93+I,23,26725.630868232,26542.7811123268,-13248.3642403739,0.463838660827542,n/a,1.66978671546268,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.05,0.12,0.04,0.23,0.05,0.04,0.18,0.05,0.09,0.04,0.05
GTR+I,26,26745.2939996135,26538.6017221918,-13243.2673894896,0.46371989479174,n/a,1.52333823852194,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.05,0.13,0.04,0.22,0.04,0.04,0.17,0.07,0.1,0.03,0.06
HKY+G+I,23,26769.6419774663,26586.792221561,-13270.369794991,0.415089725329591,2.07517120837698,1.80007739022121,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.05
T92+G,20,26772.6711386798,26613.6656243857,-13286.8127921728,n/a,0.399457421304203,1.86690808246022,0.217571428571429,0.217571428571429,0.282428571428571,0.282428571428571,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+I,20,26782.1076010615,26623.1020867674,-13291.5310233637,0.469493205016149,n/a,1.62434864768091,0.217571428571429,0.217571428571429,0.282428571428571,0.282428571428571,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,26822.7585983794,26647.856731926,-13301.9042443059,n/a,0.39858684480956,1.88694124428766,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.14,0.05,0.15,0.04,0.05
HKY+I,22,26834.2127754838,26659.3109090303,-13307.6313328581,0.46947198305142,n/a,1.63123037379511,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.05,0.18,0.04,0.17,0.06,0.04,0.13,0.06,0.14,0.04,0.05
K2+G+I,20,26850.6558745835,26691.6503602894,-13325.8051601247,0.414872143842088,2.32945370660422,1.67123972982195,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,26903.8337052922,26752.776653651,-13357.3702143374,n/a,0.42265566975812,1.73979856769525,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,26904.0053360192,26752.9482843779,-13357.4560297009,0.467044883802852,n/a,1.55180725094904,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,27444.9957016321,27293.9386499908,-13627.9512125073,0.424655479141113,3.33064440394155,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,27474.7549518008,27331.6465538247,-13647.80697645,0.463966574127364,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,27511.3220904191,27368.213692443,-13666.0905457592,n/a,0.462884119324947,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,28114.556654309,27915.8116928922,-13932.8748556957,n/a,n/a,1.20909327962401,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.06,0.12,0.04,0.19,0.04,0.05,0.15,0.09,0.09,0.03,0.08
TN93,22,28149.2911248267,27974.3892583732,-13965.1705075296,n/a,n/a,1.36448122594987,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.06,0.12,0.05,0.21,0.06,0.05,0.16,0.06,0.09,0.04,0.06
T92,19,28220.2113453145,28069.1542936733,-14015.5590343486,n/a,n/a,1.35096341009777,0.217571428571429,0.217571428571429,0.282428571428571,0.282428571428571,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,28264.5121163098,28121.4037183337,-14042.6855587045,n/a,n/a,1.34264749486039,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,28271.5981199066,28104.6443339993,-14031.3001439279,n/a,n/a,1.34880666215437,0.226047619047619,0.209095238095238,0.269190476190476,0.295666666666667,0.04,0.06,0.17,0.05,0.16,0.06,0.05,0.12,0.06,0.13,0.04,0.06
JC,17,28775.3406205479,28640.181067222,-14303.0759496819,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
