Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,17805.3552676345,17652.0783559928,-8804.99697850791,0.248014075353188,1.56818310615895,1.27681439690729,0.208842297174111,0.208842297174111,0.291157702825889,0.291157702825889,0.05,0.06,0.17,0.05,0.17,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+G+I,27,17814.1430762809,17617.1024314901,-8781.4821241713,0.219383327834749,1.30877174272576,1.28328539299783,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.03,0.09,0.15,0.03,0.18,0.03,0.07,0.14,0.08,0.1,0.02,0.08
T92+G,20,17819.1226636863,17673.140991956,-8816.53213631045,n/a,0.568231054938048,1.34344996669546,0.208842297174111,0.208842297174111,0.291157702825889,0.291157702825889,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,17840.2312224204,17672.3649314564,-8813.13203634761,0.245019986605086,1.55366880227637,1.26716215853397,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.06,0.17,0.04,0.16,0.07,0.04,0.12,0.07,0.11,0.05,0.06
TN93+G+I,24,17844.1728339818,17669.0124038079,-8810.45138235165,0.246093970555787,1.54621732341541,1.28546306222958,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.06,0.15,0.04,0.18,0.07,0.04,0.14,0.07,0.1,0.05,0.06
HKY+G,22,17853.0509864312,17692.4792016781,-8824.19337812963,n/a,0.573885625925919,1.33203447022465,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.06,0.18,0.04,0.16,0.06,0.04,0.13,0.06,0.11,0.05,0.06
TN93+G,23,17857.2786612816,17689.4123703176,-8821.65575577819,n/a,0.567560582578793,1.35161623645618,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.06,0.15,0.04,0.18,0.06,0.04,0.14,0.06,0.1,0.05,0.06
GTR+G,26,17858.7151354534,17668.9675282655,-8808.41961353421,n/a,0.616702859737464,1.09668765525782,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.03,0.09,0.17,0.02,0.14,0.06,0.07,0.11,0.08,0.11,0.05,0.07
T92+I,20,17891.4351751162,17745.4535033859,-8852.68839202539,0.324181052826291,n/a,1.12540049343877,0.208842297174111,0.208842297174111,0.291157702825889,0.291157702825889,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR+I,26,17914.6287368353,17724.8811296474,-8836.37641422512,0.320758348280411,n/a,1.14032453689495,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.03,0.09,0.15,0.03,0.17,0.05,0.06,0.13,0.09,0.1,0.04,0.08
K2+G+I,20,17924.5863842048,17778.6047124746,-8869.26399656973,0.254524324125146,1.82042864649025,1.18669957107515,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY+I,22,17927.3733550845,17766.8015703314,-8861.35456245628,0.323352620270763,n/a,1.11633895407643,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.06,0.16,0.05,0.15,0.07,0.05,0.12,0.07,0.11,0.05,0.06
TN93+I,23,17932.0995654444,17764.2332744804,-8859.06620785961,0.323338204048179,n/a,1.12433095724756,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.06,0.15,0.05,0.16,0.07,0.05,0.13,0.07,0.1,0.05,0.06
K2+G,19,17942.4258058633,17803.7397407439,-8882.83516717559,n/a,0.6108694747813,1.24090818511395,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+I,19,17993.7485197151,17855.0624545956,-8908.49652410147,0.323230215358198,n/a,1.08059121369703,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,18104.8043499334,17966.118284814,-8964.02443921066,0.262408241095952,2.16577753763958,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,18128.7924867589,17997.4023948494,-8980.66996740003,n/a,0.655505286384212,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,18159.8492717921,18028.4591798825,-8996.19835991661,0.322077269949019,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,18563.5481579456,18381.0939556636,-9165.48758455696,n/a,n/a,0.991572996440675,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.03,0.1,0.15,0.03,0.15,0.04,0.07,0.12,0.09,0.1,0.03,0.09
T92,19,18603.3984384053,18464.7123732859,-9213.32148344659,n/a,n/a,0.990924627411112,0.208842297174111,0.208842297174111,0.291157702825889,0.291157702825889,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY,21,18627.176475899,18473.8995642573,-9215.90758264016,n/a,n/a,0.992063781873851,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.07,0.15,0.05,0.14,0.08,0.05,0.11,0.08,0.1,0.05,0.07
TN93,22,18636.0393861243,18475.4676013712,-9215.68757797619,n/a,n/a,0.992056554890649,0.198814949863263,0.218869644484959,0.278851412944394,0.303463992707384,0.05,0.07,0.15,0.05,0.14,0.08,0.05,0.11,0.08,0.1,0.05,0.07
K2,18,18669.4248644996,18538.0347725901,-9250.98615627039,n/a,n/a,0.977909821895186,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
JC,17,18819.4567629336,18695.3630107326,-9330.65356526402,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
