Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,32902.0424145939,32681.4980356389,-16313.7200434212,0.381369194786514,1.72395115441698,1.91268389392427,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.02,0.05,0.11,0.02,0.26,0.04,0.04,0.2,0.07,0.09,0.03,0.06
TN93+G+I,24,32917.0115530804,32720.9665809,-16336.4602975395,0.384580877306034,1.68966302139783,1.9251829809849,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.04,0.05,0.11,0.04,0.26,0.05,0.04,0.2,0.05,0.09,0.04,0.05
GTR+G,26,32941.4775013711,32729.0994377376,-16338.5228151015,n/a,0.418616550666245,1.97418919735097,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.02,0.05,0.11,0.02,0.27,0.03,0.04,0.21,0.07,0.09,0.03,0.06
TN93+G,23,32959.6931625459,32771.8149664621,-16362.886330564,n/a,0.405488247443862,2.0157949351116,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.03,0.04,0.11,0.04,0.27,0.05,0.04,0.21,0.05,0.09,0.03,0.04
T92+G+I,21,33008.9929171273,32837.448733888,-16397.7066644381,0.390590494194431,1.75871728579982,1.79616388874049,0.219333843797856,0.219333843797856,0.280666156202144,0.280666156202144,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,33032.1014773389,32844.2232812551,-16399.0904879605,0.459009878011533,n/a,1.46527653257696,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.04,0.06,0.12,0.04,0.21,0.06,0.04,0.17,0.06,0.1,0.04,0.06
GTR+I,26,33042.4453195251,32830.0672558915,-16389.0067241785,0.458684934910014,n/a,1.50554696213481,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.04,0.05,0.13,0.05,0.22,0.04,0.04,0.17,0.07,0.1,0.03,0.07
T92+G,20,33046.2501875614,32882.8732410348,-16421.4205279468,n/a,0.412808432795169,1.85368415624086,0.219333843797856,0.219333843797856,0.280666156202144,0.280666156202144,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,33048.2934323165,32860.4152362327,-16407.1864654493,0.390320195495474,1.74979768973652,1.80317461629999,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.14,0.05,0.15,0.04,0.05
HKY+G,22,33085.4280311004,32905.7167646694,-16430.8389931329,n/a,0.41228071990827,1.86210822337444,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.14,0.05,0.15,0.04,0.05
T92+I,20,33101.597612288,32938.2206657614,-16449.0942403101,0.463614946334879,n/a,1.63426913513681,0.219333843797856,0.219333843797856,0.280666156202144,0.280666156202144,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+I,22,33141.3678898554,32961.6566234245,-16458.8089225104,0.463643163992997,n/a,1.63694683238473,0.224349157733538,0.214318529862175,0.275,0.286332312404288,0.04,0.05,0.18,0.04,0.17,0.05,0.04,0.13,0.05,0.14,0.04,0.05
K2+G+I,20,33155.2245856155,32991.8476390889,-16475.9077269739,0.389254981312506,1.90473324190896,1.69659175798977,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,33190.2860626816,33035.0765063711,-16498.5236937986,n/a,0.43310538805625,1.74692882147869,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,33236.5618438126,33081.3522875021,-16521.6615843641,0.461053951988274,n/a,1.57085512370923,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,33916.0489143783,33760.8393580678,-16861.4051196469,0.401798414591288,2.62951731495747,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
