Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,8157.38198327715,7993.2393419503,-3972.53302837587,0.455251984182726,1.34188164592965,2.43482137523709,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.03,0.04,0.11,0.03,0.28,0.04,0.03,0.24,0.04,0.08,0.03,0.04
GTR+G+I,27,8160.91706163925,7976.28007827678,-3961.03082214908,0.445814504344365,1.28055912503997,2.37924100622045,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.02,0.03,0.12,0.02,0.27,0.03,0.03,0.24,0.08,0.09,0.02,0.07
T92+G+I,21,8163.06867249421,8019.42560860896,-3988.64611839224,0.47415871764357,1.67578704806491,2.132509675388,0.222158273381295,0.222158273381295,0.277841726618705,0.277841726618705,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
TN93+G,23,8163.48099739644,8006.1709671743,-3980.0057839048,n/a,0.286182332356473,2.59577309792452,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.03,0.04,0.11,0.03,0.29,0.04,0.03,0.25,0.04,0.08,0.03,0.04
T92+G,20,8171.11166124469,8034.30295208817,-3997.09086123675,n/a,0.302355163220092,2.22662135130242,0.222158273381295,0.222158273381295,0.277841726618705,0.277841726618705,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+G,26,8177.09578990285,7999.28967175368,-3973.54343475016,n/a,0.309403772033574,2.04682912067837,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.03,0.13,0.04,0.25,0.02,0.02,0.21,0.08,0.09,0.02,0.07
T92+I,20,8179.2404971426,8042.43178798609,-4001.15527918571,0.533413389640507,n/a,1.87769028372337,0.222158273381295,0.222158273381295,0.277841726618705,0.277841726618705,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,8181.14281968756,8023.83278946542,-3988.83669505036,0.528612868509877,n/a,1.93119312616957,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.04,0.13,0.04,0.23,0.05,0.04,0.2,0.05,0.1,0.04,0.04
HKY+G+I,23,8186.88089817956,8029.57086795742,-3991.70573429635,0.469327558809747,1.5992222586289,2.13757045856491,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.04,0.2,0.03,0.18,0.05,0.03,0.15,0.05,0.15,0.04,0.04
K2+G+I,20,8193.51111042753,8056.70240127102,-4008.29058582818,0.471640151295405,1.72593460484109,2.0463661278463,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,8193.81277916081,8043.33594150313,-3999.59492325626,n/a,0.302845646476038,2.2346641164819,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.03,0.04,0.21,0.03,0.18,0.05,0.03,0.16,0.05,0.15,0.03,0.04
GTR+I,26,8197.08987135424,8019.28375320507,-3983.54047547586,0.529251335587746,n/a,1.74861013311177,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.03,0.14,0.04,0.22,0.04,0.03,0.19,0.08,0.1,0.03,0.07
K2+G,19,8199.99987847994,8070.02610475699,-4015.95821832366,n/a,0.310635689258233,2.12725883211065,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,8204.73125904545,8054.25442138778,-4005.05416319858,0.532653954252192,n/a,1.86736766407301,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.04,0.19,0.04,0.17,0.05,0.04,0.15,0.05,0.14,0.04,0.04
K2+I,19,8209.10042851044,8079.12665478749,-4020.50849333891,0.532311500888521,n/a,1.82622453724876,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,8415.98411442674,8286.0103407038,-4123.95033629706,0.489888003513839,2.933534299071,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8420.33169180832,8297.1934339724,-4130.54737345713,0.529017285307383,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8427.11084078188,8303.97258294597,-4133.93694794391,n/a,0.347018083614236,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,8701.60136481253,8551.12452715485,-4253.48921608212,n/a,n/a,1.53321228473554,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.05,0.13,0.04,0.2,0.06,0.04,0.18,0.06,0.1,0.04,0.05
T92,19,8702.63542830159,8572.66165457864,-4267.27599323449,n/a,n/a,1.52539123408499,0.222158273381295,0.222158273381295,0.277841726618705,0.277841726618705,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR,25,8702.76488530641,8531.79021458652,-4240.80123092122,n/a,n/a,1.36872692969169,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.05,0.14,0.04,0.19,0.04,0.04,0.16,0.09,0.1,0.03,0.08
K2,18,8717.06437914469,8593.92612130877,-4278.91371712532,n/a,n/a,1.52328533318955,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,8723.10398059325,8579.460916708,-4268.66377244176,n/a,n/a,1.52411316117915,0.219424460431655,0.224892086330935,0.257841726618705,0.297841726618705,0.04,0.05,0.18,0.04,0.16,0.06,0.04,0.14,0.06,0.13,0.04,0.05
JC,17,8905.61950202663,8789.31734028001,-4377.61452703556,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
