Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,42288.7633986026,42073.3488478481,-21009.639394733,0.17323845622385,2.09129673046819,1.17494238479133,0.183202221193892,0.24706154558075,0.266404442387783,0.303331790837575,0.04,0.12,0.19,0.03,0.12,0.04,0.08,0.11,0.06,0.11,0.04,0.05
T92+G+I,21,42347.8265638115,42180.2702249284,-21069.113711686,0.183828087277942,2.20372770771908,1.18149519865088,0.215131883387321,0.215131883387321,0.284868116612679,0.284868116612679,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+G,26,42358.9061576082,42151.4675111188,-21049.7012299606,n/a,0.725915718558125,1.23376545824056,0.183202221193892,0.24706154558075,0.266404442387783,0.303331790837575,0.03,0.12,0.19,0.03,0.13,0.04,0.09,0.12,0.06,0.12,0.03,0.05
TN93+G+I,24,42414.067008822,42222.5807281966,-21087.262567017,0.184446307737275,2.38209567583256,1.17688419586541,0.183202221193892,0.24706154558075,0.266404442387783,0.303331790837575,0.06,0.06,0.19,0.04,0.13,0.07,0.04,0.12,0.07,0.11,0.06,0.06
HKY+G+I,23,42418.8906500683,42235.3808309899,-21094.6648433649,0.183254527017829,2.27419334630781,1.18104900816358,0.183202221193892,0.24706154558075,0.266404442387783,0.303331790837575,0.06,0.06,0.17,0.04,0.15,0.07,0.04,0.14,0.07,0.1,0.06,0.06
T92+G,20,42429.1750658697,42269.5957455832,-21114.7784184398,n/a,0.696175104624353,1.27069800043984,0.215131883387321,0.215131883387321,0.284868116612679,0.284868116612679,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+I,26,42473.6091852333,42266.170538744,-21107.0527437731,0.21284543620998,n/a,1.03528044750301,0.183202221193892,0.24706154558075,0.266404442387783,0.303331790837575,0.04,0.11,0.18,0.03,0.12,0.06,0.07,0.11,0.07,0.11,0.05,0.06
HKY+G,22,42502.2001371391,42326.6669653168,-21141.3100426251,n/a,0.712053510597274,1.26992648338667,0.183202221193892,0.24706154558075,0.266404442387783,0.303331790837575,0.05,0.06,0.17,0.04,0.15,0.07,0.04,0.14,0.07,0.1,0.05,0.06
TN93+G,23,42502.2075157633,42318.697696685,-21136.3232762124,n/a,0.719797588349836,1.26716207218668,0.183202221193892,0.24706154558075,0.266404442387783,0.303331790837575,0.05,0.06,0.19,0.04,0.13,0.07,0.04,0.12,0.07,0.12,0.05,0.06
T92+I,20,42520.7629892784,42361.1836689919,-21160.5723801442,0.216746191643909,n/a,1.02735329344052,0.215131883387321,0.215131883387321,0.284868116612679,0.284868116612679,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
