Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,11372.4483603928,11225.7424068318,-5593.84843529128,n/a,0.131149553996148,2.63227631047197,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
GTR+G,26,11381.8214959598,11181.0878253241,-5564.50183389923,n/a,0.153337683024757,2.5197080015487,0.266128067025733,0.224835427887493,0.23147815679234,0.277558348294434,0.05,0.02,0.12,0.06,0.24,0.05,0.02,0.24,0.02,0.12,0.04,0.02
TN93+G+I,24,11382.1487219127,11196.8503398815,-5574.38920949726,0.485909784183763,0.478240618482701,2.71571802006529,0.266128067025733,0.224835427887493,0.23147815679234,0.277558348294434,0.03,0.03,0.11,0.04,0.26,0.04,0.04,0.25,0.04,0.11,0.03,0.03
GTR+G+I,27,11383.5539540029,11175.1029998343,-5560.50618160997,0.515697386875676,0.551489420218549,2.64471964851187,0.266128067025733,0.224835427887493,0.23147815679234,0.277558348294434,0.05,0.02,0.11,0.06,0.26,0.05,0.02,0.25,0.02,0.11,0.04,0.02
T92+G,20,11384.6782012222,11230.2532813448,-5595.10147439521,n/a,0.13100133039695,2.63032763486499,0.245481747456613,0.245481747456613,0.254518252543387,0.254518252543387,0.03,0.04,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.04
K2+G+I,20,11390.4427859071,11236.0178660297,-5597.98376673764,0.33778956953641,0.257961370294662,3.67186325216955,0.25,0.25,0.25,0.25,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.2,0.03,0.2,0.03,0.03
TN93+G,23,11391.4214304666,11213.8410534207,-5583.88744508501,n/a,0.15846242434911,3.29609950970395,0.266128067025733,0.224835427887493,0.23147815679234,0.277558348294434,0.03,0.03,0.11,0.03,0.28,0.03,0.03,0.27,0.03,0.11,0.03,0.03
T92+G+I,21,11403.0246872268,11240.881041301,-5599.41283608674,0.332634536332842,0.255028523462745,3.67066389790159,0.245481747456613,0.245481747456613,0.254518252543387,0.254518252543387,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.19,0.03,0.19,0.03,0.03
HKY+G,22,11412.8001477155,11242.9380160524,-5599.43868502026,n/a,0.127895748088792,2.77538386923424,0.266128067025733,0.224835427887493,0.23147815679234,0.277558348294434,0.03,0.03,0.2,0.04,0.17,0.04,0.04,0.16,0.04,0.19,0.03,0.03
HKY+G+I,23,11420.4529506525,11242.8725736066,-5598.40320517797,0.203943719649236,0.191693366742501,2.8260594356676,0.266128067025733,0.224835427887493,0.23147815679234,0.277558348294434,0.03,0.03,0.2,0.04,0.17,0.04,0.04,0.17,0.04,0.2,0.03,0.03
