Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,8238.41931324348,8057.24593845805,-4001.4988720524,0.365368652950082,2.57674332561379,1.87411086709495,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.02,0.04,0.1,0.02,0.26,0.05,0.04,0.2,0.07,0.1,0.04,0.07
TN93+G+I,24,8242.5452843143,8081.47854999288,-4016.64083365107,0.36709500836099,2.37845274603184,1.90431330180327,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.03,0.04,0.1,0.05,0.26,0.04,0.05,0.2,0.04,0.1,0.03,0.04
GTR+I,26,8246.44750452702,8071.97568112427,-4009.87262638193,0.41577534900048,n/a,1.72630123638999,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.02,0.03,0.1,0.03,0.24,0.05,0.04,0.19,0.08,0.11,0.04,0.07
GTR+G,26,8249.48854178246,8075.01671837971,-4011.39314500965,n/a,0.505230954196438,1.95698117376785,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.01,0.04,0.1,0.02,0.26,0.04,0.04,0.21,0.07,0.1,0.03,0.07
T92+G+I,21,8251.06129392579,8110.10715413035,-4033.97781452008,0.36008515312272,1.93269649272621,1.804809552035,0.237254901960784,0.237254901960784,0.262745098039216,0.262745098039216,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,8252.52676773233,8098.16357045789,-4025.99123404784,0.420092716886879,n/a,1.71781182129806,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.04,0.05,0.1,0.05,0.24,0.05,0.05,0.19,0.05,0.11,0.04,0.05
TN93+G,23,8252.92685527377,8098.56365799933,-4026.19127781856,n/a,0.480753801762237,2.02269267828845,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.03,0.04,0.1,0.04,0.27,0.04,0.04,0.21,0.04,0.1,0.03,0.04
T92+G,20,8255.76040216708,8121.51178215326,-4040.68702732847,n/a,0.471807422882268,1.8747738005304,0.237254901960784,0.237254901960784,0.262745098039216,0.262745098039216,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G+I,20,8258.16850367305,8123.91988365923,-4041.89107808146,0.359760872570885,2.00543090681529,1.76926112076288,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,8262.80043807096,8135.25799810027,-4048.56670396817,n/a,0.481793602739667,1.83541655527156,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,8266.90187442901,8132.65325441519,-4046.25776345944,0.428823441052542,n/a,1.65248732224313,0.237254901960784,0.237254901960784,0.262745098039216,0.262745098039216,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+I,19,8272.74960967302,8145.20716970233,-4053.5412897692,0.427579057065502,n/a,1.63096251645249,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G+I,23,8279.51017747838,8125.14698020394,-4039.48293892087,0.367426672076868,2.08917358895257,1.84619622029805,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.04,0.05,0.17,0.05,0.17,0.05,0.05,0.13,0.05,0.17,0.04,0.05
HKY+G,22,8285.79220356773,8138.13320457705,-4046.98361065329,n/a,0.471918298657787,1.92706763194344,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.04,0.04,0.17,0.05,0.17,0.05,0.05,0.13,0.05,0.18,0.04,0.04
HKY+I,22,8293.14248201562,8145.48348302494,-4050.65874987724,0.429446757902241,n/a,1.68655773870085,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.13,0.05,0.17,0.04,0.05
JC+G+I,19,8456.36663894293,8328.82419897225,-4145.34980440416,0.36715080768029,2.63239722482086,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8463.70331157602,8342.86771158531,-4153.37779940845,n/a,0.533776268648971,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8464.15799021365,8343.32239022293,-4153.60513872727,0.423432386589755,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,8598.76096586696,8430.99135606085,-4190.38901573965,n/a,n/a,1.23661544110992,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.04,0.04,0.1,0.05,0.2,0.05,0.04,0.16,0.09,0.1,0.04,0.09
TN93,22,8605.57182829961,8457.91282930893,-4206.87342301923,n/a,n/a,1.43283558556377,0.269444444444444,0.205065359477124,0.261111111111111,0.26437908496732,0.04,0.05,0.1,0.05,0.22,0.05,0.05,0.17,0.05,0.1,0.04,0.05
