Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,12219.8662506905,12075.2719911531,-6016.57225385472,0.266023798238247,1.51852834226048,0.947843762753453,0.200137551581843,0.200137551581843,0.299862448418157,0.299862448418157,0.05,0.08,0.15,0.05,0.15,0.08,0.05,0.1,0.08,0.1,0.05,0.08
T92+G,20,12229.9930697305,12092.2787163721,-6026.08141915996,n/a,0.498656478120776,0.986613768662803,0.200137551581843,0.200137551581843,0.299862448418157,0.299862448418157,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.1,0.07,0.1,0.05,0.07
HKY+G+I,23,12247.105647527,12088.7532413276,-6021.30044070243,0.261299539651325,1.4895850272855,0.936198484130159,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.06,0.07,0.16,0.05,0.14,0.08,0.05,0.11,0.08,0.09,0.06,0.07
TN93+G+I,24,12253.7034354425,12088.4727892198,-6020.15357887492,0.263576206621713,1.50814073593446,0.944011311166689,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.06,0.07,0.15,0.05,0.15,0.08,0.05,0.12,0.08,0.08,0.06,0.07
HKY+G,22,12255.9732716644,12104.4996611034,-6030.18000855639,n/a,0.506066307537459,0.972904953184932,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.05,0.07,0.16,0.04,0.14,0.08,0.04,0.11,0.08,0.09,0.05,0.07
TN93+G,23,12263.0914242292,12104.7390180297,-6029.29332905351,n/a,0.502298717813128,0.980352482082353,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.05,0.07,0.15,0.04,0.15,0.08,0.04,0.12,0.08,0.08,0.05,0.07
GTR+G+I,27,12264.3946577905,12078.5326274906,-6012.16192269312,0.243895146960249,1.30139790933797,0.954726238624798,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.05,0.1,0.15,0.04,0.15,0.06,0.07,0.12,0.08,0.08,0.04,0.07
GTR+G,26,12268.2067970299,12089.2213385267,-6018.51374809809,n/a,0.503104891070217,0.981062275095309,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.05,0.11,0.15,0.04,0.15,0.05,0.07,0.12,0.08,0.08,0.04,0.07
T92+I,20,12284.3509129141,12146.6365595557,-6053.26034075179,0.332691438684368,n/a,0.855133870448919,0.200137551581843,0.200137551581843,0.299862448418157,0.299862448418157,0.05,0.08,0.14,0.05,0.14,0.08,0.05,0.09,0.08,0.09,0.05,0.08
K2+G+I,20,12305.2909230618,12167.5765697034,-6063.73034582563,0.269308114621186,1.67804277280464,0.870656273109315,0.25,0.25,0.25,0.25,0.07,0.07,0.12,0.07,0.12,0.07,0.07,0.12,0.07,0.12,0.07,0.07
HKY+I,22,12313.8555345925,12162.3819240315,-6059.12114002047,0.331490232661464,n/a,0.843597485871979,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.06,0.07,0.15,0.05,0.13,0.09,0.05,0.1,0.09,0.08,0.06,0.07
K2+G,19,12317.6310041166,12186.7971118628,-6074.34614213829,n/a,0.5280552137542,0.90374554500832,0.25,0.25,0.25,0.25,0.07,0.07,0.12,0.07,0.12,0.07,0.07,0.12,0.07,0.12,0.07,0.07
TN93+I,23,12319.6202206013,12161.2678144018,-6057.55772723956,0.331470614331964,n/a,0.850393874436732,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.06,0.07,0.14,0.05,0.14,0.09,0.05,0.11,0.09,0.08,0.06,0.07
GTR+I,26,12339.5374549689,12160.5519964657,-6054.1790770676,0.330109806010069,n/a,0.855804977213594,0.179779917469051,0.220495185694636,0.274828060522696,0.324896836313618,0.05,0.09,0.14,0.04,0.14,0.08,0.06,0.11,0.09,0.08,0.05,0.07
JC+G+I,19,12342.0615086135,12211.2276163597,-6086.56139438675,0.271181524985824,1.77353882673046,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
