Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,11433.2160382632,11239.2925247803,-5592.56873983069,0.433360682011914,0.905697405737024,2.50979710508021,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.01,0.02,0.1,0.02,0.3,0.05,0.02,0.24,0.06,0.09,0.04,0.06
TN93+G+I,24,11439.2999771909,11266.9087167173,-5609.39285143911,0.417440869440274,0.789669779577201,2.57611358928278,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.03,0.04,0.1,0.03,0.3,0.04,0.03,0.24,0.04,0.09,0.03,0.04
TN93+G,23,11446.8053594277,11281.5923410097,-5617.73958993903,n/a,0.249758921683759,2.82607893932757,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.03,0.03,0.09,0.03,0.32,0.04,0.03,0.25,0.04,0.08,0.03,0.03
T92+G+I,21,11451.1993206861,11300.3440221976,-5629.12466533123,0.452214583307903,1.01028177069008,2.22063508911489,0.227709611451943,0.227709611451943,0.272290388548057,0.272290388548057,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,11455.578566893,11311.9027460253,-5635.9083358162,n/a,0.264426644307762,2.24142679318271,0.227709611451943,0.227709611451943,0.272290388548057,0.272290388548057,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,11474.4999997944,11330.8241789267,-5645.36905226693,0.458928720393903,1.10772065240902,2.12713539448817,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G,26,11476.3125705675,11289.5660624347,-5618.71105336438,n/a,0.291886165282512,1.7617332290322,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.03,0.04,0.12,0.04,0.23,0.05,0.04,0.18,0.06,0.11,0.04,0.06
K2+G,19,11479.2422166872,11342.7462850421,-5652.33420809484,n/a,0.271404683379685,2.14523427906589,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,11485.0805013684,11319.8674829503,-5636.87716090935,0.455000518959361,1.03795358219921,2.21916413896475,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.03,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.17,0.03,0.04
HKY+G,22,11490.0274813601,11331.9931169794,-5643.94469828676,n/a,0.265753831607679,2.24176360523611,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.03,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.17,0.03,0.04
TN93+I,23,11508.6157306439,11343.4027122259,-5648.64477554713,0.546694704265194,n/a,1.84802363216508,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.04,0.05,0.12,0.04,0.24,0.05,0.04,0.19,0.05,0.11,0.04,0.05
T92+I,20,11511.2761288421,11367.6003079744,-5663.75711679075,0.55099804065925,n/a,1.82064302664925,0.227709611451943,0.227709611451943,0.272290388548057,0.272290388548057,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+I,26,11526.5402406253,11339.7937324925,-5643.82488839329,0.546357684035256,n/a,1.43098727203115,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.04,0.05,0.13,0.04,0.2,0.07,0.04,0.16,0.06,0.11,0.05,0.06
K2+I,19,11529.8246475613,11393.3287159162,-5677.62542353188,0.550679498484324,n/a,1.79303434989119,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+I,22,11543.2495775169,11385.2152131361,-5670.55574636512,0.550881479032357,n/a,1.82443717495745,0.240286298568507,0.215132924335378,0.271063394683027,0.273517382413088,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.16,0.04,0.05
JC+G+I,19,11791.0007089,11654.504777255,-5808.21345420125,0.485857707124493,1.80951893553275,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,11797.0929198176,11667.7772888705,-5815.85360704156,n/a,0.30397960203434,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
