Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,13937.2325658286,13761.5288802409,-6856.71084476537,0.38357219927608,0.913776984989318,2.22694145747239,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.04,0.04,0.14,0.03,0.24,0.05,0.03,0.22,0.05,0.1,0.04,0.04
GTR+G+I,27,13944.419386786,13746.7672474484,-6846.31607547546,0.362098815341243,0.806893564055293,2.28989349579217,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.01,0.06,0.14,0.01,0.24,0.04,0.05,0.23,0.05,0.09,0.03,0.04
T92+G+I,21,13945.009873421,13791.2578713951,-6874.58767833017,0.40886898618043,1.0869024183176,2.07731245231718,0.221657754010695,0.221657754010695,0.278342245989305,0.278342245989305,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
TN93+G,23,13948.4499338945,13780.063117421,-6866.98225538789,n/a,0.307480958172495,2.33306667708814,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.03,0.04,0.13,0.03,0.25,0.05,0.03,0.23,0.05,0.09,0.03,0.04
GTR+G,26,13952.860559447,13762.5242123311,-6855.19938839551,n/a,0.305994171038441,2.37001393996854,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.01,0.06,0.13,0.01,0.25,0.04,0.05,0.24,0.05,0.09,0.03,0.04
T92+G,20,13959.684936352,13813.2508794675,-6886.58793638524,n/a,0.318876547157202,2.1226337292131,0.221657754010695,0.221657754010695,0.278342245989305,0.278342245989305,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
HKY+G+I,23,13962.9094061126,13794.5225896391,-6874.21199149693,0.390764894465637,0.944213844827064,2.14071880525777,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.04,0.04,0.21,0.03,0.17,0.05,0.03,0.16,0.05,0.15,0.04,0.04
HKY+G,22,13975.0623958575,13813.99280727,-6884.95121295891,n/a,0.313555099914046,2.18674673830855,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.04,0.04,0.21,0.03,0.17,0.05,0.03,0.16,0.05,0.15,0.04,0.04
K2+G+I,20,13992.747162523,13846.3131056385,-6903.11904947073,0.413641391090441,1.21767452341658,1.93321762285982,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,14006.5315606853,13867.4158074257,-6914.67397514142,n/a,0.334371410602689,1.96930954285876,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,14013.3517431516,13866.9176862671,-6913.42133978505,0.508741840892396,n/a,1.72904911252719,0.221657754010695,0.221657754010695,0.278342245989305,0.278342245989305,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,14018.8529247775,13850.4661083039,-6902.18375082935,0.504896299015878,n/a,1.73789730163366,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.04,0.04,0.15,0.04,0.2,0.06,0.04,0.19,0.06,0.1,0.04,0.04
GTR+I,26,14034.1530102574,13843.8166631415,-6895.84561380072,0.50484571895502,n/a,1.76529955977001,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.02,0.05,0.15,0.02,0.2,0.06,0.04,0.19,0.06,0.1,0.05,0.05
HKY+I,22,14042.5804069405,13881.510818353,-6918.71021850042,0.50780448976516,n/a,1.7284713860269,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.04,0.04,0.2,0.04,0.16,0.06,0.04,0.15,0.06,0.14,0.04,0.04
K2+I,19,14054.6651712312,13915.5494179716,-6938.74078041439,0.507287413635632,n/a,1.66498479007556,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G+I,19,14351.7448132945,14212.6290600349,-7087.28060144601,0.445974357986199,2.06888543318084,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,14369.3788834216,14237.5817921744,-7100.76036309909,n/a,0.371498079744936,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,14385.69667968,14253.8995884328,-7108.91926122829,0.504672938038023,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,14910.9155664992,14749.8459779117,-7352.87779827977,n/a,n/a,1.43157390960282,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.05,0.05,0.14,0.04,0.18,0.06,0.04,0.17,0.06,0.1,0.05,0.05
T92,19,14921.5744478121,14782.4586945525,-7372.19541870483,n/a,n/a,1.42081456689645,0.221657754010695,0.221657754010695,0.278342245989305,0.278342245989305,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR,25,14924.0707946495,14741.0505988156,-7345.46723258628,n/a,n/a,1.2794495809006,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.04,0.06,0.14,0.04,0.17,0.06,0.05,0.16,0.08,0.1,0.04,0.06
K2,18,14928.4910803365,14796.6939890893,-7380.31646155654,n/a,n/a,1.4126905376003,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,14943.4136751786,14789.6616731528,-7373.78957920901,n/a,n/a,1.42378759478216,0.212388591800357,0.230926916221034,0.245632798573975,0.311051693404635,0.05,0.05,0.18,0.04,0.15,0.06,0.04,0.14,0.06,0.13,0.05,0.05
JC,17,15222.6619768049,15098.1839058619,-7532.06463638031,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
