Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,16762.4879206564,16561.8400730129,-8253.85956618171,0.370270528467308,1.6846774304635,1.51660584917653,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.06,0.12,0.04,0.24,0.03,0.04,0.17,0.09,0.08,0.02,0.08
TN93+G+I,24,16763.1814490412,16584.8162655072,-8268.3601519459,0.367126769915533,1.4993687903604,1.73876145629261,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.03,0.05,0.11,0.04,0.27,0.06,0.04,0.19,0.06,0.07,0.03,0.05
TN93+G,23,16785.8497083975,16614.9127219228,-8284.41222214802,n/a,0.379642667590845,1.90380754703589,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.03,0.05,0.11,0.03,0.29,0.05,0.03,0.2,0.05,0.07,0.03,0.05
T92+G+I,21,16791.246658175,16635.1670288908,-8296.54657808468,0.374153991555692,1.61692614639774,1.56843990198509,0.201237031125299,0.201237031125299,0.298762968874701,0.298762968874701,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,16812.3712714406,16663.7208021336,-8311.82682524139,n/a,0.397481131434237,1.66879727963361,0.201237031125299,0.201237031125299,0.298762968874701,0.298762968874701,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+I,23,16825.1985499732,16654.2615634984,-8304.08664293585,0.438251990328635,n/a,1.42884184605818,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.06,0.12,0.04,0.23,0.06,0.04,0.16,0.06,0.08,0.04,0.06
GTR+G,26,16825.8187894872,16632.5981752917,-8290.24294112101,n/a,0.442071153193885,1.28070192403162,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.06,0.14,0.04,0.21,0.06,0.04,0.15,0.08,0.09,0.04,0.07
HKY+G+I,23,16833.4133841808,16662.4763977061,-8308.19406003968,0.371840585890988,1.57477541664687,1.58262349486414,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.05
GTR+I,26,16835.9297508768,16642.7091366813,-8295.29842181583,0.438527423340089,n/a,1.28133763194257,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.05,0.05,0.13,0.05,0.21,0.04,0.04,0.15,0.09,0.09,0.02,0.08
T92+I,20,16847.5600882395,16698.9096189325,-8329.42123364084,0.442828310702204,n/a,1.37972133418312,0.201237031125299,0.201237031125299,0.298762968874701,0.298762968874701,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G,22,16853.571779894,16690.0633115282,-8322.99119842021,n/a,0.396115727698721,1.68746227856191,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.05,0.2,0.04,0.18,0.06,0.04,0.12,0.06,0.13,0.04,0.05
HKY+I,22,16891.4390645784,16727.9305962126,-8341.92484076241,0.442582574430267,n/a,1.37919326236609,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.06,0.19,0.04,0.16,0.07,0.04,0.11,0.07,0.12,0.04,0.06
K2+G+I,20,16967.2074403812,16818.5569710742,-8389.24490971169,0.380291743167088,2.02426292419437,1.39648966671623,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,16992.1691600991,16850.948171588,-8406.44371009457,n/a,0.442826514824103,1.45762898308109,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,17007.9421379045,16866.7211493935,-8414.33019899732,0.440518748083783,n/a,1.28822833066454,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,17220.0374161077,17078.8164275967,-8520.37783809891,0.390645555588949,2.64924485467683,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,17247.4979427378,17113.7067557645,-8538.82604193789,0.438876308703734,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,17251.8371733799,17118.0459864066,-8540.99565725895,n/a,0.477396402265949,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,17705.9493100888,17520.1562506222,-8735.02614194577,n/a,n/a,1.01792597120067,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.07,0.13,0.05,0.18,0.04,0.05,0.13,0.11,0.08,0.03,0.09
TN93,22,17737.5561300166,17574.0476616508,-8764.9833734815,n/a,n/a,1.15801059133407,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.06,0.13,0.05,0.2,0.07,0.05,0.14,0.07,0.08,0.04,0.06
T92,19,17757.4090346354,17616.1880461244,-8789.06364736277,n/a,n/a,1.14974059380266,0.201237031125299,0.201237031125299,0.298762968874701,0.298762968874701,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY,21,17797.9503256723,17641.8706963881,-8799.89841183331,n/a,n/a,1.14647498285305,0.207980845969673,0.194493216280926,0.277893056664006,0.319632881085395,0.04,0.06,0.17,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.04,0.06
K2,18,17848.8023522342,17715.011165261,-8839.47824668611,n/a,n/a,1.13726986096905,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,18065.7818600017,17939.4207952311,-8952.68594109379,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
