Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,13953.6736715657,13801.2599488614,-6879.58600792901,0.38490498148803,1.92557070310597,1.62915093057616,0.214007597340931,0.214007597340931,0.285992402659069,0.285992402659069,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G+I,27,13965.0661021991,13769.1365174373,-6857.4962724303,0.371690531075087,1.79601549963162,1.64786692719822,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.02,0.05,0.15,0.02,0.21,0.03,0.04,0.17,0.09,0.11,0.02,0.08
TN93+G+I,24,13972.1825849925,13798.0092097879,-6874.94748923473,0.380080582914873,1.87075069541314,1.64778802433137,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.04,0.05,0.15,0.04,0.21,0.06,0.04,0.16,0.06,0.11,0.04,0.05
T92+G,20,13973.4329033229,13828.2731627077,-6894.09661561019,n/a,0.414029178030217,1.73741651588158,0.214007597340931,0.214007597340931,0.285992402659069,0.285992402659069,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,13977.8029462228,13810.8824061147,-6882.38866165244,0.382068847659916,1.86031345527933,1.64004729619865,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.14,0.04,0.05
GTR+G,26,13979.7873254603,13791.1094278195,-6869.48787586348,n/a,0.424725146361232,1.73416750673252,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.02,0.05,0.15,0.02,0.22,0.03,0.04,0.17,0.09,0.11,0.02,0.08
T92+I,20,13986.1498968543,13840.9901562391,-6900.45511237589,0.443639399450365,n/a,1.45958774037752,0.214007597340931,0.214007597340931,0.285992402659069,0.285992402659069,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G,23,13990.223074972,13823.3025348638,-6888.59872602701,n/a,0.413492547748742,1.76886560545936,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.04,0.05,0.15,0.04,0.22,0.05,0.04,0.17,0.05,0.11,0.04,0.05
HKY+G,22,13996.5963948526,13836.929072281,-6896.41637776987,n/a,0.414007011359766,1.74581295773268,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.04,0.05,0.2,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,14006.4112725436,13839.4907324355,-6896.69282481285,0.441495644959153,n/a,1.4639240691967,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.04,0.05,0.15,0.04,0.19,0.06,0.04,0.15,0.06,0.11,0.04,0.05
HKY+I,22,14012.446405552,13852.7790829804,-6904.3413831196,0.443311395271002,n/a,1.4616151386807,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.04,0.05,0.18,0.04,0.16,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+I,26,14013.7759696831,13825.0980720423,-6886.4821979749,0.441218894259355,n/a,1.34805655892337,0.216144349477683,0.211870845204179,0.267141500474834,0.304843304843305,0.05,0.04,0.16,0.05,0.18,0.04,0.04,0.14,0.09,0.11,0.03,0.08
K2+G+I,20,14041.6845646141,13896.5248239988,-6928.22244625576,0.390383742309717,2.3593010723497,1.50442104149169,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,14064.6206458546,13926.7152694409,-6944.3214786786,0.44154771058789,n/a,1.39570515561554,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,14065.0839929091,13927.1786164954,-6944.55315220582,n/a,0.44790906844829,1.58498981974655,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,14286.1822557047,14148.276879291,-7055.10228360362,0.398784704822819,3.21676667537714,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
