Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,14822.7932962411,14624.2140476255,-7285.0417501122,0.42566534107053,2.31188027176046,1.88134256898982,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.01,0.06,0.15,0.01,0.24,0.03,0.04,0.17,0.07,0.1,0.02,0.08
T92+G+I,21,14833.9804376726,14679.5081117638,-7318.71418705205,0.428178847452408,2.2605245405334,1.82281767785246,0.205383290267011,0.205383290267011,0.294616709732989,0.294616709732989,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G+I,24,14838.3851052957,14661.8577577215,-7306.87708775157,0.431786975764535,2.36860391064564,1.88578681116017,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.04,0.05,0.15,0.03,0.24,0.05,0.03,0.17,0.05,0.1,0.04,0.05
HKY+G+I,23,14844.9125805857,14675.7365602836,-7314.8206364339,0.428459114029574,2.27177649737572,1.82105704080204,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.04,0.05,0.19,0.03,0.2,0.05,0.03,0.14,0.05,0.13,0.04,0.05
GTR+I,26,14850.0785471455,14658.8495853247,-7303.36418660174,0.472432375252302,n/a,1.73641316328306,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.01,0.06,0.15,0.01,0.23,0.04,0.04,0.16,0.07,0.1,0.03,0.08
GTR+G,26,14851.5548907732,14660.3259289524,-7304.10235841561,n/a,0.390628276851555,1.93965463317461,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.01,0.06,0.15,0.01,0.24,0.03,0.04,0.17,0.07,0.11,0.02,0.08
T92+I,20,14862.8630043686,14715.7430454013,-7337.83528143736,0.4740763798244,n/a,1.65166441947462,0.205383290267011,0.205383290267011,0.294616709732989,0.294616709732989,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G,20,14863.8240138101,14716.7040548428,-7338.31578615812,n/a,0.379331401602339,1.94493675831634,0.205383290267011,0.205383290267011,0.294616709732989,0.294616709732989,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+I,23,14865.2156865699,14696.0396662678,-7324.97218942598,0.473549226969945,n/a,1.69391630366979,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.04,0.06,0.15,0.04,0.23,0.05,0.04,0.16,0.05,0.1,0.04,0.06
TN93+G,23,14872.2710674197,14703.0950471176,-7328.49987985087,n/a,0.373224677014485,2.02505240912966,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.03,0.05,0.15,0.03,0.25,0.05,0.03,0.17,0.05,0.1,0.03,0.05
HKY+I,22,14873.6737884887,14711.849442105,-7333.88105142272,0.474083409261853,n/a,1.65341359325906,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.04,0.06,0.18,0.04,0.19,0.05,0.04,0.13,0.05,0.12,0.04,0.06
HKY+G,22,14875.0240788026,14713.1997324189,-7334.5561965797,n/a,0.379659739073096,1.94040091878303,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.04,0.05,0.19,0.03,0.2,0.05,0.03,0.14,0.05,0.13,0.04,0.05
K2+G+I,20,14978.8311536919,14831.7111947246,-7395.81935609903,0.423880690698368,2.53606644799444,1.64102974811866,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,15001.7297593439,14861.9625136952,-7411.94846996237,0.470592206663506,n/a,1.53017456121384,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,15006.3153401675,14866.5480945188,-7414.24126037416,n/a,0.415215341959068,1.71952294333474,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G+I,19,15298.8383139594,15159.0710683108,-7560.50274727013,0.432257214837348,3.61701546678775,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,15309.6273819916,15177.2131959491,-7570.5770923236,0.467596548379892,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,15335.2126222789,15202.7984362363,-7583.36971246721,n/a,0.456507510089288,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,15657.7934248054,15473.915096695,-7711.90143646907,n/a,n/a,1.34522381953386,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.01,0.07,0.15,0.01,0.2,0.05,0.05,0.14,0.09,0.1,0.03,0.09
T92,19,15711.9225255666,15572.155279918,-7767.04485307375,n/a,n/a,1.34122859661686,0.205383290267011,0.205383290267011,0.294616709732989,0.294616709732989,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY,21,15723.127442491,15568.6551165821,-7763.28768946124,n/a,n/a,1.34181892648585,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.11,0.04,0.06
TN93,22,15725.1588069865,15563.3344606028,-7759.62356067162,n/a,n/a,1.34377572586943,0.197846683893196,0.212919896640827,0.301378122308355,0.287855297157623,0.04,0.06,0.15,0.04,0.19,0.06,0.04,0.14,0.06,0.1,0.04,0.06
K2,18,15777.0960678861,15644.6818818435,-7804.31143527082,n/a,n/a,1.3267612135066,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,16053.1383523355,15928.0775720967,-7947.01238853284,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
