Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10911.5133791437,10765.9535628934,-5361.91589583785,0.358023503223029,2.50732499048947,1.57874465157744,0.198291721419185,0.198291721419185,0.301708278580815,0.301708278580815,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+I,20,10927.4969495876,10788.8632670905,-5374.37629028527,0.39994016779903,n/a,1.43058362346712,0.198291721419185,0.198291721419185,0.301708278580815,0.301708278580815,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,10931.9085439796,10793.2748614824,-5376.58208748122,n/a,0.474668696088878,1.70358202342367,0.198291721419185,0.198291721419185,0.301708278580815,0.301708278580815,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+G+I,23,10939.0708611314,10779.6603680035,-5366.75741838088,0.355480002540354,2.46164641859587,1.56610559680875,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.04,0.05,0.2,0.04,0.18,0.06,0.04,0.13,0.06,0.12,0.04,0.05
TN93+G+I,24,10940.2827581915,10773.9477223585,-5362.89475768549,0.357525550441167,2.50939804166742,1.59701579918454,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.04,0.05,0.16,0.04,0.21,0.06,0.04,0.15,0.06,0.1,0.04,0.05
GTR+G+I,27,10946.2896986488,10759.1842201539,-5352.49240023783,0.349842980464685,2.42277929935686,1.58769206934173,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.03,0.07,0.17,0.02,0.21,0.03,0.05,0.15,0.07,0.1,0.02,0.07
HKY+I,22,10955.8229630193,10803.3375431556,-5379.60207855024,0.399055472748974,n/a,1.41651028168159,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.04,0.06,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+I,23,10956.4132366866,10797.0027435587,-5375.42860615848,0.398726341330134,n/a,1.43728179318872,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.04,0.06,0.16,0.04,0.2,0.06,0.04,0.14,0.06,0.1,0.04,0.06
HKY+G,22,10958.6168981019,10806.1314782382,-5380.99904609154,n/a,0.479319232763049,1.68758196617174,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.04,0.05,0.2,0.04,0.18,0.06,0.04,0.13,0.06,0.12,0.04,0.05
TN93+G,23,10961.1710775781,10801.7605844501,-5377.80752660419,n/a,0.471392374091514,1.72716914698972,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.04,0.05,0.17,0.03,0.22,0.06,0.03,0.15,0.06,0.1,0.04,0.05
GTR+I,26,10962.7386836454,10782.5561549188,-5365.1855019616,0.397079427239762,n/a,1.46124817886033,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.02,0.07,0.17,0.02,0.2,0.04,0.05,0.14,0.08,0.1,0.03,0.07
GTR+G,26,10963.6484450632,10783.4659163366,-5365.64038267047,n/a,0.494656029282783,1.66557556353197,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.03,0.08,0.17,0.02,0.21,0.03,0.05,0.15,0.07,0.11,0.02,0.07
K2+G+I,20,11025.1045957858,10886.4709132886,-5423.18011338433,0.362131064806206,3.46129919904363,1.38462846272286,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,11031.0357476836,10899.3287288697,-5430.61429855867,0.396878158452921,n/a,1.3144335429683,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,11048.9937671385,10917.2867483245,-5439.59330828612,n/a,0.540593882372486,1.46464789505768,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,11193.6911125867,11061.9840937728,-5511.94198101024,0.366606227025404,4.51932466317744,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,11194.8431544427,11070.0633290326,-5516.98661116365,0.394858670468022,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,11222.4497909799,11097.6699655698,-5530.78992943222,n/a,0.58302861607634,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,11440.3241793756,11267.0651316064,-5608.44685905212,n/a,n/a,1.18875023629947,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.02,0.09,0.16,0.02,0.17,0.04,0.06,0.12,0.09,0.1,0.03,0.08
T92,19,11443.3200409377,11311.6130221237,-5636.7564451857,n/a,n/a,1.190140795683,0.198291721419185,0.198291721419185,0.301708278580815,0.301708278580815,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
HKY,21,11464.018345601,11318.4585293508,-5638.16837906653,n/a,n/a,1.18941864206054,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.05,0.06,0.18,0.04,0.16,0.07,0.04,0.11,0.07,0.11,0.05,0.06
TN93,22,11470.5077079356,11318.0222880719,-5636.9444510084,n/a,n/a,1.18947288479114,0.193561103810775,0.203022339027595,0.286859395532194,0.316557161629435,0.05,0.06,0.16,0.04,0.17,0.07,0.04,0.12,0.07,0.1,0.05,0.06
K2,18,11497.372544777,11372.5927193669,-5668.25130633077,n/a,n/a,1.16742632010612,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,11646.4201210922,11528.5680185973,-5747.24370371384,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
