Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,13022.6090478554,12828.2722188403,-6387.05976120766,0.396292359878664,2.07432088970684,1.84942617521169,0.250050352467271,0.192749244712991,0.279355488418933,0.277844914400806,0.02,0.05,0.1,0.03,0.28,0.02,0.05,0.2,0.08,0.09,0.01,0.08
TN93+G+I,24,13032.026386538,12859.2679593029,-6405.57340418453,0.404526216132684,2.24530673428811,1.86766495965527,0.250050352467271,0.192749244712991,0.279355488418933,0.277844914400806,0.03,0.05,0.1,0.04,0.28,0.05,0.04,0.19,0.05,0.09,0.03,0.05
GTR+G,26,13046.9115279758,12859.7670935124,-6403.81265914639,n/a,0.419406181472877,1.94885392474188,0.250050352467271,0.192749244712991,0.279355488418933,0.277844914400806,0.02,0.05,0.1,0.02,0.3,0.01,0.05,0.21,0.08,0.09,0.01,0.08
GTR+I,26,13051.306824856,12864.1623903926,-6406.0103075865,0.453815603528199,n/a,1.64893727245803,0.250050352467271,0.192749244712991,0.279355488418933,0.277844914400806,0.02,0.05,0.11,0.03,0.25,0.03,0.05,0.18,0.08,0.1,0.02,0.08
TN93+I,23,13058.3894917452,12892.8246769408,-6423.35661466664,0.454473108829232,n/a,1.63275068292716,0.250050352467271,0.192749244712991,0.279355488418933,0.277844914400806,0.04,0.05,0.11,0.05,0.25,0.05,0.05,0.17,0.05,0.1,0.04,0.05
TN93+G,23,13061.9741706954,12896.409355891,-6425.14895414176,n/a,0.40718078260975,2.05859248423069,0.250050352467271,0.192749244712991,0.279355488418933,0.277844914400806,0.03,0.04,0.09,0.04,0.3,0.04,0.04,0.21,0.04,0.08,0.03,0.04
T92+G+I,21,13084.2898509991,12933.1134780746,-6445.51011005064,0.411227890861683,2.33847069534936,1.69157096894557,0.221399798590131,0.221399798590131,0.278600201409869,0.278600201409869,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,13103.7480695012,12938.1832546968,-6446.03590354464,0.419006092124449,2.59580336757649,1.72247101265051,0.250050352467271,0.192749244712991,0.279355488418933,0.277844914400806,0.04,0.05,0.18,0.05,0.18,0.05,0.05,0.12,0.05,0.16,0.04,0.05
T92+I,20,13109.5675758024,12965.5860320815,-6462.7506303308,0.460391465220903,n/a,1.55523508867983,0.221399798590131,0.221399798590131,0.278600201409869,0.278600201409869,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,13111.4270420345,12967.4454983137,-6463.68036344688,n/a,0.424977420401564,1.77532487601736,0.221399798590131,0.221399798590131,0.278600201409869,0.278600201409869,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
