Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,18097.4359305346,17894.6459175206,-8920.26709118715,0.308750345586788,1.04100135964786,1.93416749433964,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.02,0.05,0.11,0.02,0.24,0.04,0.05,0.21,0.06,0.11,0.04,0.06
TN93+G+I,24,18104.1132042623,17923.8447538186,-8937.87804739322,0.325498608578976,1.10433293365762,1.9155985474526,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.04,0.05,0.11,0.04,0.23,0.04,0.04,0.21,0.04,0.11,0.04,0.05
TN93+G,23,18113.0121905801,17940.2515209494,-8947.08498033287,n/a,0.399409633150686,1.98826359479496,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.04,0.04,0.11,0.04,0.24,0.04,0.04,0.21,0.04,0.11,0.04,0.04
T92+G+I,21,18124.6250071655,17966.8807887009,-8962.40626818708,0.339985896711161,1.19173639919378,1.83359000346064,0.240929203539823,0.240929203539823,0.259070796460177,0.259070796460177,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
GTR+G,26,18131.039093746,17935.7559715448,-8941.82611257357,n/a,0.425780951211557,1.6834088723678,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.04,0.05,0.12,0.04,0.21,0.04,0.04,0.19,0.06,0.11,0.04,0.07
T92+G,20,18133.440814684,17983.2052664411,-8971.57161172706,n/a,0.400099662274003,1.88735034512803,0.240929203539823,0.240929203539823,0.259070796460177,0.259070796460177,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,18135.3788035548,17985.1432553118,-8972.54060616244,0.33844944447409,1.20888092072217,1.80194756237824,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G+I,23,18140.471973346,17967.7113037153,-8960.81487171582,0.342207992635702,1.20870079351823,1.83340293008971,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.04,0.05,0.16,0.04,0.17,0.04,0.04,0.15,0.04,0.16,0.04,0.05
K2+G,19,18143.7111902984,18000.9846086152,-8981.46423931498,n/a,0.406447789738411,1.85352571809999,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,18149.806030212,17984.5534379296,-8970.23933992959,n/a,0.400027551330477,1.88769251438158,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.04,0.05,0.16,0.04,0.17,0.04,0.04,0.15,0.04,0.16,0.04,0.05
GTR+I,26,18195.7006047475,18000.4174825463,-8974.1568680743,0.440138290101927,n/a,1.64488558356416,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.02,0.05,0.12,0.03,0.21,0.05,0.05,0.18,0.06,0.11,0.05,0.07
TN93+I,23,18197.5292616433,18024.7685920126,-8989.34351586445,0.443344291396617,n/a,1.61353781344673,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.05,0.05,0.12,0.05,0.21,0.05,0.05,0.18,0.05,0.11,0.05,0.05
T92+I,20,18213.3812514171,18063.1457031741,-9011.54183009359,0.44741298417622,n/a,1.60852958099474,0.240929203539823,0.240929203539823,0.259070796460177,0.259070796460177,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,18222.3191852569,18079.5926035738,-9020.76823679426,0.446432611613708,n/a,1.58795704769727,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,18227.8322650543,18062.5796727719,-9009.2524573507,0.447545131478392,n/a,1.61094608004012,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,18566.5701072851,18423.8435256019,-9192.89369780834,0.357451394353076,1.62652202046986,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,18579.4797492427,18444.2624303919,-9204.10595856792,n/a,0.450356719008525,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,18629.7474716625,18494.5301528116,-9229.2398197778,0.443457088056934,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,19108.1319633406,18920.3560286848,-9435.12998715162,n/a,n/a,1.18179307502087,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.05,0.05,0.11,0.05,0.18,0.05,0.05,0.16,0.08,0.1,0.05,0.08
TN93,22,19119.7477191521,18954.4951268697,-9455.21018439959,n/a,n/a,1.37954992585489,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.05,0.06,0.11,0.05,0.2,0.05,0.05,0.17,0.05,0.1,0.05,0.06
K2,18,19154.7078684564,19019.4905496056,-9491.72001817477,n/a,n/a,1.36495850381246,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92,19,19163.1799676292,19020.453385946,-9491.19862798038,n/a,n/a,1.36628636917409,0.240929203539823,0.240929203539823,0.259070796460177,0.259070796460177,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,19180.3091075235,19022.5648890589,-9490.24831836607,n/a,n/a,1.36682505848284,0.246238938053097,0.235619469026549,0.266076696165192,0.252064896755162,0.05,0.06,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.06
JC,17,19519.564911847,19391.8571520353,-9678.90597965079,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
