Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2505.18564755985,2387.97363544619,-1174.87977546957,n/a,0.19640423053126,2.3322428002701,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,2510.28814266705,2386.91841156211,-1173.34086258579,0.446189626824462,0.51412748656373,2.38001633568971,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G,20,2512.71276761254,2389.3430365076,-1174.55317505853,n/a,0.196231517613479,2.33222293092102,0.253081232492997,0.253081232492997,0.246918767507003,0.246918767507003,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G+I,21,2517.81857497543,2388.29226501556,-1173.01591830259,0.446501100225671,0.514450122918305,2.38033038796178,0.253081232492997,0.253081232492997,0.246918767507003,0.246918767507003,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G,22,2528.88846808875,2393.2067203746,-1174.46070442186,n/a,0.194390226427867,2.3557160421969,0.264425770308123,0.241736694677871,0.251820728291317,0.242016806722689,0.04,0.04,0.17,0.04,0.18,0.04,0.04,0.17,0.04,0.19,0.04,0.04
HKY+G+I,23,2533.96504633488,2392.12900293251,-1172.90883310754,0.447102157852439,0.510307062272827,2.40411475658125,0.264425770308123,0.241736694677871,0.251820728291317,0.242016806722689,0.04,0.04,0.17,0.04,0.18,0.04,0.04,0.17,0.04,0.19,0.04,0.04
TN93+G,23,2534.65941116882,2392.82336776645,-1173.25601552451,n/a,0.207568653017176,2.30173137278753,0.264425770308123,0.241736694677871,0.251820728291317,0.242016806722689,0.04,0.04,0.13,0.04,0.22,0.04,0.04,0.21,0.04,0.14,0.04,0.04
TN93+G+I,24,2539.39952542707,2391.41032936903,-1171.53591221625,0.430917329002381,0.503480049725463,2.35448296634693,0.264425770308123,0.241736694677871,0.251820728291317,0.242016806722689,0.04,0.04,0.13,0.04,0.22,0.04,0.04,0.21,0.04,0.14,0.04,0.04
GTR+G,26,2543.56205797236,2383.26998957202,-1165.43685761412,n/a,0.207728998346861,2.33571034293263,0.264425770308123,0.241736694677871,0.251820728291317,0.242016806722689,0.08,0.03,0.13,0.09,0.22,0.03,0.03,0.21,0,0.14,0.03,0
GTR+G+I,27,2547.96646363761,2381.52467748907,-1163.54890000936,0.430793928691592,0.490493250219907,2.37457302641728,0.264425770308123,0.241736694677871,0.251820728291317,0.242016806722689,0.08,0.03,0.13,0.09,0.22,0.03,0.03,0.21,0,0.14,0.03,0
K2+I,19,2551.52984137761,2434.31782926395,-1198.05187237846,0.38515406162465,n/a,2.10517056073999,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
