Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,10053.3684364845,9880.82963456747,-4916.35368636168,0.521615865148928,1.33801497236696,3.13945096939698,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.03,0.1,0.03,0.32,0.03,0.03,0.25,0.03,0.08,0.03,0.03
TN93+G,23,10066.3396756399,9900.98529230651,-4927.43641143443,n/a,0.240964221686786,3.19423129827925,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.03,0.1,0.03,0.32,0.03,0.03,0.25,0.03,0.09,0.03,0.03
TN93+I,23,10076.6750048521,9911.32062151873,-4932.60407604054,0.595841104453286,n/a,2.51872483601708,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.22,0.04,0.1,0.03,0.04
GTR+G+I,27,10080.7628653629,9886.67326565574,-4916.25958431584,0.515412294701742,1.24158237869343,3.25197506141846,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.03,0.1,0.03,0.33,0.02,0.02,0.26,0.04,0.08,0.02,0.04
T92+G+I,21,10082.8182290025,9931.83391106546,-4944.86989910576,0.564732925661855,2.04503968524156,2.8397166484378,0.224491869918699,0.224491869918699,0.275508130081301,0.275508130081301,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
T92+G,20,10089.1782113536,9945.37953997923,-4952.64699577636,n/a,0.224333926675952,2.87481416408461,0.224491869918699,0.224491869918699,0.275508130081301,0.275508130081301,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.17,0.04,0.17,0.03,0.04
GTR+G,26,10096.1385790441,9909.23216881494,-4928.54454665143,n/a,0.248017914527322,2.69918294799978,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.03,0.11,0.03,0.29,0.03,0.03,0.23,0.04,0.1,0.02,0.04
T92+I,20,10096.5413658181,9952.74269444372,-4956.3285730086,0.606763819868337,n/a,2.56363210058405,0.224491869918699,0.224491869918699,0.275508130081301,0.275508130081301,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+G+I,23,10102.2221710126,9936.86778767921,-4945.37765912078,0.565348456412648,2.06334658367763,2.84555680200671,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.04,0.2,0.03,0.21,0.03,0.03,0.16,0.03,0.17,0.03,0.04
GTR+I,26,10107.3117205885,9920.40531035938,-4934.13111742365,0.596913297334815,n/a,2.2919663724868,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.04,0.03,0.12,0.04,0.26,0.04,0.03,0.21,0.05,0.1,0.03,0.05
HKY+G,22,10108.4268483248,9950.25729302642,-4953.07710327189,n/a,0.223767806842488,2.88293365436135,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.04,0.2,0.03,0.21,0.03,0.03,0.16,0.03,0.17,0.03,0.04
K2+G+I,20,10110.5933140227,9966.7946426483,-4963.35454711089,0.562134401621913,2.16566856159958,2.67013491542745,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G,19,10115.6590511579,9979.04643542238,-4970.48452117351,n/a,0.233022368625416,2.70857169255687,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
HKY+I,22,10115.6843190421,9957.5147637437,-4956.70583863053,0.606861055001955,n/a,2.56989107076073,0.230081300813008,0.21890243902439,0.280284552845528,0.270731707317073,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.17,0.03,0.04
K2+I,19,10122.6467594042,9986.03414366868,-4973.97837529666,0.604878172219617,n/a,2.45047378545053,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
JC+I,18,10518.0122900228,10388.5861388775,-5176.25824610098,0.600237810980917,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
