Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,15519.3865290665,15329.4254365143,-7638.64909095725,n/a,0.432830400684543,1.48954927372564,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.04,0.1,0.18,0.02,0.16,0.03,0.06,0.16,0.07,0.09,0.02,0.06
GTR+G+I,27,15521.4551677099,15324.1927861204,-7635.0278651414,0.233131849194471,0.834114626035613,1.4672817003151,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.04,0.09,0.18,0.02,0.17,0.03,0.06,0.16,0.07,0.09,0.03,0.06
T92+G+I,21,15521.7989711404,15368.349786181,-7663.13303768192,0.309222730999924,1.13030128103696,1.45904032894678,0.210307414104882,0.210307414104882,0.289692585895118,0.289692585895118,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G,20,15529.4295940401,15383.2838823877,-7671.6038942693,n/a,0.412750616187941,1.51980369292047,0.210307414104882,0.210307414104882,0.289692585895118,0.289692585895118,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G+I,23,15535.2491213218,15367.19408124,-7660.5470224975,0.285437136385129,1.02949991814661,1.42954749371934,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.05,0.05,0.19,0.03,0.16,0.06,0.03,0.16,0.06,0.09,0.05,0.05
HKY+G,22,15538.7248352859,15377.9725408171,-7666.94042461712,n/a,0.423566224302108,1.47974903110823,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.05,0.05,0.19,0.03,0.16,0.06,0.03,0.16,0.06,0.1,0.05,0.05
TN93+G+I,24,15543.4377026267,15368.0802809274,-7659.98576801243,0.293030625891768,1.06728482069067,1.44311258794937,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.05,0.05,0.17,0.03,0.17,0.06,0.03,0.17,0.06,0.09,0.05,0.05
TN93+G,23,15547.8463821102,15379.7913420285,-7666.84565289173,n/a,0.422676558998789,1.48605274395778,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.05,0.05,0.18,0.03,0.17,0.06,0.03,0.16,0.06,0.09,0.05,0.05
T92+I,20,15606.0706311242,15459.9249194717,-7709.92441281131,0.417445208884412,n/a,1.25435143533683,0.210307414104882,0.210307414104882,0.289692585895118,0.289692585895118,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY+I,22,15628.6890231497,15467.9367286808,-7711.92251854899,0.41327558744071,n/a,1.22755970513549,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.06,0.06,0.17,0.03,0.15,0.07,0.03,0.15,0.07,0.09,0.06,0.06
GTR+I,26,15630.3391567053,15440.3780641531,-7694.12540477663,0.408081451680266,n/a,1.27634068261269,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.04,0.08,0.16,0.03,0.16,0.05,0.05,0.16,0.08,0.08,0.04,0.07
K2+G+I,20,15632.0303736954,15485.884662043,-7722.90428409696,0.311587308391483,1.27558081892913,1.33030967397433,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+I,23,15632.7512387049,15464.6961986231,-7709.29808118905,0.413855594070134,n/a,1.25226864650711,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.06,0.06,0.16,0.03,0.17,0.07,0.03,0.16,0.07,0.08,0.06,0.06
K2+G,19,15640.2489454211,15501.4070707744,-7731.66911509733,n/a,0.448387217451112,1.37559109993672,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,15705.3949326319,15566.5530579851,-7764.24210870272,0.415107590943725,n/a,1.18463470892817,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,15830.123550462,15691.2816758153,-7826.60641761777,0.328130931739117,1.63166763255799,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,15842.4919273238,15710.9542532826,-7837.44615118619,n/a,0.490658195108706,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,15886.4730806417,15754.9354066006,-7859.43672784519,0.413282110369777,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,16302.2725900746,16119.6131508522,-8034.74766659885,n/a,n/a,1.07100434371983,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.04,0.1,0.17,0.03,0.14,0.04,0.06,0.13,0.09,0.09,0.03,0.08
HKY,21,16369.756924552,16216.3077395926,-8087.1120143877,n/a,n/a,1.07181489361313,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.06,0.06,0.16,0.04,0.14,0.07,0.04,0.14,0.07,0.08,0.06,0.06
TN93,22,16377.8288380717,16217.0765436029,-8086.49242601,n/a,n/a,1.07235840989978,0.157142857142857,0.263471971066908,0.268987341772152,0.310397830018083,0.06,0.06,0.17,0.04,0.14,0.07,0.04,0.13,0.07,0.09,0.06,0.06
T92,19,16393.4750208891,16254.6331462423,-8108.28215283131,n/a,n/a,1.06335047279447,0.210307414104882,0.210307414104882,0.289692585895118,0.289692585895118,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
K2,18,16441.1828316956,16309.6451576544,-8136.7916033721,n/a,n/a,1.05187587107153,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,16601.7296122644,16477.49650233,-8221.72053879404,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
