Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1492.88847656831,1383.56962137518,-672.62310855993,n/a,0.157882769481397,1.2152138914506,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G,18,1495.29778353922,1391.71710935041,-677.713084662446,n/a,0.161847279653059,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+G+I,20,1498.63570858984,1383.58040288555,-671.611401953629,0,0.155548161980847,1.21652587982066,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,1500.94593824289,1391.62708304975,-676.651839397216,0.00001,0.159833826277884,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92+G,20,1501.0211661814,1385.9658604771,-672.804130749407,n/a,0.157569808867704,1.21213846905238,0.241139240506329,0.241139240506329,0.258860759493671,0.258860759493671,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+I,19,1503.9533856131,1394.63453041997,-678.155563082325,0.411392405063291,n/a,1.1529652598553,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92+G+I,21,1506.62231318445,1385.83228967319,-671.719381633871,0.00001,0.155011875146803,1.21376170478111,0.241139240506329,0.241139240506329,0.258860759493671,0.258860759493671,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
JC+I,18,1508.2112137567,1404.63053956789,-684.169799771186,0.411392405063291,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,1513.6810881002,1410.1004139114,-686.904736942939,n/a,n/a,1.13405372661711,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92+I,20,1514.18336370112,1399.12805799682,-679.385229509266,0.411392405063291,n/a,1.15154333372131,0.241139240506329,0.241139240506329,0.258860759493671,0.258860759493671,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.13,0.06,0.13,0.06,0.06
HKY+G,22,1514.43720552426,1387.91419912502,-671.741505186709,n/a,0.156104495414668,1.22996083833114,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.14,0.06,0.15,0.06,0.06,0.12,0.06,0.15,0.05,0.06
JC,17,1518.07263221233,1420.23186731376,-692.985831616065,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+G+I,23,1520.02728786644,1387.77303571676,-670.651223740735,0,0.153487318592552,1.23154312096169,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.14,0.06,0.15,0.06,0.06,0.12,0.06,0.15,0.05,0.06
TN93+G,23,1521.51248810351,1389.25823595383,-671.393823859268,n/a,0.1681325342237,1.20268984457017,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.11,0.06,0.17,0.06,0.06,0.14,0.06,0.12,0.05,0.06
T92,19,1521.92517770245,1412.60632250931,-687.141459126996,n/a,n/a,1.13339771008815,0.241139240506329,0.241139240506329,0.258860759493671,0.258860759493671,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.13,0.06,0.13,0.06,0.06
HKY+I,22,1525.26164298781,1398.73863658857,-677.153723918484,0.411392405063291,n/a,1.15758825158404,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.14,0.06,0.14,0.06,0.06,0.12,0.06,0.14,0.05,0.06
TN93+G+I,24,1527.01800257104,1389.03424403084,-670.261258475972,0.00001,0.165693393816217,1.20375910479547,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.11,0.06,0.17,0.06,0.06,0.14,0.06,0.12,0.05,0.06
TN93+I,23,1530.94329995545,1398.68904780577,-676.109229785239,0.411392405063291,n/a,1.15456928596828,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.1,0.06,0.18,0.06,0.06,0.15,0.06,0.1,0.05,0.06
HKY,21,1536.36745596475,1415.57743245349,-686.591953024019,n/a,n/a,1.13374038926627,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.13,0.06,0.14,0.06,0.06,0.12,0.06,0.14,0.05,0.06
GTR+G,26,1536.7977986847,1387.3602543515,-667.380511298672,n/a,0.172047445554058,1.16911002791107,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.1,0.06,0.11,0.12,0.17,0.03,0.06,0.14,0.03,0.12,0.02,0.03
TN93,22,1540.85216178291,1414.32915538367,-684.948983316035,n/a,n/a,1.13731700412499,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.05,0.06,0.1,0.06,0.18,0.06,0.06,0.15,0.06,0.1,0.05,0.06
GTR+G+I,27,1542.53086970185,1387.36905042989,-666.36172419018,0.00001,0.170172537919368,1.17436114992561,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.1,0.06,0.11,0.12,0.17,0.03,0.06,0.14,0.03,0.12,0.02,0.03
GTR+I,26,1550.49726263908,1401.05971830588,-674.230243275859,0.411392405063291,n/a,0.86106214643262,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.1,0.07,0.1,0.12,0.14,0.05,0.07,0.12,0.05,0.11,0.04,0.05
GTR,25,1558.11649646039,1414.4049731157,-681.925182803582,n/a,n/a,0.845556743662588,0.264556962025316,0.217721518987342,0.265822784810127,0.251898734177215,0.1,0.07,0.1,0.12,0.14,0.05,0.07,0.12,0.05,0.1,0.04,0.05
