Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,14835.2611500169,14636.9637901552,-7291.41593800207,0.366755588758097,1.25307076989468,2.12981528846735,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.02,0.05,0.11,0.02,0.24,0.03,0.05,0.24,0.06,0.09,0.03,0.06
TN93+G+I,24,14837.6330791984,14661.3561686741,-7306.62575114911,0.372039417640534,1.22247762530752,2.16788069065286,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.04,0.04,0.11,0.04,0.24,0.04,0.04,0.25,0.04,0.09,0.04,0.04
TN93+G,23,14853.5056263665,14684.5695665049,-7319.23664091857,n/a,0.357675914721416,2.36189182664407,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.04,0.04,0.1,0.04,0.26,0.04,0.04,0.26,0.04,0.09,0.04,0.04
T92+G+I,21,14858.8884268035,14704.6351190423,-7331.27727350788,0.398659326799448,1.48815131060081,1.99635426022008,0.243124456048738,0.243124456048738,0.256875543951262,0.256875543951262,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,14861.8534594372,14714.9420529307,-7337.43440601019,0.399966278945517,1.53673943333996,1.96965391156547,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G,26,14875.8532379481,14684.8956773321,-7316.38659815311,n/a,0.394330523169437,1.86469412831785,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.04,0.05,0.12,0.04,0.22,0.03,0.05,0.22,0.06,0.1,0.03,0.05
T92+G,20,14878.4034153048,14731.4920087982,-7345.70938394396,n/a,0.370124088781643,2.09252441475237,0.243124456048738,0.243124456048738,0.256875543951262,0.256875543951262,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,14881.7907141511,14742.2215589133,-7352.07764955254,n/a,0.374380363037913,2.06398553192214,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,14890.7311808501,14721.7951209884,-7337.84941816035,0.394675262325866,1.44566528011276,1.9999819842241,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.04,0.04,0.18,0.04,0.16,0.05,0.04,0.17,0.05,0.16,0.04,0.04
TN93+I,23,14898.8164315495,14729.8803716878,-7341.89204351004,0.467000301531943,n/a,1.73991286552244,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.05,0.04,0.12,0.04,0.21,0.05,0.04,0.21,0.05,0.1,0.05,0.04
HKY+G,22,14908.9145009098,14747.3196419997,-7351.61569437564,n/a,0.371308958554732,2.09458037768253,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.04,0.04,0.18,0.04,0.16,0.04,0.04,0.17,0.04,0.16,0.04,0.04
T92+I,20,14909.9167531272,14763.0053466206,-7361.46605285518,0.473511556131116,n/a,1.73374439724958,0.243124456048738,0.243124456048738,0.256875543951262,0.256875543951262,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+I,19,14910.68543891,14771.1162836721,-7366.52501193197,0.473044486292475,n/a,1.72147948363846,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR+I,26,14920.3400453613,14729.3824847453,-7338.63000185971,0.46619423097178,n/a,1.53870503164841,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.05,0.05,0.12,0.04,0.19,0.04,0.05,0.19,0.07,0.11,0.04,0.06
HKY+I,22,14944.0244767184,14782.4296178083,-7369.17068227991,0.472841649665387,n/a,1.72825386130079,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.05,0.04,0.17,0.04,0.15,0.05,0.04,0.16,0.05,0.15,0.05,0.04
JC+G+I,19,15261.0911218924,15121.5219666545,-7541.72785342317,0.421449071620629,2.57651856388095,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,15285.0442009034,15152.817646857,-7558.37900911413,0.469373638983971,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,15289.3454944025,15157.1189403561,-7560.52965586368,n/a,0.429442458497815,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,15692.2509462354,15508.6335354291,-7729.26006848217,n/a,n/a,1.24187273036242,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.05,0.06,0.11,0.04,0.17,0.04,0.06,0.18,0.08,0.1,0.04,0.07
TN93,22,15704.9843469177,15543.3894880076,-7749.65061737959,n/a,n/a,1.46094303900411,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.05,0.05,0.11,0.05,0.19,0.05,0.05,0.2,0.05,0.1,0.05,0.05
K2,18,15746.1588425302,15613.9322884837,-7788.93632992749,n/a,n/a,1.44572669881772,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,15752.7824411592,15613.2132859214,-7787.5735130566,n/a,n/a,1.44657144250691,0.243124456048738,0.243124456048738,0.256875543951262,0.256875543951262,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,15778.7573994015,15624.5040916403,-7791.21175980692,n/a,n/a,1.44608697647409,0.237684943429069,0.248563968668407,0.242384682332463,0.271366405570061,0.05,0.05,0.16,0.05,0.14,0.06,0.05,0.15,0.06,0.14,0.05,0.05
JC,17,16075.617618017,15950.734014993,-7958.34033385632,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
