Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,6387.6318635785,6258.79109200117,-3109.30539790013,n/a,0.344566635185109,2.47083220229932,0.2125,0.2125,0.2875,0.2875,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.15,0.04,0.15,0.03,0.04
K2+G,19,6394.17812906777,6271.7712048072,-3116.80405733922,n/a,0.349960664256989,2.42031866023122,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
TN93+G,23,6395.06276639676,6246.92565185386,-3100.3442692259,n/a,0.364495961376155,2.55856827598047,0.207478632478632,0.217521367521368,0.249358974358974,0.325641025641026,0.03,0.03,0.14,0.03,0.27,0.04,0.03,0.23,0.04,0.09,0.03,0.03
T92+G+I,21,6395.43656189404,6260.16280912535,-3108.98222036345,0.109647362236167,0.430562774621789,2.44551230065752,0.2125,0.2125,0.2875,0.2875,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.15,0.04,0.15,0.03,0.04
K2+G+I,20,6401.77624128094,6272.93546970361,-3116.37758675135,0.125075749612158,0.450760189510497,2.40298330316733,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
TN93+G+I,24,6402.429814423,6247.86232041457,-3099.80226654456,0.124377812778058,0.469596717442671,2.54434691758171,0.207478632478632,0.217521367521368,0.249358974358974,0.325641025641026,0.03,0.03,0.14,0.03,0.27,0.04,0.03,0.23,0.04,0.09,0.03,0.03
HKY+G,22,6410.64496089883,6268.93909362214,-3112.36089317139,n/a,0.348494966085734,2.53062853226017,0.207478632478632,0.217521367521368,0.249358974358974,0.325641025641026,0.03,0.03,0.23,0.03,0.18,0.05,0.03,0.16,0.05,0.15,0.03,0.03
GTR+G,26,6416.76499020723,6249.33934290791,-3098.51880104776,n/a,0.360148922699675,2.59837939220699,0.207478632478632,0.217521367521368,0.249358974358974,0.325641025641026,0.03,0.04,0.14,0.03,0.27,0.03,0.03,0.24,0.05,0.09,0.02,0.04
HKY+G+I,23,6418.6130087843,6270.4758942414,-3112.11939041967,0.0965276616685878,0.422569054841351,2.50919158058373,0.207478632478632,0.217521367521368,0.249358974358974,0.325641025641026,0.03,0.03,0.23,0.03,0.18,0.05,0.03,0.16,0.05,0.15,0.03,0.03
GTR+G+I,27,6424.33047409954,6250.47705409506,-3098.07601629946,0.11177460122015,0.450296111022207,2.58448987331906,0.207478632478632,0.217521367521368,0.249358974358974,0.325641025641026,0.03,0.04,0.14,0.03,0.27,0.03,0.03,0.24,0.05,0.09,0.02,0.04
T92+I,20,6484.37822407389,6355.53745249656,-3157.67857814783,0.436532372916527,n/a,1.87795788305633,0.2125,0.2125,0.2875,0.2875,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+I,19,6489.72405238677,6367.31712812621,-3164.57701899873,0.438302754903933,n/a,1.87273759410588,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
