Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,14206.6345177935,14027.8499431334,-6989.87782028971,0.465092600966713,1.25496990841029,2.69085876321935,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.03,0.03,0.11,0.03,0.29,0.04,0.03,0.24,0.04,0.09,0.03,0.03
GTR+G+I,27,14224.9990436223,14023.879155994,-6984.88015337825,0.458222943619892,1.2054043595096,2.71318669385702,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.02,0.04,0.11,0.02,0.29,0.03,0.04,0.24,0.05,0.1,0.03,0.04
TN93+G,23,14225.5330796422,14054.194240511,-7004.05374448934,n/a,0.281617266118314,2.81653834632893,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.03,0.03,0.11,0.03,0.3,0.04,0.03,0.24,0.04,0.09,0.03,0.03
T92+G+I,21,14233.1754176351,14076.7289959245,-7017.32820003641,0.487778347096369,1.52835250589985,2.42481933619746,0.22678431372549,0.22678431372549,0.27321568627451,0.27321568627451,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
GTR+G,26,14241.336946311,14047.661847328,-6997.7757479979,n/a,0.284574410667753,2.80601774157746,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.01,0.04,0.11,0.02,0.3,0.03,0.04,0.24,0.05,0.09,0.02,0.04
T92+G,20,14252.2485541151,14103.2488141474,-7031.59141155168,n/a,0.288629496850645,2.45618519393186,0.22678431372549,0.22678431372549,0.27321568627451,0.27321568627451,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+I,23,14255.7256326738,14084.3867935426,-7019.15002100514,0.548989214187872,n/a,2.20151091994326,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.03,0.04,0.13,0.04,0.25,0.04,0.04,0.2,0.04,0.11,0.03,0.04
K2+G+I,20,14265.1165597546,14116.1168197869,-7038.02541437142,0.482025147713707,1.52165901497622,2.32946362044289,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,14269.9605368019,14098.6216976707,-7026.26747306921,0.488268149894939,1.52640841732656,2.4617372628887,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.03,0.04,0.2,0.03,0.19,0.04,0.03,0.15,0.04,0.17,0.03,0.04
T92+I,20,14272.7738944723,14123.7741545047,-7041.8540817303,0.555006954178035,n/a,2.15837973642302,0.22678431372549,0.22678431372549,0.27321568627451,0.27321568627451,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,14275.957453828,14082.2823548449,-7015.08600175635,0.548248892591527,n/a,2.23042964570935,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.02,0.04,0.13,0.02,0.25,0.04,0.04,0.2,0.05,0.11,0.03,0.05
K2+G,19,14281.5242561416,14139.971513173,-7050.95590584024,n/a,0.296088951801237,2.35836555393337,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G,22,14288.7495807218,14124.8567925985,-7040.38863830444,n/a,0.287239312085603,2.49706917507478,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.03,0.04,0.2,0.03,0.19,0.04,0.03,0.15,0.04,0.17,0.03,0.04
K2+I,19,14305.0022152707,14163.449472302,-7062.69488540476,0.553332756832048,n/a,2.08793967264122,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,14309.8025837685,14145.9097956452,-7050.9151398278,0.555212605722242,n/a,2.18101338157804,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.03,0.04,0.19,0.04,0.18,0.04,0.04,0.15,0.04,0.17,0.03,0.04
JC+G+I,19,14748.6884808947,14607.1357379261,-7284.53801821676,0.497386952824926,2.34571874448857,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,14766.5260704916,14632.4206397038,-7298.18345629054,n/a,0.32805179195828,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,14770.7850587887,14636.679628001,-7300.31295043909,0.54874804455057,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,15179.7956795033,14993.5656848678,-7471.73175786931,n/a,n/a,1.73385119010766,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.02,0.05,0.12,0.02,0.23,0.05,0.05,0.19,0.07,0.11,0.04,0.06
TN93,22,15182.1528790326,15018.2600909093,-7487.09028745983,n/a,n/a,1.73132916307937,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.04,0.05,0.12,0.04,0.23,0.05,0.04,0.18,0.05,0.1,0.04,0.05
K2,18,15218.4574408371,15084.3520100493,-7524.14914146325,n/a,n/a,1.71452496831644,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92,19,15218.5051869078,15076.9524439392,-7519.44637122331,n/a,n/a,1.71896423193912,0.22678431372549,0.22678431372549,0.27321568627451,0.27321568627451,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY,21,15258.6509779933,15102.2045562827,-7530.06598021551,n/a,n/a,1.71640869470417,0.241254901960784,0.212313725490196,0.262352941176471,0.284078431372549,0.04,0.05,0.18,0.04,0.17,0.05,0.04,0.13,0.05,0.15,0.04,0.05
JC,17,15628.9305240992,15502.2727205998,-7734.11232636963,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
