Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,8911.10861173181,8776.66352649969,-4368.26357036139,n/a,0.44640361485583,1.92429757432608,0.224433656957929,0.224433656957929,0.275566343042071,0.275566343042071,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G+I,21,8917.80528681099,8776.64479096862,-4367.24737112575,0.182015347539467,0.732930261976584,1.88190625698154,0.224433656957929,0.224433656957929,0.275566343042071,0.275566343042071,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+G,23,8926.41415999262,8771.82480556419,-4362.82273416611,n/a,0.44878150179137,1.96690081316271,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.04,0.14,0.04,0.23,0.05,0.04,0.19,0.05,0.11,0.04,0.04
HKY+G,22,8933.03792924372,8785.16267689633,-4370.49915556689,n/a,0.444341837639513,1.94493591621015,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.04,0.19,0.04,0.18,0.05,0.04,0.14,0.05,0.16,0.04,0.04
TN93+G+I,24,8933.46933989384,8772.16653812735,-4361.9857873415,0.171527475915178,0.712511069630557,1.92562672723261,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.04,0.14,0.04,0.23,0.05,0.04,0.18,0.05,0.11,0.04,0.04
HKY+G+I,23,8939.73057730291,8785.14122287449,-4369.48094282126,0.182283735479566,0.73022767756788,1.90123379688846,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.16,0.04,0.05
K2+G,19,8942.96815324249,8815.23913240729,-4388.55787789196,n/a,0.468820144523281,1.82670252764267,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G+I,27,8944.58867207018,8763.1494599401,-4354.45184310399,0.152529541829421,0.688532606542355,1.88771995915241,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.02,0.05,0.14,0.02,0.23,0.04,0.05,0.18,0.07,0.11,0.03,0.06
K2+G+I,20,8949.35459365752,8814.9095084254,-4387.38656132424,0.191810501701175,0.803468021742652,1.78628034775532,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G,26,8951.263069507,8776.53533857019,-4362.15357859763,n/a,0.481062988221872,1.65868185516571,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.05,0.15,0.04,0.2,0.04,0.04,0.16,0.07,0.12,0.03,0.06
T92+I,20,8978.93517911371,8844.49009388159,-4402.17685405234,0.381650073119194,n/a,1.53272348957921,0.224433656957929,0.224433656957929,0.275566343042071,0.275566343042071,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,8996.22858504692,8841.6392306185,-4397.72994669326,0.379315207036986,n/a,1.54178123078957,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.05,0.14,0.05,0.2,0.06,0.05,0.16,0.06,0.12,0.04,0.05
HKY+I,22,9000.78999554508,8852.91474319769,-4404.37518871757,0.381772927864005,n/a,1.54215587375852,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.05,0.17,0.05,0.16,0.06,0.05,0.13,0.06,0.14,0.04,0.05
K2+I,19,9005.29344079294,8877.56441995773,-4419.72052166718,0.380018850765135,n/a,1.49216840823488,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+I,26,9007.02721471729,8832.29948378048,-4390.03565120277,0.378448583251984,n/a,1.55208293791641,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.02,0.05,0.14,0.03,0.2,0.05,0.05,0.16,0.08,0.12,0.04,0.07
JC+G,18,9135.48287712336,9014.47057415339,-4489.17977660762,n/a,0.540633643145067,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,9139.57622438892,9011.84720355372,-4486.86191346517,0.237549402841738,1.16731693187634,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9178.09002035293,9057.07771738295,-4510.4833482224,0.376177968940859,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,9348.76354873027,9221.03452789506,-4591.45557563584,n/a,n/a,1.29154794432654,0.224433656957929,0.224433656957929,0.275566343042071,0.275566343042071,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,9359.84693537917,9238.8346324092,-4601.36180573552,n/a,n/a,1.28608109123869,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93,22,9360.88041738373,9213.00516503634,-4584.4203996369,n/a,n/a,1.29567986330096,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.05,0.06,0.13,0.05,0.18,0.06,0.05,0.15,0.06,0.11,0.05,0.06
HKY,21,9371.2642821128,9230.10378627043,-4593.97686877666,n/a,n/a,1.28999995643828,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.05,0.06,0.16,0.05,0.15,0.06,0.05,0.12,0.06,0.13,0.05,0.06
GTR,25,9372.53043867698,9204.51484463457,-4577.15179995784,n/a,n/a,1.14007216880876,0.237864077669903,0.211003236245955,0.264563106796117,0.286569579288026,0.04,0.06,0.13,0.05,0.17,0.05,0.05,0.13,0.09,0.11,0.04,0.08
JC,17,9511.61807609712,9397.32314414256,-4681.61191286972,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
