Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G,22,6257.78475878823,6111.24010994729,-3033.53276844613,n/a,0.25824103981307,1.76969608981164,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.05,0.05,0.18,0.03,0.17,0.05,0.03,0.19,0.05,0.1,0.05,0.05
TN93+G,23,6258.12307728939,6104.92527604318,-3029.36739992635,n/a,0.256135111687503,1.88126529042141,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.05,0.05,0.12,0.03,0.22,0.05,0.03,0.23,0.05,0.07,0.05,0.05
TN93+G+I,24,6260.74230075182,6100.89204283912,-3026.3424838872,0.423964925520319,0.756349512311947,1.94215485513874,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.05,0.05,0.12,0.03,0.22,0.05,0.03,0.24,0.05,0.07,0.05,0.05
HKY+G+I,23,6261.09471683114,6107.89691558493,-3030.85321969723,0.409274086020048,0.705971907996154,1.82044960700092,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.05,0.05,0.18,0.03,0.17,0.05,0.03,0.19,0.05,0.1,0.05,0.05
GTR+G,26,6268.89661985226,6095.74353726414,-3021.7505878967,n/a,0.265202123383525,1.93916980974523,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.02,0.05,0.12,0.01,0.22,0.04,0.03,0.24,0.08,0.07,0.04,0.08
GTR+G+I,27,6272.28492932663,6092.4814794508,-3019.11021486352,0.403670009346798,0.72116702681282,2.00461124378011,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.02,0.05,0.12,0.01,0.23,0.04,0.03,0.24,0.08,0.07,0.04,0.08
TN93+I,23,6292.23636877866,6139.03856753245,-3046.42404567099,0.569393612026957,n/a,1.61078138240281,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.06,0.05,0.12,0.03,0.2,0.05,0.03,0.21,0.05,0.07,0.06,0.05
HKY+I,22,6293.7521683263,6147.20751948536,-3051.51647321517,0.570679888383186,n/a,1.56340170968084,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.06,0.05,0.17,0.03,0.17,0.05,0.03,0.18,0.05,0.1,0.06,0.05
T92+G,20,6298.7694771071,6165.53321885337,-3062.69418314629,n/a,0.259445276787292,1.77703971971314,0.226718213058419,0.226718213058419,0.273281786941581,0.273281786941581,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G+I,21,6302.3624942735,6162.47169321664,-3060.15616395913,0.434684812751356,0.816987967080646,1.82229420972254,0.226718213058419,0.226718213058419,0.273281786941581,0.273281786941581,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+I,26,6304.43344441194,6131.28036182382,-3039.51900017654,0.566420788192848,n/a,1.67071079171938,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.03,0.04,0.13,0.02,0.2,0.05,0.02,0.22,0.08,0.07,0.05,0.08
K2+G,19,6320.83938918288,6194.25836839186,-3078.06366695455,n/a,0.270828613488049,1.6765408396632,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,6325.53542741831,6192.29916916459,-3076.0771583019,0.425867457075511,0.841931593564371,1.70656293711442,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+I,20,6328.59742776388,6195.36116951015,-3077.60815847468,0.572359632124759,n/a,1.58174888292213,0.226718213058419,0.226718213058419,0.273281786941581,0.273281786941581,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+I,19,6350.45545965567,6223.87443886465,-3092.87170219094,0.56952453523009,n/a,1.50823399883004,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G,18,6435.34418169302,6315.41909266502,-3139.65059097998,n/a,0.287608230599596,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,6441.99858787134,6315.41756708032,-3138.64326629878,0.453859873819025,1.15771907108709,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,6457.73775163914,6337.81266261113,-3150.84737595304,0.567216252557385,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY,21,6689.89258574471,6550.00178468785,-3253.92120969474,n/a,n/a,1.28706469890871,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.06,0.06,0.15,0.04,0.15,0.06,0.04,0.16,0.06,0.09,0.06,0.06
TN93,22,6690.86451024114,6544.3198614002,-3250.07264417259,n/a,n/a,1.28817878242274,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.07,0.06,0.12,0.04,0.17,0.06,0.04,0.19,0.06,0.07,0.07,0.06
GTR,25,6691.23129636472,6524.72927788455,-3237.25245392329,n/a,n/a,1.09324676404209,0.161340206185567,0.292096219931271,0.271649484536082,0.274914089347079,0.06,0.05,0.12,0.03,0.16,0.05,0.03,0.17,0.1,0.07,0.05,0.1
T92,19,6730.00768533494,6603.42666454392,-3282.64781503058,n/a,n/a,1.28719111009788,0.226718213058419,0.226718213058419,0.273281786941581,0.273281786941581,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,6732.58317685862,6612.65808783062,-3288.27008856278,n/a,n/a,1.28297629696832,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,6826.48543711026,6713.21697378659,-3339.55574645896,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
