Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,19104.419070075,18910.8465677033,-9429.36789049568,n/a,0.666031588339189,1.33132612636273,0.177086614173228,0.255669291338583,0.264803149606299,0.30244094488189,0.03,0.08,0.17,0.02,0.16,0.04,0.05,0.15,0.09,0.1,0.03,0.08
GTR+G+I,27,19113.8683933505,18912.8550651763,-9429.36787349724,0,0.665756528679989,1.33159125342396,0.177086614173228,0.255669291338583,0.264803149606299,0.30244094488189,0.03,0.08,0.17,0.02,0.16,0.04,0.05,0.15,0.09,0.1,0.03,0.08
HKY+G,22,19130.6761282608,18966.8700978797,-9461.3951341335,n/a,0.637263171001877,1.3394323574196,0.177086614173228,0.255669291338583,0.264803149606299,0.30244094488189,0.05,0.06,0.18,0.04,0.15,0.06,0.04,0.15,0.06,0.1,0.05,0.06
T92+G,20,19132.7606326152,18983.839738448,-9471.88674358316,n/a,0.632151909463853,1.33356909442929,0.216377952755906,0.216377952755906,0.283622047244094,0.283622047244094,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
TN93+G,23,19138.9698061474,18967.7216826015,-9460.81729444056,n/a,0.634133804577249,1.34537520642668,0.177086614173228,0.255669291338583,0.264803149606299,0.30244094488189,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.16,0.06,0.1,0.05,0.06
HKY+G+I,23,19140.1258059744,18968.8776824286,-9461.39529435408,0.00001,0.636874978780587,1.33978847769608,0.177086614173228,0.255669291338583,0.264803149606299,0.30244094488189,0.05,0.06,0.18,0.04,0.15,0.06,0.04,0.15,0.06,0.1,0.05,0.06
T92+G+I,21,19142.2102001239,18985.8465795606,-9471.88684870125,0.00001,0.631826040736116,1.3338732794313,0.216377952755906,0.216377952755906,0.283622047244094,0.283622047244094,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
TN93+G+I,24,19148.4191214407,18969.7292214582,-9460.81727345097,0,0.633747925591322,1.34572348311918,0.177086614173228,0.255669291338583,0.264803149606299,0.30244094488189,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.16,0.06,0.1,0.05,0.06
K2+G,19,19265.5294729352,19124.0516216673,-9542.99584237938,n/a,0.686268417720805,1.26686397944654,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G+I,20,19274.9788738263,19126.057979659,-9542.99586418868,0,0.68581942581066,1.26717895437795,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
