Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,14126.3050634976,13977.7016769051,-6967.79814684669,0.311235050236643,1.83056720783786,1.37509955023742,0.203526734926052,0.203526734926052,0.296473265073948,0.296473265073948,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,14152.0114414444,14010.4798336253,-6985.1920208154,n/a,0.453256300706272,1.49994419457595,0.203526734926052,0.203526734926052,0.296473265073948,0.296473265073948,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,14157.3782580986,13994.6326894491,-6974.25337415646,0.309989652792041,1.90174286309562,1.36223764406156,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.05,0.06,0.18,0.03,0.17,0.06,0.03,0.15,0.06,0.09,0.05,0.06
TN93+G+I,24,14164.7975238722,13994.9815522534,-6973.42232204797,0.308585613329419,1.89736792814757,1.34677918389066,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.05,0.06,0.19,0.03,0.16,0.06,0.03,0.14,0.06,0.1,0.05,0.06
GTR+G+I,27,14166.9815844393,13975.9571580327,-6960.8922973455,0.300139247774113,1.83062339287339,1.34752652177604,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.04,0.1,0.19,0.02,0.16,0.05,0.06,0.13,0.06,0.1,0.04,0.06
HKY+G,22,14183.5625319143,14027.8878249927,-6991.8861960597,n/a,0.464316065635803,1.48943498229791,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.05,0.06,0.18,0.03,0.18,0.06,0.03,0.15,0.06,0.09,0.05,0.06
T92+I,20,14187.6810909485,14046.1494831294,-7003.02684556744,0.358268327424417,n/a,1.19511005699469,0.203526734926052,0.203526734926052,0.296473265073948,0.296473265073948,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR+G,26,14188.291028648,14004.3356279934,-6976.08770444518,n/a,0.481801462842899,1.45635512664235,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.04,0.11,0.2,0.02,0.15,0.04,0.06,0.13,0.05,0.11,0.04,0.05
TN93+G,23,14189.7117000304,14026.966131381,-6990.42009512241,n/a,0.468754997855637,1.46740453792644,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.05,0.06,0.2,0.03,0.16,0.06,0.03,0.14,0.06,0.11,0.05,0.06
HKY+I,22,14213.9273331062,14058.2526261845,-7007.06859665561,0.356712755796916,n/a,1.18619475277921,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.06,0.07,0.17,0.04,0.16,0.07,0.04,0.14,0.07,0.09,0.06,0.07
TN93+I,23,14221.1404244013,14058.3948557519,-7006.13445730784,0.356366378515635,n/a,1.1762179011763,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.06,0.07,0.18,0.03,0.15,0.07,0.03,0.13,0.07,0.09,0.06,0.07
GTR+I,26,14224.0941703553,14040.1387697007,-6993.98927529883,0.353744168550415,n/a,1.18085803707074,0.155631399317406,0.251422070534699,0.292377701934016,0.300568828213879,0.04,0.1,0.18,0.02,0.15,0.06,0.05,0.13,0.07,0.09,0.05,0.06
K2+G+I,20,14230.8781937434,14089.3465859243,-7024.62539696489,0.313219650783235,2.10243653506559,1.24773833105353,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
