Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,9070.6640446968,8939.54345952414,-4449.69125457525,n/a,0.531850646909887,1.49246281422018,0.222137404580153,0.222137404580153,0.277862595419847,0.277862595419847,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G+I,21,9077.82215176104,8940.15361877817,-4448.98826971871,0.104876373929938,0.741827076536036,1.48834203517428,0.222137404580153,0.222137404580153,0.277862595419847,0.277862595419847,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G,23,9087.33332353966,8936.57121410313,-4445.17977883071,n/a,0.535284448830039,1.51705288811413,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.04,0.05,0.13,0.04,0.21,0.06,0.04,0.17,0.06,0.1,0.04,0.05
HKY+G,22,9089.09173123339,8944.87602334772,-4450.34102106623,n/a,0.531287469870759,1.49542191855441,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.04,0.05,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+G,26,9090.61999002895,8920.22332050205,-4433.97699690938,n/a,0.544628903538101,1.48726807540734,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.03,0.07,0.13,0.03,0.21,0.02,0.06,0.17,0.08,0.1,0.02,0.08
TN93+G+I,24,9094.72144692985,8937.41370973929,-4444.59180213714,0.0961026087875466,0.724013574424296,1.51161514966959,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.04,0.05,0.13,0.04,0.21,0.06,0.04,0.17,0.06,0.1,0.04,0.05
HKY+G+I,23,9096.25676753849,8945.49465810196,-4449.64150083012,0.104723603045562,0.74047808997304,1.49133990464861,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.04,0.05,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+G,19,9107.73790750489,8983.16604260564,-4472.51022436795,n/a,0.569336121256076,1.40299564940957,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+G+I,27,9111.35934527122,8934.41937205347,-4440.06463614185,0.10615736991633,0.818351312943978,1.26409971416068,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.03,0.07,0.14,0.03,0.18,0.06,0.06,0.14,0.08,0.11,0.04,0.08
K2+G+I,20,9114.71716935713,8983.59658418447,-4471.71781690542,0.107155486354348,0.807577280238006,1.40065241515922,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,9195.01588254896,9063.89529737629,-4511.86717350133,0.229239610310529,n/a,1.21124637813492,0.222137404580153,0.222137404580153,0.277862595419847,0.277862595419847,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
JC+G,18,9208.51922417463,9090.49685156813,-4527.18292109148,n/a,0.612476646073418,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+I,22,9213.63092587562,9069.41521798994,-4512.61061838734,0.229148612450772,n/a,1.21216543888049,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
TN93+I,23,9213.83224456951,9063.07013513298,-4508.42923934563,0.227861919180495,n/a,1.21140824312755,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.05,0.06,0.13,0.05,0.18,0.06,0.05,0.14,0.06,0.1,0.05,0.06
GTR+I,26,9214.99606952884,9044.59940000194,-4496.16503665932,0.228808779784041,n/a,1.2355932588728,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.03,0.06,0.13,0.03,0.18,0.04,0.05,0.15,0.09,0.1,0.03,0.09
JC+G+I,19,9216.60396873661,9092.03210383736,-4526.94325498381,0.0645913118063336,0.749314235269514,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+I,19,9219.6850983729,9095.11323347364,-4528.48381980196,0.228124633178396,n/a,1.17855617691042,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+I,18,9314.64209565554,9196.61972304904,-4580.24435683193,0.225135578094054,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,9441.68074073125,9317.108875832,-4639.48164098113,n/a,n/a,1.0184139636893,0.222137404580153,0.222137404580153,0.277862595419847,0.277862595419847,0.05,0.07,0.14,0.05,0.14,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR,25,9450.33587412191,9286.48328341937,-4618.11697734451,n/a,n/a,1.03019633460879,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.04,0.08,0.12,0.04,0.17,0.05,0.06,0.14,0.1,0.09,0.04,0.09
K2,18,9453.76558868783,9335.74321608133,-4649.80610334808,n/a,n/a,1.0099018361004,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
TN93,22,9455.29235681497,9311.07664892929,-4633.44133385702,n/a,n/a,1.02559462235873,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.05,0.07,0.12,0.05,0.17,0.07,0.05,0.13,0.07,0.09,0.05,0.07
HKY,21,9460.10033492994,9322.43180194707,-4640.12736130316,n/a,n/a,1.01802923506961,0.224045801526718,0.220229007633588,0.275,0.280725190839695,0.05,0.07,0.14,0.06,0.14,0.07,0.06,0.11,0.07,0.11,0.05,0.07
JC,17,9532.20008980217,9420.72798106426,-4693.30539229391,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
