Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,6420.21403300114,6285.91374937433,-3121.85300778069,0.356393353827243,2.20968480778989,1.31383255810563,0.192393736017897,0.192393736017897,0.307606263982103,0.307606263982103,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.11,0.06,0.11,0.04,0.06
T92+G,20,6428.35922366748,6300.4451563887,-3130.12817495767,n/a,0.442592451910958,1.43465785101753,0.192393736017897,0.192393736017897,0.307606263982103,0.307606263982103,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+I,20,6430.06679745493,6302.15273017614,-3130.98196185139,0.402771519409762,n/a,1.18176096033778,0.192393736017897,0.192393736017897,0.307606263982103,0.307606263982103,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
TN93+G+I,24,6430.39691705926,6276.9434348109,-3114.33673427834,0.345683772174962,1.96939394241165,1.39264600430366,0.194407158836689,0.190380313199105,0.282102908277405,0.333109619686801,0.04,0.06,0.12,0.04,0.24,0.07,0.04,0.16,0.07,0.07,0.04,0.06
TN93+G,23,6437.48938991761,6290.41939819305,-3122.08554255132,n/a,0.442451499851025,1.52465191791207,0.194407158836689,0.190380313199105,0.282102908277405,0.333109619686801,0.04,0.05,0.12,0.04,0.26,0.06,0.04,0.17,0.06,0.07,0.04,0.05
HKY+G+I,23,6442.20339915467,6295.13340743012,-3124.44254716985,0.358111004806682,2.29891384403311,1.32060050541877,0.194407158836689,0.190380313199105,0.282102908277405,0.333109619686801,0.04,0.06,0.19,0.04,0.16,0.07,0.04,0.11,0.07,0.11,0.04,0.06
TN93+I,23,6443.30190140412,6296.23190967956,-3124.99179829457,0.398892492418113,n/a,1.19842229929957,0.194407158836689,0.190380313199105,0.282102908277405,0.333109619686801,0.04,0.06,0.13,0.04,0.21,0.07,0.04,0.14,0.07,0.08,0.04,0.06
GTR+G+I,27,6445.84413791816,6273.24564556572,-3109.45262917638,0.344602841388398,2.04838018449296,1.35955192788387,0.194407158836689,0.190380313199105,0.282102908277405,0.333109619686801,0.03,0.06,0.13,0.03,0.24,0.04,0.04,0.16,0.09,0.07,0.02,0.08
HKY+G,22,6451.16484255294,6310.47925057332,-3133.12584071279,n/a,0.446140598148414,1.44409377030474,0.194407158836689,0.190380313199105,0.282102908277405,0.333109619686801,0.04,0.06,0.2,0.04,0.17,0.07,0.04,0.11,0.07,0.12,0.04,0.06
HKY+I,22,6451.33281852147,6310.64722654184,-3133.20982869705,0.40242667378134,n/a,1.18861456715555,0.194407158836689,0.190380313199105,0.282102908277405,0.333109619686801,0.04,0.06,0.19,0.04,0.16,0.07,0.04,0.11,0.07,0.11,0.04,0.06
