Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,5363.64242200569,5230.06618141304,-2593.92559884984,0.421966975895117,0.980652643457319,1.35584456759985,0.212615740740741,0.212615740740741,0.287384259259259,0.287384259259259,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,5364.46931812159,5237.24449877456,-2598.52455224841,n/a,0.289340523597071,1.36298905820176,0.212615740740741,0.212615740740741,0.287384259259259,0.287384259259259,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G,26,5372.99008128847,5207.67084760143,-2577.67190178814,n/a,0.305546583280992,1.35978586808177,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.01,0.05,0.11,0.01,0.23,0.03,0.04,0.17,0.13,0.09,0.02,0.11
GTR+G+I,27,5374.79502106188,5203.13001598625,-2574.38886633422,0.403501435035636,0.990097120960901,1.35201801143184,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.01,0.05,0.12,0.02,0.23,0.03,0.04,0.17,0.12,0.09,0.02,0.11
TN93+G,23,5379.69817839757,5233.42191596932,-2593.58246636455,n/a,0.288331397828169,1.4407214788912,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.04,0.05,0.11,0.05,0.23,0.06,0.05,0.17,0.06,0.08,0.04,0.05
TN93+G+I,24,5380.42314705497,5227.79828535019,-2589.75944535263,0.405027346080544,0.911646694877657,1.3988341008175,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.04,0.05,0.12,0.05,0.22,0.06,0.05,0.16,0.06,0.09,0.04,0.05
HKY+G+I,23,5385.64847957153,5239.37221714327,-2596.55761695152,0.421817597411799,0.979535005738418,1.39304823143679,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.04,0.06,0.18,0.05,0.16,0.06,0.05,0.11,0.06,0.13,0.04,0.06
HKY+G,22,5386.56509795749,5246.63837611896,-2601.20143148513,n/a,0.289467247775388,1.40110044503559,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.04,0.06,0.18,0.05,0.16,0.06,0.05,0.11,0.06,0.13,0.04,0.06
T92+I,20,5391.42026301628,5264.19544366926,-2612.00002469576,0.525621181423644,n/a,1.1708533441679,0.212615740740741,0.212615740740741,0.287384259259259,0.287384259259259,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.12,0.07,0.12,0.05,0.07
GTR+I,26,5402.07374699815,5236.75451331112,-2592.21373464298,0.520182058704697,n/a,1.23036375539058,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.02,0.04,0.14,0.02,0.19,0.05,0.04,0.14,0.12,0.1,0.03,0.11
K2+G+I,20,5409.8389699091,5282.61415056208,-2621.20937814217,0.433201554065224,1.1710689516174,1.22860247626225,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G,19,5410.82450665655,5289.95204789907,-2625.88765185651,n/a,0.306741309791371,1.23427600780468,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93+I,23,5411.0197356815,5264.74347325325,-2609.24324500651,0.522758668024733,n/a,1.18749541586305,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.04,0.06,0.13,0.05,0.19,0.07,0.05,0.14,0.07,0.1,0.04,0.06
HKY+I,22,5413.4028198223,5273.47609798377,-2614.62029241753,0.525530702220897,n/a,1.19633642454177,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.04,0.06,0.17,0.05,0.15,0.07,0.05,0.11,0.07,0.13,0.04,0.06
K2+I,19,5432.49875109259,5311.62629233512,-2636.72477407453,0.524226061160626,n/a,1.11384387353065,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,5455.59690505359,5334.72444629611,-2648.27385105503,0.44320244169819,1.36759134707392,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,5456.23398061831,5341.71482113909,-2652.77789417801,n/a,0.31551496617706,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5473.60496345956,5359.08580398035,-2661.46338559864,0.52303307354851,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,5741.57849850721,5582.60597949675,-2766.15161573813,n/a,n/a,0.982022534935195,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.02,0.06,0.11,0.02,0.18,0.05,0.05,0.14,0.14,0.09,0.03,0.12
T92,19,5766.17121181015,5645.29875305267,-2803.56100443331,n/a,n/a,0.959719702754486,0.212615740740741,0.212615740740741,0.287384259259259,0.287384259259259,0.05,0.07,0.14,0.05,0.14,0.07,0.05,0.11,0.07,0.11,0.05,0.07
TN93,22,5776.55614238711,5636.62942054858,-2796.19695369993,n/a,n/a,0.969828123900112,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.05,0.07,0.11,0.06,0.18,0.08,0.06,0.13,0.08,0.08,0.05,0.07
HKY,21,5787.54792880457,5653.97168821192,-2805.87835224928,n/a,n/a,0.959171639844818,0.230092592592593,0.195138888888889,0.265972222222222,0.308796296296296,0.05,0.07,0.15,0.06,0.13,0.08,0.06,0.1,0.08,0.11,0.05,0.07
K2,18,5790.65038631157,5676.13122683236,-2819.98609702464,n/a,n/a,0.95478716651087,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
JC,17,5823.66532529125,5715.50040312443,-2840.6790718551,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
