Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,13115.6920104144,12941.7256321749,-6446.80520686995,0.369225841364256,1.2449262765244,1.95949714338727,0.220977011494253,0.194540229885057,0.300287356321839,0.284195402298851,0.03,0.05,0.11,0.04,0.29,0.05,0.04,0.19,0.05,0.09,0.03,0.05
GTR+G+I,27,13120.4823498175,12924.785770616,-6435.32027677937,0.351058827947295,1.10070104122901,1.95509885251248,0.220977011494253,0.194540229885057,0.300287356321839,0.284195402298851,0.03,0.06,0.11,0.03,0.29,0.02,0.04,0.19,0.06,0.09,0.01,0.07
TN93+G,23,13122.5501738503,12955.8279678207,-6454.86098851865,n/a,0.359999669834816,2.02907836216014,0.220977011494253,0.194540229885057,0.300287356321839,0.284195402298851,0.03,0.05,0.11,0.04,0.29,0.05,0.04,0.19,0.05,0.09,0.03,0.05
GTR+G,26,13123.6314329761,12935.1778680394,-6441.52151828937,n/a,0.361813916620627,1.9959119471054,0.220977011494253,0.194540229885057,0.300287356321839,0.284195402298851,0.03,0.06,0.11,0.03,0.29,0.01,0.05,0.19,0.06,0.09,0.01,0.07
T92+G+I,21,13142.5571589927,12990.3244545499,-6474.11788095127,0.353039869650918,1.17070488806212,1.74303350620508,0.207758620689655,0.207758620689655,0.292241379310345,0.292241379310345,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G,20,13144.8009659371,12999.8135906491,-6479.8664843542,n/a,0.378373308313183,1.79282437364286,0.207758620689655,0.207758620689655,0.292241379310345,0.292241379310345,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+G+I,23,13156.1380170438,12989.4158110141,-6471.65491011536,0.358720817987408,1.21556644721624,1.74594527396999,0.220977011494253,0.194540229885057,0.300287356321839,0.284195402298851,0.03,0.05,0.18,0.04,0.19,0.05,0.04,0.13,0.05,0.14,0.03,0.05
HKY+G,22,13159.3355157302,12999.8578676698,-6477.88035938928,n/a,0.378301918584509,1.79842547954426,0.220977011494253,0.194540229885057,0.300287356321839,0.284195402298851,0.03,0.05,0.18,0.04,0.2,0.05,0.04,0.13,0.05,0.14,0.03,0.05
TN93+I,23,13169.3321558558,13002.6099498262,-6478.25197952139,0.46062760241566,n/a,1.62623553193267,0.220977011494253,0.194540229885057,0.300287356321839,0.284195402298851,0.04,0.06,0.12,0.04,0.25,0.05,0.04,0.16,0.05,0.09,0.04,0.06
T92+I,20,13196.9684881636,13051.9811128755,-6505.95024546742,0.462080359653896,n/a,1.5296575262885,0.207758620689655,0.207758620689655,0.292241379310345,0.292241379310345,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
