Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,9901.13033510105,9757.45688487182,-4857.66185264058,0.368457565666136,1.64144618423809,1.47079618554383,0.230675287356322,0.230675287356322,0.269324712643678,0.269324712643678,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+G+I,27,9903.13919777446,9718.4630783036,-4832.12247971729,0.322539834195426,1.22898715990959,1.49663234532883,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.02,0.09,0.15,0.01,0.17,0.03,0.06,0.18,0.08,0.1,0.03,0.07
HKY+G+I,23,9908.28773410334,9750.94440432696,-4852.39261738839,0.361838845250297,1.5648151601442,1.45068280122587,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.06,0.05,0.17,0.04,0.15,0.06,0.04,0.16,0.06,0.11,0.06,0.05
T92+G,20,9913.27259708117,9776.43495692165,-4868.1569510073,n/a,0.374752272961097,1.57598714596768,0.230675287356322,0.230675287356322,0.269324712643678,0.269324712643678,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,9915.61406035279,9751.43666160095,-4851.63181313645,0.358683281833263,1.51741426999422,1.46018283223647,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.06,0.05,0.15,0.04,0.16,0.06,0.04,0.18,0.06,0.1,0.06,0.05
HKY+G,22,9918.97571696549,9768.46703678032,-4862.16057619613,n/a,0.37948653151267,1.54972100482017,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.05,0.05,0.17,0.04,0.15,0.06,0.04,0.17,0.06,0.11,0.05,0.05
GTR+G,26,9921.60426879708,9743.76047494659,-4845.77898260527,n/a,0.410432234785755,1.353593374199,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.05,0.08,0.16,0.04,0.15,0.03,0.06,0.16,0.08,0.1,0.03,0.07
TN93+G,23,9924.98299909793,9767.63966932155,-4860.74024988569,n/a,0.378087842622222,1.57077308309052,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.05,0.05,0.15,0.04,0.17,0.06,0.04,0.19,0.06,0.1,0.05,0.05
K2+G+I,20,9925.53975612701,9788.70211596749,-4874.29053053022,0.367143314796539,1.76330031706342,1.38789359498431,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,9933.66061558637,9796.82297542685,-4878.3509602599,0.424118526703152,n/a,1.28772950628114,0.230675287356322,0.230675287356322,0.269324712643678,0.269324712643678,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G,19,9938.4971775093,9808.49592728252,-4885.19320859803,n/a,0.396777043987116,1.4767766201479,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,9943.59501799449,9793.08633780933,-4874.47022671063,0.422261777057389,n/a,1.26165501721045,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.06,0.06,0.16,0.04,0.14,0.06,0.04,0.15,0.06,0.11,0.06,0.06
GTR+I,26,9949.86576714763,9772.02197329714,-4859.90973178055,0.415537090466103,n/a,1.30386254470366,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.03,0.08,0.16,0.02,0.15,0.04,0.06,0.16,0.08,0.1,0.04,0.07
TN93+I,23,9951.948989199,9794.60565942262,-4874.22324493622,0.422087995665546,n/a,1.2604849800596,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.06,0.06,0.15,0.04,0.15,0.06,0.04,0.16,0.06,0.1,0.06,0.06
K2+I,19,9954.92762719585,9824.92637696906,-4893.4084334413,0.422224496107271,n/a,1.2370525221563,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,10054.2686479881,9924.26739776131,-4943.07894383743,0.377548775939707,2.39496721954033,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10071.5448576892,9948.38057700756,-4956.14101606465,0.420373286906498,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10073.2498721299,9950.08559144826,-4956.993523285,n/a,0.438580358029678,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,10441.4091097556,10270.3982228953,-5110.10537046119,n/a,n/a,0.90169803575254,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.06,0.09,0.13,0.04,0.13,0.04,0.06,0.14,0.11,0.08,0.04,0.1
HKY,21,10484.8819487959,10341.2084985667,-5149.53765948801,n/a,n/a,1.05670053319116,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.07,0.06,0.15,0.05,0.13,0.07,0.05,0.14,0.07,0.1,0.07,0.06
K2,18,10485.9036950817,10362.7394144001,-5163.32043476091,n/a,n/a,1.0475404561447,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92,19,10489.436985762,10359.4357355352,-5160.66311272439,n/a,n/a,1.04880947101372,0.230675287356322,0.230675287356322,0.269324712643678,0.269324712643678,0.06,0.07,0.14,0.06,0.14,0.07,0.06,0.12,0.07,0.12,0.06,0.07
TN93,22,10489.8475828935,10339.3389027084,-5147.59650916015,n/a,n/a,1.05744873361091,0.187212643678161,0.274137931034483,0.253448275862069,0.285201149425287,0.07,0.06,0.13,0.05,0.14,0.07,0.05,0.15,0.07,0.09,0.07,0.06
JC,17,10583.8497468366,10467.523015062,-5216.71742801503,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
