Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,4829.81267868582,4705.8723479002,-2333.86092642535,n/a,0.314841385222689,1.99335871950801,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,4833.95929158807,4703.5037392345,-2331.66868482818,0.460963635185666,1.31227937414835,1.99834045712778,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,4836.23026785313,4712.28993706752,-2337.06972100901,0.570609088362432,n/a,1.86402692185836,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,4839.59027533652,4709.13472298295,-2334.48417670241,n/a,0.315178900814575,1.99595858831507,0.239842209072978,0.239842209072978,0.260157790927022,0.260157790927022,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,4843.31764988292,4706.34767464385,-2332.08231592731,0.470931005803771,1.41902087361578,1.99906522228402,0.239842209072978,0.239842209072978,0.260157790927022,0.260157790927022,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,4844.79026826427,4714.3347159107,-2337.08417316628,0.571015476551308,n/a,1.87063957135684,0.239842209072978,0.239842209072978,0.260157790927022,0.260157790927022,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
HKY+G,22,4859.40197788557,4715.91837891821,-2335.85893188035,n/a,0.315525331811553,2.01431896039979,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.04,0.18,0.04,0.17,0.04,0.04,0.14,0.04,0.18,0.04,0.04
TN93+G,23,4861.46728358562,4711.47086052231,-2332.62603668208,n/a,0.319190466423796,2.01297282167402,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.04,0.14,0.04,0.22,0.04,0.04,0.18,0.04,0.14,0.04,0.04
HKY+G+I,23,4863.09160159574,4713.09517853243,-2333.43819568714,0.476665540143988,1.49949865845809,2.01403733365242,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.04,0.18,0.04,0.17,0.04,0.04,0.14,0.04,0.18,0.04,0.04
HKY+I,22,4864.0143831888,4720.53078422144,-2338.16513453196,0.570978570089743,n/a,1.88887177367953,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.04,0.17,0.05,0.17,0.05,0.05,0.14,0.05,0.17,0.04,0.04
TN93+G+I,24,4865.05772412187,4708.54927707043,-2330.15570890191,0.460545313347532,1.34497149898526,2.01496432657919,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.04,0.14,0.04,0.22,0.04,0.04,0.18,0.04,0.14,0.04,0.04
TN93+I,23,4867.0315698628,4717.03514679949,-2335.40817982067,0.567233958958631,n/a,1.86915276363913,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.04,0.14,0.05,0.2,0.05,0.05,0.17,0.05,0.14,0.04,0.04
GTR+G,26,4880.57830913096,4711.04821633063,-2329.38490530987,n/a,0.323302331393246,1.9908194590252,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.03,0.14,0.05,0.21,0.07,0.03,0.18,0.03,0.14,0.05,0.03
GTR+I,26,4883.21956908801,4713.68947628768,-2330.7055352884,0.565996884414801,n/a,1.84761694678958,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.05,0.03,0.14,0.06,0.2,0.07,0.03,0.17,0.03,0.14,0.06,0.03
GTR+G+I,27,4883.37923024947,4707.33951664127,-2326.51981782083,0.484853717649173,1.7283957995127,1.97475012754576,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.03,0.14,0.05,0.21,0.07,0.03,0.18,0.03,0.14,0.06,0.03
JC+G,18,4944.21131956335,4826.78700855378,-2395.32579491241,n/a,0.345737396153061,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,4946.76055707633,4829.33624606676,-2396.6004136689,0.562835303099393,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,4948.89809742194,4824.95776663633,-2393.40363579341,0.482121192367759,1.98133315973815,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,5026.21940490026,4908.79509389069,-2436.32983758086,n/a,n/a,1.57172167915159,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,5035.72790276665,4911.78757198103,-2436.81853846576,n/a,n/a,1.5711463453792,0.239842209072978,0.239842209072978,0.260157790927022,0.260157790927022,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93,22,5053.18439629248,4909.70079732512,-2432.7501410838,n/a,n/a,1.57519262912655,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.05,0.13,0.05,0.19,0.05,0.05,0.16,0.05,0.13,0.04,0.05
HKY,21,5055.13506611108,4918.16509087202,-2437.9910240414,n/a,n/a,1.56990661330018,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.04,0.05,0.16,0.05,0.15,0.05,0.05,0.13,0.05,0.16,0.04,0.05
GTR,25,5070.88220335746,4907.86253290159,-2428.80240047141,n/a,n/a,1.56916815543484,0.264694280078895,0.214990138067061,0.253648915187377,0.266666666666667,0.05,0.04,0.13,0.06,0.19,0.07,0.04,0.16,0.04,0.13,0.06,0.04
JC,17,5123.36272613887,5012.45523263944,-2489.16704624846,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
