Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,6918.81875928303,6754.95600448341,-3353.39034701892,0.500060359750031,0.64564386143278,2.91282786854389,0.217321688500728,0.248326055312955,0.256914119359534,0.277438136826783,0.03,0.03,0.12,0.03,0.27,0.04,0.03,0.26,0.04,0.09,0.03,0.03
T92+G+I,21,6920.19775717796,6776.79937999495,-3367.33222504421,0.550836648268149,0.920742195777781,2.62139783509221,0.232823871906841,0.232823871906841,0.267176128093159,0.267176128093159,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+G,23,6922.02505313571,6764.98316932656,-3359.41095363786,n/a,0.192174907417303,2.72223804522064,0.217321688500728,0.248326055312955,0.256914119359534,0.277438136826783,0.03,0.03,0.12,0.03,0.26,0.04,0.03,0.26,0.04,0.09,0.03,0.03
T92+G,20,6922.55036046843,6785.9746184058,-3372.92598638205,n/a,0.190186270531479,2.4763258520001,0.232823871906841,0.232823871906841,0.267176128093159,0.267176128093159,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G+I,20,6923.57454037517,6786.99879831254,-3373.43807633542,0.557356082637216,1.02496502813657,2.49757406184263,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G,19,6925.16308620408,6795.41056679008,-3378.64980894248,n/a,0.193678997232781,2.38789290264,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G+I,23,6928.97112515283,6771.92924134368,-3362.88398964643,0.54685050759294,0.882738521701191,2.64060200098252,0.217321688500728,0.248326055312955,0.256914119359534,0.277438136826783,0.03,0.04,0.2,0.03,0.19,0.04,0.03,0.18,0.04,0.16,0.03,0.04
HKY+G,22,6931.57851734834,6781.35809283064,-3368.60514543679,n/a,0.190038566615726,2.4872406686505,0.217321688500728,0.248326055312955,0.256914119359534,0.277438136826783,0.04,0.04,0.2,0.03,0.18,0.04,0.03,0.18,0.04,0.16,0.04,0.04
GTR+G+I,27,6937.96804741785,6753.64621203221,-3349.71261200851,0.498139189129817,0.653027946227744,2.93435822558633,0.217321688500728,0.248326055312955,0.256914119359534,0.277438136826783,0.02,0.03,0.12,0.02,0.27,0.02,0.02,0.27,0.06,0.09,0.02,0.05
GTR+G,26,6940.81310258403,6763.31037173807,-3355.5525992842,n/a,0.194179166422095,2.77422415447826,0.217321688500728,0.248326055312955,0.256914119359534,0.277438136826783,0.02,0.03,0.12,0.02,0.27,0.03,0.02,0.26,0.06,0.09,0.02,0.05
