Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,12894.1413280019,12716.6974498967,-6334.29887035756,0.366226555589679,0.542150319116371,2.61140536402106,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.03,0.04,0.1,0.03,0.32,0.04,0.03,0.24,0.04,0.08,0.03,0.04
TN93+G,23,12894.1677935438,12724.1135805528,-6339.01092786366,n/a,0.234287986816809,2.66283865230694,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.03,0.03,0.09,0.03,0.32,0.04,0.03,0.24,0.04,0.08,0.03,0.03
GTR+G,26,12911.7953069236,12719.5730998287,-6333.72821034813,n/a,0.24019205400617,2.56258504748984,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.02,0.03,0.1,0.02,0.32,0.03,0.03,0.24,0.06,0.08,0.02,0.05
GTR+G+I,27,12912.390165644,12712.7792948401,-6329.32681497322,0.371556968953217,0.570069591236611,2.54011722626454,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.02,0.03,0.1,0.03,0.32,0.03,0.03,0.24,0.06,0.08,0.02,0.05
T92+G+I,21,12926.887765107,12771.6138831674,-6364.76856311552,0.434174049458754,0.760699435883443,2.204801476223,0.218739635157546,0.218739635157546,0.281260364842454,0.281260364842454,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
T92+G,20,12928.1571741419,12780.2739579732,-6370.10209236813,n/a,0.247837716697406,2.17399208198492,0.218739635157546,0.218739635157546,0.281260364842454,0.281260364842454,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G+I,23,12967.0412850818,12796.9870720908,-6375.44767363265,0.44115867137021,0.78813300446068,2.25674950373473,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.03,0.04,0.21,0.04,0.18,0.05,0.04,0.14,0.05,0.17,0.03,0.04
HKY+G,22,12968.7559649065,12806.0917506651,-6381.00383828014,n/a,0.247454349568482,2.22611419451128,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.03,0.04,0.21,0.04,0.18,0.05,0.04,0.14,0.05,0.17,0.03,0.04
K2+G+I,20,12977.6383782637,12829.7551620951,-6394.84269442905,0.440406416089866,0.835853182239875,2.06911747577059,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,12977.9262350078,12837.4340179961,-6399.68544753624,n/a,0.256803492794613,2.04608536844457,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,12986.1702158764,12816.1160028854,-6385.01213902995,0.570920986644439,n/a,1.83984115934636,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.03,0.05,0.13,0.04,0.24,0.05,0.04,0.18,0.05,0.1,0.03,0.05
T92+I,20,12993.3770010107,12845.4937848421,-6402.71200580255,0.57713270827027,n/a,1.81713700436044,0.218739635157546,0.218739635157546,0.281260364842454,0.281260364842454,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,13002.1003014386,12809.8780943437,-6378.88070760566,0.570777248333702,n/a,1.85997971392159,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.03,0.04,0.13,0.04,0.24,0.04,0.03,0.18,0.07,0.11,0.03,0.06
HKY+I,22,13031.8383356664,12869.1741214251,-6412.5450236601,0.577389286477194,n/a,1.85615247364215,0.240381426202322,0.197097844112769,0.264925373134328,0.29759535655058,0.03,0.05,0.19,0.04,0.17,0.05,0.04,0.13,0.05,0.16,0.03,0.05
K2+I,19,13038.5520553186,12898.0598383069,-6429.99835769163,0.575804623886451,n/a,1.75253748174755,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
