Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,18907.8486414628,18722.5935156762,-9337.26073262043,0.375655291495386,0.820938941002214,2.51980948389876,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.03,0.04,0.12,0.03,0.27,0.04,0.03,0.23,0.04,0.1,0.03,0.04
GTR+G+I,27,18915.6977822755,18707.2955089298,-9326.60235451292,0.360598268896533,0.765615371275591,2.55462517143332,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.02,0.03,0.11,0.02,0.28,0.03,0.03,0.24,0.06,0.1,0.02,0.05
TN93+G,23,18916.0527380853,18738.5138099601,-9346.22376376965,n/a,0.304622267896017,2.56367817374854,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.03,0.04,0.11,0.03,0.28,0.04,0.03,0.24,0.04,0.1,0.03,0.04
GTR+G,26,18922.998259843,18722.3114614027,-9335.11357613462,n/a,0.306568002430055,2.57560628277085,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.02,0.03,0.11,0.02,0.28,0.03,0.03,0.24,0.06,0.1,0.02,0.05
T92+G+I,21,18934.5884204117,18772.4826100613,-9365.21357060876,0.430398073031974,1.07862877076506,2.37754635934384,0.231115107913669,0.231115107913669,0.268884892086331,0.268884892086331,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,18946.8103078908,18792.4214175672,-9376.18549718628,n/a,0.300701263969957,2.39532963625254,0.231115107913669,0.231115107913669,0.268884892086331,0.268884892086331,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,18966.4929133805,18812.1040230569,-9386.02679993114,0.429952435442653,1.1225403852914,2.29589418207242,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,18970.6423809948,18793.1034528696,-9373.5185852244,0.431309288780667,1.07732547641059,2.4142854908788,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.03,0.04,0.2,0.03,0.18,0.04,0.03,0.16,0.04,0.17,0.03,0.04
K2+G,19,18977.234796976,18830.563067381,-9396.25872456685,n/a,0.307663598348661,2.31566090021733,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,18983.0739550928,18813.2514654607,-9384.59535511135,n/a,0.2993841774823,2.43259635819377,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.03,0.04,0.2,0.03,0.18,0.04,0.03,0.16,0.04,0.17,0.03,0.04
TN93+I,23,19010.7512789442,18833.2123508189,-9393.5730341991,0.531336497837008,n/a,2.01535542210855,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.04,0.04,0.13,0.04,0.23,0.05,0.04,0.19,0.05,0.12,0.04,0.04
T92+I,20,19016.7486202069,18862.3597298833,-9411.15465334433,0.538536364614986,n/a,2.0421206832631,0.231115107913669,0.231115107913669,0.268884892086331,0.268884892086331,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,19025.561051129,18824.8742526887,-9386.39497177762,0.530531668363349,n/a,2.03875923783911,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.03,0.04,0.14,0.03,0.23,0.04,0.03,0.2,0.06,0.12,0.03,0.06
K2+I,19,19045.8331599111,18899.1614303161,-9430.55790603439,0.537233701813452,n/a,1.99748406239042,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,19053.1271483666,18883.3046587346,-9419.62195174827,0.538797652713658,n/a,2.06750308683487,0.239508393285372,0.222721822541966,0.260251798561151,0.277517985611511,0.04,0.04,0.19,0.04,0.18,0.05,0.04,0.15,0.05,0.16,0.04,0.04
JC+G+I,19,19602.6809568468,19456.0092272517,-9708.98180450222,0.462649936987899,1.8877605471795,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,19617.4451670997,19478.4908388916,-9721.22489246665,n/a,0.346188962870932,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
