Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,8869.05567799441,8710.26167844774,-4332.05610323687,n/a,0.26457272452833,2.49331658569824,0.249257759784076,0.230634278002699,0.262887989203779,0.257219973009447,0.03,0.04,0.07,0.04,0.3,0.04,0.04,0.27,0.04,0.07,0.03,0.04
TN93+G+I,24,8875.64028997937,8709.94872427731,-4330.89311637021,0.158246668737777,0.355190114446378,2.47024644681409,0.249257759784076,0.230634278002699,0.262887989203779,0.257219973009447,0.03,0.04,0.08,0.04,0.3,0.04,0.04,0.26,0.04,0.07,0.03,0.04
GTR+G,26,8876.25725139563,8696.77218931904,-4322.29101136005,n/a,0.26674865520089,2.53241177609709,0.249257759784076,0.230634278002699,0.262887989203779,0.257219973009447,0.01,0.05,0.07,0.01,0.31,0.03,0.05,0.27,0.05,0.07,0.03,0.05
GTR+G+I,27,8883.40420469718,8697.02321284466,-4321.40919515167,0.137256525584745,0.342582573733352,2.50281001521047,0.249257759784076,0.230634278002699,0.262887989203779,0.257219973009447,0.01,0.05,0.07,0.01,0.31,0.03,0.05,0.27,0.05,0.07,0.03,0.05
T92+G,20,8899.29787631133,8761.19984444654,-4360.54308097276,n/a,0.267659581180647,2.11874258077151,0.239946018893387,0.239946018893387,0.260053981106613,0.260053981106613,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,8902.76487775409,8771.56659078452,-4366.73187455329,n/a,0.272080673985162,2.07535488121014,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,8905.38805015382,8760.39081774704,-4359.13287503486,0.175428653140417,0.367872046453198,2.12221899308293,0.239946018893387,0.239946018893387,0.260053981106613,0.260053981106613,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,8908.77340613548,8770.67537427069,-4365.28084588484,0.177568276868455,0.375629697069484,2.08134880769978,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,8921.46757911984,8769.57169074537,-4362.71734665873,n/a,0.269265764613984,2.12674499709066,0.249257759784076,0.230634278002699,0.262887989203779,0.257219973009447,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.17,0.04,0.04
HKY+G+I,23,8927.39607892198,8768.60207937531,-4361.22630370065,0.182350572505795,0.37575676265133,2.1323744239186,0.249257759784076,0.230634278002699,0.262887989203779,0.257219973009447,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.17,0.04,0.04
