Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,11900.1084234415,11726.0728476548,-5838.97898007439,0.481998069276715,1.26717594812875,2.59649261639939,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.03,0.04,0.09,0.03,0.32,0.04,0.03,0.24,0.04,0.08,0.03,0.04
GTR+G+I,27,11904.4865664586,11708.7120951011,-5827.28364762714,0.478625616075505,1.27873208818995,2.54851118489085,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.01,0.04,0.1,0.01,0.31,0.04,0.04,0.24,0.05,0.08,0.03,0.05
TN93+G,23,11916.7823308293,11749.9938232276,-5851.94406842022,n/a,0.253940510617039,2.88432137120913,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.03,0.03,0.09,0.03,0.34,0.04,0.03,0.25,0.04,0.07,0.03,0.03
GTR+G,26,11920.5242185048,11731.9956607295,-5839.93060830215,n/a,0.262136368034889,2.75714642856224,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.01,0.04,0.09,0.01,0.33,0.04,0.04,0.25,0.05,0.08,0.03,0.05
T92+G+I,21,11934.2320237507,11781.9388063481,-5869.92518418475,0.508010045998479,1.60079406949963,2.22974857540635,0.223304680038204,0.223304680038204,0.276695319961796,0.276695319961796,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,11941.0926260152,11774.3041184135,-5864.09921601317,0.554825016648953,n/a,1.97720502247648,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.03,0.04,0.11,0.04,0.26,0.05,0.04,0.2,0.05,0.1,0.03,0.04
GTR+I,26,11944.8615053897,11756.3329476145,-5852.0992517446,0.553591820872314,n/a,1.99978394892561,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.01,0.05,0.12,0.01,0.26,0.05,0.04,0.2,0.06,0.1,0.04,0.06
T92+G,20,11950.0940135656,11805.0490179563,-5882.48431374415,n/a,0.262516799104858,2.2849006540468,0.223304680038204,0.223304680038204,0.276695319961796,0.276695319961796,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+I,20,11968.4090598576,11823.3640642483,-5891.64183689015,0.562705547482314,n/a,1.93378726636635,0.223304680038204,0.223304680038204,0.276695319961796,0.276695319961796,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+G+I,23,11969.5159292396,11802.7274216378,-5878.31086762535,0.51017755486031,1.63372882651142,2.28359064065929,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.03,0.04,0.2,0.04,0.19,0.04,0.04,0.14,0.04,0.17,0.03,0.04
K2+G+I,20,11977.1039493333,11832.058953724,-5895.98928162801,0.509591652529363,1.7779423959552,2.09635330098904,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,11985.8633240193,11826.3222692491,-5891.11269966713,n/a,0.261300374858481,2.34723038272267,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.03,0.04,0.2,0.04,0.19,0.04,0.04,0.14,0.04,0.17,0.03,0.04
K2+G,19,11992.527656601,11854.7312671003,-5908.32926991377,n/a,0.272187513232391,2.14857154830131,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,12002.4969559035,11842.9559011333,-5899.42951560923,0.562973235449843,n/a,1.97111816118689,0.242311365807068,0.204297994269341,0.270200573065903,0.283190066857689,0.03,0.05,0.19,0.04,0.18,0.05,0.04,0.14,0.05,0.16,0.03,0.05
K2+I,19,12006.0349889651,11868.2385994644,-5915.08293609584,0.561420059974146,n/a,1.86499320022679,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,12319.8520755308,12182.0556860301,-6071.9914793787,0.524200869976245,2.96551163307347,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
