Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G+I,23,22175.7712107946,22000.4213746629,-10977.1742420654,0.296849822893406,1.50902968204713,1.65112082745046,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.04,0.06,0.18,0.03,0.19,0.05,0.03,0.15,0.05,0.11,0.04,0.06
T92+G+I,21,22178.0892342824,22017.9816559148,-10987.9603288816,0.301596179881788,1.5611994258084,1.65532311765549,0.206064601186552,0.206064601186552,0.293935398813448,0.293935398813448,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G+I,27,22183.922862163,21978.0916899185,-10961.9959176049,0.282991231403774,1.37613517983207,1.67378265681101,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.03,0.08,0.17,0.02,0.2,0.04,0.05,0.16,0.06,0.1,0.03,0.06
TN93+G+I,24,22184.0494481775,22001.0788805119,-10976.4998232206,0.298322279828489,1.52196849172775,1.66197187383619,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.04,0.06,0.17,0.03,0.2,0.05,0.03,0.16,0.05,0.1,0.04,0.06
HKY+G,22,22196.6280381365,22028.8991984549,-10992.4161932725,n/a,0.497616542371149,1.72029512476173,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.04,0.05,0.18,0.03,0.19,0.05,0.03,0.15,0.05,0.11,0.04,0.05
GTR+G,26,22199.1720095274,22000.960773753,-10974.4340288233,n/a,0.499565805214124,1.7254973705531,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.03,0.08,0.18,0.02,0.2,0.03,0.05,0.16,0.06,0.11,0.03,0.06
T92+G,20,22200.7847261639,22048.2986739217,-11004.1216123585,n/a,0.496835187792508,1.72807558116545,0.206064601186552,0.206064601186552,0.293935398813448,0.293935398813448,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G,23,22205.6347959783,22030.2849598466,-10992.1060346572,n/a,0.49688152609331,1.72837752746667,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.04,0.05,0.18,0.03,0.2,0.05,0.03,0.16,0.05,0.11,0.04,0.05
T92+I,20,22275.2021472528,22122.7160950106,-11041.330322903,0.380247013052487,n/a,1.46684148111307,0.206064601186552,0.206064601186552,0.293935398813448,0.293935398813448,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+I,22,22276.5973253839,22108.8684857024,-11032.4008368962,0.379492631796876,n/a,1.46110528418113,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.05,0.06,0.17,0.03,0.18,0.06,0.03,0.14,0.06,0.1,0.05,0.06
TN93+I,23,22283.8157510479,22108.4659149162,-11031.196512192,0.379506986103461,n/a,1.469327455834,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.05,0.06,0.16,0.03,0.19,0.06,0.03,0.15,0.06,0.1,0.05,0.06
GTR+I,26,22292.4085294148,22094.1972936403,-11021.0522887669,0.378112597936846,n/a,1.48654950541013,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.03,0.08,0.16,0.03,0.19,0.05,0.04,0.15,0.06,0.1,0.04,0.07
K2+G+I,20,22358.3255758002,22205.8395235579,-11082.8920371767,0.298092118737925,1.758719957647,1.48297030843555,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,22380.8338420303,22235.9695806723,-11098.9597078279,n/a,0.550061110670492,1.53702705078979,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,22438.5163786192,22293.6521172612,-11127.8009761223,0.376573369878713,n/a,1.35671698722711,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,22754.25124798,22609.386986622,-11285.6684108027,0.30530541475248,2.15160173608281,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,22782.6716235343,22645.4294177671,-11304.6921361161,n/a,0.601219534414162,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,22816.0323221018,22678.7901163346,-11321.3724853998,0.373835638341357,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,23235.7929755399,23045.2019413093,-11497.5580493657,n/a,n/a,1.22600486627396,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.03,0.09,0.16,0.02,0.17,0.05,0.05,0.13,0.08,0.1,0.04,0.08
HKY,21,23268.0098678731,23107.9022895055,-11532.920645677,n/a,n/a,1.22086897320175,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.05,0.07,0.16,0.04,0.17,0.06,0.04,0.13,0.06,0.1,0.05,0.07
TN93,22,23277.6353254679,23109.9064857863,-11532.9198369382,n/a,n/a,1.22086743729994,0.17462096242584,0.237508239947264,0.299670402109427,0.288200395517469,0.05,0.07,0.16,0.04,0.17,0.06,0.04,0.13,0.06,0.1,0.05,0.07
T92,19,23278.4833914092,23133.6191300512,-11547.7844825173,n/a,n/a,1.22118621768354,0.206064601186552,0.206064601186552,0.293935398813448,0.293935398813448,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
K2,18,23343.9281636744,23206.6859579071,-11585.3204061861,n/a,n/a,1.20052172392005,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,23681.9249695503,23552.3050840279,-11759.1323466602,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
