Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,16502.1158552975,16350.4772788511,-8154.1930233118,0.190804074651401,1.18407386980312,1.45307461484499,0.193990147783251,0.193990147783251,0.306009852216749,0.306009852216749,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,16502.9268933801,16358.5052438911,-8159.21115684536,n/a,0.578226135507194,1.50195813542842,0.193990147783251,0.193990147783251,0.306009852216749,0.306009852216749,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,16504.2560363765,16338.1847960027,-8146.03788486682,0.195777403130953,1.20821916071899,1.46808601946698,0.209852216748768,0.178128078817734,0.314778325123153,0.297241379310345,0.03,0.06,0.18,0.04,0.19,0.06,0.04,0.11,0.06,0.13,0.03,0.06
HKY+G,22,16505.8731656459,16347.0180588654,-8151.45906399378,n/a,0.573370464163351,1.51989134506879,0.209852216748768,0.178128078817734,0.314778325123153,0.297241379310345,0.03,0.06,0.18,0.04,0.19,0.06,0.04,0.11,0.06,0.13,0.03,0.06
TN93+G+I,24,16508.6882344547,16335.401257346,-8143.64136941374,0.201480133260861,1.25091862306471,1.47726929512565,0.209852216748768,0.178128078817734,0.314778325123153,0.297241379310345,0.03,0.06,0.16,0.04,0.22,0.06,0.04,0.12,0.06,0.11,0.03,0.06
TN93+G,23,16511.3873835405,16345.3161431667,-8149.60355844886,n/a,0.572936915096072,1.52798257456507,0.209852216748768,0.178128078817734,0.314778325123153,0.297241379310345,0.03,0.06,0.16,0.04,0.22,0.06,0.04,0.12,0.06,0.12,0.03,0.06
GTR+G+I,27,16534.0073374503,16339.075532463,-8142.4630774348,0.195387972248763,1.20387950878567,1.4793596030268,0.209852216748768,0.178128078817734,0.314778325123153,0.297241379310345,0.03,0.07,0.16,0.04,0.22,0.05,0.05,0.12,0.06,0.11,0.03,0.06
GTR+G,26,16535.3032358304,16347.5859762972,-8147.72364111709,n/a,0.573619662057648,1.5243556164986,0.209852216748768,0.178128078817734,0.314778325123153,0.297241379310345,0.03,0.07,0.17,0.04,0.22,0.05,0.05,0.12,0.06,0.12,0.03,0.06
T92+I,20,16603.9047963685,16459.4831468795,-8209.70010833955,0.297219374463235,n/a,1.24101986767955,0.193990147783251,0.193990147783251,0.306009852216749,0.306009852216749,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
HKY+I,22,16604.0865396342,16445.2314328537,-8200.56575098792,0.297790413397269,n/a,1.25375602113707,0.209852216748768,0.178128078817734,0.314778325123153,0.297241379310345,0.04,0.07,0.17,0.05,0.18,0.06,0.05,0.1,0.06,0.12,0.04,0.07
