Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1325.63465596575,1218.65588073061,-590.145248057613,n/a,0.148935358546182,2.6581699818088,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G,20,1327.65520698666,1215.06539491647,-587.330677256216,n/a,0.152463597928303,2.65381784635812,0.278095238095238,0.278095238095238,0.221904761904762,0.221904761904762,0.04,0.03,0.16,0.04,0.16,0.03,0.04,0.2,0.03,0.2,0.04,0.03
K2+G+I,20,1329.88373812282,1217.29392605263,-588.444942824297,0.551087551822753,0.497969476459588,2.84137255976799,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G+I,21,1331.62870773828,1213.42982096565,-585.492581320169,0.551004791054215,0.504859293647541,2.8325245804438,0.278095238095238,0.278095238095238,0.221904761904762,0.221904761904762,0.04,0.03,0.16,0.04,0.16,0.03,0.04,0.21,0.03,0.21,0.04,0.03
TN93+G,23,1336.15183294516,1206.74069450731,-580.1044512999,n/a,0.193101340778844,2.8328084896171,0.287142857142857,0.269047619047619,0.21047619047619,0.233333333333333,0.03,0.03,0.05,0.04,0.28,0.03,0.04,0.36,0.03,0.06,0.03,0.03
TN93+G+I,24,1341.64932408217,1206.63501436611,-579.028350556549,0.466525301694755,0.496355178138028,2.91020516136575,0.287142857142857,0.269047619047619,0.21047619047619,0.233333333333333,0.03,0.03,0.05,0.04,0.28,0.03,0.04,0.36,0.03,0.06,0.03,0.03
HKY+G,22,1344.28916200542,1220.48316549706,-587.997962141885,n/a,0.151247135086973,2.70924765134703,0.287142857142857,0.269047619047619,0.21047619047619,0.233333333333333,0.04,0.03,0.17,0.04,0.15,0.03,0.04,0.2,0.03,0.21,0.04,0.03
K2+I,19,1347.15465825221,1240.17588301708,-600.905249200847,0.411904761904762,n/a,2.29870943903868,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,1347.85399869687,1218.44286025902,-585.955534175755,0.551988035792118,0.501522446102165,2.90634162946349,0.287142857142857,0.269047619047619,0.21047619047619,0.233333333333333,0.03,0.03,0.17,0.04,0.16,0.03,0.04,0.2,0.03,0.21,0.03,0.03
T92+I,20,1348.69781544569,1236.1080033755,-597.851981485732,0.411904761904762,n/a,2.3044420475489,0.278095238095238,0.278095238095238,0.221904761904762,0.221904761904762,0.04,0.03,0.16,0.04,0.16,0.03,0.04,0.19,0.03,0.19,0.04,0.03
JC+G,18,1349.91356051419,1248.54778141809,-606.109546643691,n/a,0.163462034417109,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+I,23,1352.03125537971,1222.62011694186,-588.04416251717,0.411904761904762,n/a,2.41494131331931,0.287142857142857,0.269047619047619,0.21047619047619,0.233333333333333,0.04,0.03,0.05,0.04,0.27,0.03,0.04,0.34,0.03,0.06,0.04,0.03
GTR+G,26,1353.29082661413,1207.07609770299,-577.199409198817,n/a,0.180459638385801,2.69809833118537,0.287142857142857,0.269047619047619,0.21047619047619,0.233333333333333,0.07,0.01,0.05,0.08,0.28,0.02,0.02,0.36,0.01,0.06,0.02,0.01
