Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,15755.0741310535,15601.4729917431,-7779.69494163518,0.257733461046885,1.61489892067768,1.33036339904268,0.210637342908438,0.210637342908438,0.289362657091562,0.289362657091562,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,15757.84400443,15611.5536005224,-7785.73902708017,n/a,0.600623564917008,1.36329840442303,0.210637342908438,0.210637342908438,0.289362657091562,0.289362657091562,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G+I,24,15768.3130575924,15592.781879482,-7772.33695863441,0.260029200731375,1.64551494654872,1.35072903051408,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.04,0.06,0.13,0.04,0.2,0.06,0.04,0.14,0.06,0.1,0.04,0.06
TN93+G,23,15772.1225644772,15603.901037968,-7778.90086083358,n/a,0.599452588136649,1.38460497415094,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.04,0.06,0.13,0.04,0.21,0.06,0.04,0.15,0.06,0.1,0.04,0.06
HKY+G+I,23,15774.2676584775,15606.0461319682,-7779.9734078337,0.259246724074028,1.63107080941092,1.33167062493739,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.04,0.06,0.17,0.05,0.17,0.06,0.05,0.12,0.06,0.12,0.04,0.06
HKY+G,22,15777.3102082671,15616.3986947237,-7786.15383148526,n/a,0.600269918478623,1.36488481646586,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.06
GTR+G+I,27,15779.6635918694,15582.2056281198,-7764.03477950268,0.248207642034508,1.58339277583882,1.35511337346221,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.03,0.07,0.14,0.03,0.21,0.05,0.05,0.15,0.08,0.1,0.03,0.08
GTR+G,26,15780.8665862466,15590.7171894185,-7769.29542544803,n/a,0.618456928647243,1.37787748071886,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.03,0.07,0.14,0.03,0.21,0.04,0.05,0.15,0.08,0.1,0.03,0.08
T92+I,20,15795.0490841825,15648.7586802749,-7804.34156695643,0.354965462364257,n/a,1.22486235857162,0.210637342908438,0.210637342908438,0.289362657091562,0.289362657091562,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
TN93+I,23,15807.8845590697,15639.6630325605,-7796.78185812983,0.353942785354216,n/a,1.23798979156328,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.05,0.06,0.13,0.05,0.19,0.06,0.05,0.14,0.06,0.1,0.05,0.06
HKY+I,22,15813.6671563221,15652.7556427787,-7804.33230551275,0.355146968570221,n/a,1.22668060591225,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.11,0.06,0.12,0.05,0.06
GTR+I,26,15818.3439327516,15628.1945359235,-7788.03409870053,0.352039234024864,n/a,1.25732867806982,0.214901256732496,0.206373429084381,0.289946140035907,0.288779174147217,0.03,0.07,0.14,0.03,0.19,0.06,0.05,0.14,0.08,0.1,0.04,0.08
K2+G+I,20,15854.4115490122,15708.1211451047,-7834.02279937131,0.264944093853097,2.04146359234656,1.2133899950336,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G,19,15859.3490389715,15720.3697315391,-7841.15069310766,n/a,0.673141141474882,1.24197883214306,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+I,19,15880.781819501,15741.8025120686,-7851.86708337242,0.34903302310428,n/a,1.15001822001186,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
