Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,6883.10254110336,6756.93362887619,-3358.36384802476,n/a,0.68575817881604,1.20499018345953,0.205853658536585,0.205853658536585,0.294146341463415,0.294146341463415,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
T92+G+I,21,6891.4204272808,6758.95342163193,-3358.36341998713,0.00437125716377648,0.695227751938378,1.20440012256103,0.205853658536585,0.205853658536585,0.294146341463415,0.294146341463415,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY+G,22,6896.92311240444,6758.15900457687,-3356.9553914226,n/a,0.682838128433532,1.21262188341615,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.05,0.07,0.16,0.05,0.17,0.06,0.05,0.11,0.06,0.11,0.05,0.07
TN93+G,23,6905.08902557281,6760.0288075391,-3356.87897688044,n/a,0.679682976954737,1.21711710076562,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.05,0.07,0.15,0.05,0.17,0.06,0.05,0.12,0.06,0.11,0.05,0.07
HKY+G+I,23,6905.23607641576,6760.17585838205,-3356.95250230192,0.00969033744699763,0.704118063975661,1.21122239999084,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.05,0.07,0.16,0.05,0.17,0.06,0.05,0.11,0.06,0.11,0.05,0.07
TN93+G+I,24,6913.39033981726,6762.03500428025,-3356.87026287632,0.0154913834645372,0.713602150197518,1.21537879287679,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.05,0.07,0.15,0.05,0.17,0.06,0.05,0.12,0.06,0.11,0.05,0.07
GTR+G,26,6913.94882958957,6750.00624007923,-3348.83076550979,n/a,0.687460044368353,1.20259962936381,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.04,0.1,0.16,0.04,0.17,0.03,0.07,0.12,0.07,0.11,0.02,0.07
GTR+G+I,27,6922.2679304432,6752.03320592698,-3348.83094481025,0.00001,0.687709268311224,1.20247810638169,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.04,0.1,0.16,0.04,0.17,0.03,0.07,0.12,0.07,0.11,0.02,0.07
K2+G,19,6930.8024071732,6810.93257888185,-3386.37315218602,n/a,0.759081588890752,1.10382307386943,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
K2+G+I,20,6939.11287366497,6812.94396143779,-3386.36901430556,0.0107592275403648,0.786076473787328,1.10226274844949,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92+I,20,6943.6099103838,6817.44099815662,-3388.61753266497,0.23577968059422,n/a,1.02226754641739,0.205853658536585,0.205853658536585,0.294146341463415,0.294146341463415,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY+I,22,6956.7967190491,6818.03261122153,-3386.89219474493,0.236197265118157,n/a,1.03038745258235,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.05,0.07,0.15,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
TN93+I,23,6963.69896717816,6818.63874914445,-3386.18394768312,0.237171933671213,n/a,1.04382059552534,0.205853658536585,0.205853658536585,0.303658536585366,0.284634146341463,0.05,0.07,0.13,0.05,0.17,0.07,0.05,0.12,0.07,0.1,0.05,0.07
JC+G,18,6977.51620041125,6863.94644584172,-3413.88941993139,n/a,0.81381414403794,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
