Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,10459.9543023951,10276.1121952864,-5110.94363111536,0.268485806191544,1.98446488298923,1.5017480253347,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.01,0.08,0.13,0.01,0.2,0.04,0.07,0.18,0.08,0.1,0.03,0.07
T92+G+I,21,10464.9272166955,10321.9012997384,-5139.88198161714,0.291236838127593,2.35028804531389,1.45488513698369,0.224518518518519,0.224518518518519,0.275481481481481,0.275481481481481,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR+G,26,10467.6657658721,10290.624858833,-5119.2080117458,n/a,0.621894665397222,1.53808309268873,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.01,0.08,0.13,0.01,0.2,0.03,0.07,0.18,0.08,0.1,0.03,0.08
T92+G,20,10478.4112608806,10342.1901380165,-5151.03265260164,n/a,0.601574276300895,1.53398772716584,0.224518518518519,0.224518518518519,0.275481481481481,0.275481481481481,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,10482.3124251614,10318.8757170103,-5135.34863917429,0.292982376471146,2.37320017375314,1.50735272150909,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.05,0.05,0.13,0.04,0.2,0.06,0.04,0.18,0.06,0.1,0.05,0.05
T92+I,20,10486.9254447001,10350.704321836,-5155.28974451141,0.342969895952973,n/a,1.33590855504497,0.224518518518519,0.224518518518519,0.275481481481481,0.275481481481481,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR+I,26,10488.5225814081,10311.4816743689,-5129.63641951376,0.336787884960212,n/a,1.38446922172487,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.02,0.08,0.14,0.01,0.19,0.05,0.06,0.16,0.08,0.1,0.04,0.07
HKY+G+I,23,10490.9778987631,10334.3441888957,-5144.0900248671,0.288364570511174,2.29849029315848,1.44652382708486,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.05,0.05,0.17,0.04,0.16,0.06,0.04,0.14,0.06,0.13,0.05,0.05
TN93+G,23,10497.8634069614,10341.2296970939,-5147.53277896621,n/a,0.593050246731922,1.58549161645582,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.04,0.05,0.13,0.04,0.2,0.06,0.04,0.18,0.06,0.1,0.04,0.05
HKY+G,22,10503.5592626544,10353.7291499406,-5154.78935570467,n/a,0.605339819075637,1.52455362000163,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.05,0.05,0.18,0.04,0.16,0.06,0.04,0.14,0.06,0.13,0.05,0.05
TN93+I,23,10504.6883858488,10348.0546759814,-5150.94526840995,0.341915518560202,n/a,1.36638030361736,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.05,0.05,0.13,0.05,0.19,0.06,0.05,0.16,0.06,0.1,0.05,0.05
K2+G+I,20,10509.1589171462,10372.937794282,-5166.40648073441,0.288789917114668,2.50996385175036,1.3888663786877,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,10513.9021707918,10364.072058078,-5159.96080977338,0.34218566560648,n/a,1.32542275690218,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.05,0.06,0.17,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G,19,10522.5445331615,10393.1288024597,-5177.50793763401,n/a,0.63538828561537,1.45778218034221,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,10528.08281079,10398.6670800882,-5180.27707644825,0.340504344144877,n/a,1.29181374561612,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,10670.9213683016,10541.5056375998,-5251.69635520404,0.293890052801192,3.16828802502759,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10682.5510778416,10559.941337105,-5261.91985886598,0.337831833605126,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10688.6911020759,10566.0813613394,-5264.98987098317,n/a,0.699889819526059,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,10835.3010213858,10665.0619140883,-5307.43428839455,n/a,n/a,1.15394877285795,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.02,0.09,0.14,0.02,0.16,0.04,0.07,0.14,0.1,0.1,0.03,0.09
T92,19,10879.400958528,10749.9852278262,-5355.93615031727,n/a,n/a,1.15388537167896,0.224518518518519,0.224518518518519,0.275481481481481,0.275481481481481,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2,18,10897.4685652158,10774.8588244793,-5369.37860255311,n/a,n/a,1.14919295247379,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
HKY,21,10900.7814257842,10757.7555088272,-5357.8090861615,n/a,n/a,1.15417059848181,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.05,0.06,0.16,0.05,0.14,0.07,0.05,0.12,0.07,0.12,0.05,0.06
TN93,22,10902.5401748584,10752.7100621446,-5354.27981180666,n/a,n/a,1.15774146980843,0.218814814814815,0.230222222222222,0.262074074074074,0.288888888888889,0.05,0.06,0.14,0.05,0.16,0.07,0.05,0.14,0.07,0.1,0.05,0.06
JC,17,11035.3012060869,10919.4980528521,-5442.70357188059,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
