Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,14494.4621433966,14313.718778232,-7132.81592660241,0.505772688135085,1.17464306352515,2.5917341344507,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.03,0.04,0.12,0.03,0.31,0.04,0.03,0.23,0.04,0.07,0.03,0.04
GTR+G+I,27,14508.1596791291,14304.835152004,-7125.36280133167,0.512064249601717,1.31703847611437,2.53162493730334,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.02,0.03,0.13,0.01,0.31,0.04,0.03,0.23,0.06,0.08,0.02,0.05
TN93+G,23,14517.6110471865,14344.3953176519,-7149.15767620969,n/a,0.234877520920037,2.82330623334116,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.03,0.03,0.11,0.02,0.33,0.04,0.02,0.24,0.04,0.07,0.03,0.03
T92+G+I,21,14527.153128447,14368.9935422581,-7163.4633122646,0.539820793139387,1.5644321845255,2.37087568048894,0.198590021691974,0.198590021691974,0.301409978308026,0.301409978308026,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.14,0.04,0.14,0.03,0.04
GTR+G,26,14531.1853169853,14335.3875529622,-7141.6429179721,n/a,0.243171389024731,2.68967151705178,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.01,0.03,0.12,0.01,0.32,0.03,0.02,0.24,0.06,0.07,0.02,0.05
TN93+I,23,14546.3773724651,14373.1616429304,-7163.54083884897,0.583789982580213,n/a,2.01663388022387,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.03,0.04,0.15,0.03,0.26,0.05,0.03,0.19,0.05,0.09,0.03,0.04
GTR+I,26,14553.7509943322,14357.9532303091,-7152.92575664553,0.584039961537139,n/a,2.0572869547536,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.02,0.04,0.15,0.02,0.26,0.05,0.03,0.19,0.07,0.09,0.03,0.06
HKY+G+I,23,14555.5292447296,14382.3135151949,-7168.11677498121,0.534402637855502,1.4460917396548,2.43487433176019,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.03,0.04,0.24,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.04
T92+G,20,14557.7506802969,14407.1196016973,-7183.52938590186,n/a,0.238787485184749,2.39793320899612,0.198590021691974,0.198590021691974,0.301409978308026,0.301409978308026,0.03,0.04,0.22,0.03,0.22,0.04,0.03,0.14,0.04,0.14,0.03,0.04
T92+I,20,14564.5681922463,14413.9371136467,-7186.93814187656,0.591667551098808,n/a,2.01840661192466,0.198590021691974,0.198590021691974,0.301409978308026,0.301409978308026,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
HKY+G,22,14585.5340004303,14419.846197242,-7187.88645054393,n/a,0.238615122140508,2.45370958472252,0.196963123644252,0.200216919739696,0.272740419378163,0.330079537237889,0.03,0.04,0.24,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.04
