Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,9047.81935763532,8912.51330739565,-4436.19132471976,n/a,0.433817105455787,1.55472316091014,0.19906976744186,0.19906976744186,0.30093023255814,0.30093023255814,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G+I,21,9052.48956516239,8910.42476766757,-4434.1405107784,0.253585344410213,0.930953538172457,1.52933484708604,0.19906976744186,0.19906976744186,0.30093023255814,0.30093023255814,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G,23,9055.66988634492,8900.08947397391,-4426.95883595988,n/a,0.429534361187134,1.63577077096444,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.04,0.05,0.14,0.04,0.24,0.06,0.04,0.18,0.06,0.08,0.04,0.05
TN93+G+I,24,9060.83286611441,8898.49558670747,-4425.15440813973,0.23954780436233,0.87406665999496,1.60391216395124,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.04,0.05,0.14,0.04,0.24,0.06,0.04,0.17,0.06,0.08,0.04,0.05
HKY+G,22,9073.34962334717,8924.52670504442,-4440.1846221659,n/a,0.436554173502069,1.56826651859884,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.04,0.05,0.21,0.04,0.16,0.06,0.04,0.12,0.06,0.13,0.04,0.05
GTR+G,26,9074.18368105124,8898.33454984089,-4423.05798019835,n/a,0.432220088241995,1.62126793337754,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.03,0.06,0.14,0.03,0.24,0.04,0.05,0.18,0.07,0.08,0.02,0.06
HKY+G+I,23,9078.30486558147,8922.72445321046,-4438.27632557815,0.248679408754509,0.918485182568039,1.5417350106644,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.04,0.05,0.21,0.04,0.16,0.06,0.04,0.12,0.06,0.12,0.04,0.05
GTR+G+I,27,9079.80987960624,8897.2057642146,-4421.48516177095,0.225680256245135,0.825985035923442,1.59941394100486,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.03,0.06,0.14,0.03,0.24,0.04,0.05,0.18,0.07,0.08,0.02,0.06
K2+G,19,9098.0908832008,8969.54420637125,-4465.7130052074,n/a,0.44467511414769,1.46882907902365,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,9103.79481157085,8968.48876133119,-4464.17905168753,0.236368677036051,0.883818532042512,1.45120026259894,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,9104.24779822923,8968.94174798957,-4464.40554501672,0.399019348138162,n/a,1.33890073545474,0.19906976744186,0.19906976744186,0.30093023255814,0.30093023255814,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+I,23,9117.10316712574,8961.52275475473,-4457.67547635029,0.394628444934267,n/a,1.35297048437354,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.04,0.05,0.15,0.04,0.2,0.07,0.04,0.15,0.07,0.09,0.04,0.05
HKY+I,22,9130.96994858436,8982.1470302816,-4468.99478478449,0.397759259897409,n/a,1.33782645893271,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.04,0.06,0.2,0.04,0.15,0.07,0.04,0.11,0.07,0.12,0.04,0.06
GTR+I,26,9139.30928240005,8963.46015118969,-4455.62078087275,0.394445458155423,n/a,1.36527726181669,0.202015503875969,0.196124031007752,0.265426356589147,0.336434108527132,0.03,0.06,0.15,0.04,0.21,0.06,0.05,0.15,0.08,0.09,0.03,0.06
K2+I,19,9155.74796094571,9027.20128411615,-4494.54154407985,0.399416530386485,n/a,1.28926080571492,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G,18,9228.64380502372,9106.85712746712,-4535.37538382375,n/a,0.47618718599651,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,9234.07756247976,9105.53088565021,-4533.70634484688,0.245355115751251,1.01014245276458,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9278.34194415764,9156.55526660104,-4560.22445339071,0.396530691191558,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
