Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,11839.5786323278,11691.3141189143,-5824.60351286466,0.341475165467531,1.33792950826156,1.83344170244584,0.22514450867052,0.22514450867052,0.27485549132948,0.27485549132948,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,11846.5999779044,11705.3910320642,-5832.64684295295,n/a,0.412906845600685,1.88798614615793,0.22514450867052,0.22514450867052,0.27485549132948,0.27485549132948,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+G+I,24,11847.5214177868,11678.0929978233,-5814.97693369428,0.343813383080587,1.37679701935096,1.86916561365413,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.04,0.05,0.13,0.04,0.23,0.05,0.04,0.18,0.05,0.11,0.04,0.05
HKY+G+I,23,11852.0450049137,11689.6707542766,-5821.77138455771,0.34281309393323,1.34905266077807,1.83079791961905,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.04,0.05,0.17,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+G,23,11855.8800187782,11693.505768141,-5823.68889148995,n/a,0.412409779235736,1.93200301659473,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.04,0.05,0.13,0.04,0.23,0.04,0.04,0.18,0.04,0.11,0.04,0.05
HKY+G,22,11859.4731345766,11704.1535195102,-5830.01810668912,n/a,0.412422281875752,1.88560671371164,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.04,0.05,0.17,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+G+I,27,11866.6868388975,11676.098710044,-5810.96167234976,0.34103630011615,1.39766823064826,1.86221790138756,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.03,0.05,0.13,0.03,0.23,0.04,0.04,0.18,0.06,0.11,0.03,0.06
GTR+G,26,11873.8280266441,11690.2926674102,-5819.06492352302,n/a,0.422279576288618,1.91289524037994,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.03,0.05,0.13,0.03,0.23,0.04,0.04,0.18,0.06,0.11,0.03,0.06
K2+G+I,20,11877.6039351309,11736.3949892906,-5848.14882156617,0.338864617455121,1.41092023277082,1.73780541930228,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,11883.827461043,11749.6745485343,-5855.79324182222,n/a,0.431874169283625,1.78841655194056,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,11891.2806535161,11750.0717076759,-5854.98718075879,0.428317361848543,n/a,1.60636917242752,0.22514450867052,0.22514450867052,0.27485549132948,0.27485549132948,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,11897.1294649537,11734.7552143165,-5844.31361457768,0.426976109492391,n/a,1.62402969253786,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.04,0.05,0.13,0.04,0.21,0.05,0.04,0.17,0.05,0.11,0.04,0.05
HKY+I,22,11903.1458170384,11747.826201972,-5851.85444792002,0.428470066728865,n/a,1.60652499210825,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.04,0.05,0.16,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,11913.635131204,11730.0997719701,-5838.96847580296,0.425977714644693,n/a,1.64159937386459,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.03,0.05,0.13,0.03,0.21,0.05,0.04,0.17,0.06,0.11,0.04,0.07
K2+I,19,11924.8398694687,11790.68695696,-5876.29944603503,0.426335779116032,n/a,1.54864080961616,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,12137.281087014,12003.1281745054,-5982.52005480772,0.348088242906264,1.768074799272,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12145.7553037313,12018.6588901506,-5991.28982046632,n/a,0.470892656977984,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12170.9638005112,12043.8673869305,-6003.89406885627,0.423280998826714,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,12490.3126267608,12313.8305038777,-6131.83988088131,n/a,n/a,1.33182795141818,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.03,0.06,0.13,0.03,0.19,0.05,0.05,0.15,0.08,0.11,0.04,0.09
T92,19,12493.3124060386,12359.1594935299,-6160.53571432,n/a,n/a,1.32881196883798,0.22514450867052,0.22514450867052,0.27485549132948,0.27485549132948,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,12499.4051923014,12372.3087787207,-6168.11476475138,n/a,n/a,1.32371015550064,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93,22,12500.4537466517,12345.1341315852,-6150.50841272665,n/a,n/a,1.33146995607364,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.05,0.06,0.13,0.05,0.19,0.06,0.05,0.15,0.06,0.11,0.05,0.06
HKY,21,12507.1979358938,12358.9334224803,-6158.41316464766,n/a,n/a,1.32852479387455,0.226473988439306,0.223815028901734,0.286011560693642,0.263699421965318,0.05,0.06,0.15,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
JC,17,12718.3347472139,12598.2952979957,-6282.11219950757,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
