Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,17100.7153922881,16912.3259711993,-8432.13136504627,0.524762559425106,0.936697719751042,2.18421970092973,0.273052631578947,0.197473684210526,0.25,0.279473684210526,0.03,0.04,0.1,0.04,0.28,0.04,0.04,0.22,0.04,0.1,0.03,0.04
TN93+G,23,17101.8658441481,16921.3235549628,-8437.63268810536,n/a,0.209551526225299,2.11991668241198,0.273052631578947,0.197473684210526,0.25,0.279473684210526,0.03,0.04,0.1,0.04,0.27,0.04,0.04,0.21,0.04,0.1,0.03,0.04
GTR+G+I,27,17106.6086901887,16894.6791416134,-8420.29972260936,0.546700723680021,1.13581918213762,2.14206388166024,0.273052631578947,0.197473684210526,0.25,0.279473684210526,0.03,0.03,0.1,0.04,0.27,0.07,0.03,0.22,0.04,0.1,0.05,0.03
GTR+G,26,17107.5713175044,16903.4882666872,-8425.70713339628,n/a,0.210584294941255,2.10749616771879,0.273052631578947,0.197473684210526,0.25,0.279473684210526,0.03,0.03,0.1,0.04,0.27,0.07,0.03,0.21,0.04,0.1,0.05,0.03
K2+G,19,17126.3473878059,16977.1957390508,-8469.57784845056,n/a,0.191146634933376,2.06401376017328,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,17128.0725927251,16971.0729670068,-8465.51435378106,n/a,0.19008663949785,2.08143006545042,0.235263157894737,0.235263157894737,0.264736842105263,0.264736842105263,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,17136.199794412,16979.2001686937,-8469.57795462453,7.23535211267606E-6,0.191160308411368,2.06407061728589,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,17137.9247860813,16973.0773946146,-8465.51435333007,0,0.190090143920404,2.08144275031973,0.235263157894737,0.235263157894737,0.264736842105263,0.264736842105263,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,17149.1307732914,16945.0477224741,-8446.48686128975,0.649925012534309,n/a,1.88753643258347,0.273052631578947,0.197473684210526,0.25,0.279473684210526,0.03,0.03,0.12,0.04,0.23,0.08,0.03,0.18,0.04,0.12,0.05,0.04
TN93+I,23,17152.2660196317,16971.7237304464,-8462.83277584716,0.651430123178396,n/a,1.89435725615933,0.273052631578947,0.197473684210526,0.25,0.279473684210526,0.03,0.04,0.12,0.05,0.24,0.05,0.05,0.19,0.05,0.12,0.03,0.04
