Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,12149.5344056546,12007.0649167164,-5983.48675153481,n/a,0.357071292907017,1.75158683576864,0.217209554831705,0.217209554831705,0.282790445168295,0.282790445168295,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G+I,21,12152.8031326515,12003.2147508928,-5980.55709246862,0.251791203008326,0.672321154852963,1.71141707063757,0.217209554831705,0.217209554831705,0.282790445168295,0.282790445168295,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,12173.5017755028,12016.794938314,-5986.34239132964,n/a,0.36204055347046,1.7306719275401,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.04,0.05,0.2,0.04,0.16,0.06,0.04,0.15,0.06,0.13,0.04,0.05
TN93+G,23,12176.2761931542,12012.4513380685,-5983.16557759076,n/a,0.362769916059922,1.74382713392936,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.04,0.05,0.16,0.04,0.19,0.06,0.04,0.18,0.06,0.11,0.04,0.05
HKY+G+I,23,12177.164673616,12013.3398185303,-5983.60981782166,0.241363925822835,0.657260914074106,1.69438880536214,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.04,0.05,0.2,0.04,0.16,0.06,0.04,0.15,0.06,0.13,0.04,0.05
TN93+G+I,24,12179.4940300453,12008.5515947386,-5980.21047347165,0.244075645789841,0.666099924665722,1.70562796782732,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.04,0.05,0.16,0.04,0.19,0.06,0.04,0.18,0.06,0.1,0.04,0.05
GTR+G,26,12185.2198235493,12000.0435414009,-5973.94532509443,n/a,0.361530692279749,1.76731375123094,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.03,0.07,0.17,0.03,0.19,0.04,0.06,0.18,0.06,0.11,0.03,0.05
GTR+G+I,27,12189.2932014706,11997.0006529874,-5971.41799149044,0.217400788103783,0.605848839659186,1.73485494231763,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.03,0.07,0.17,0.03,0.19,0.04,0.06,0.18,0.06,0.11,0.03,0.05
K2+G,19,12200.1156930924,12064.7655342221,-6013.34141781834,n/a,0.380040156365375,1.62472636025433,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,12202.3178721397,12059.8483832015,-6009.87848477737,0.273363063244865,0.785932885764437,1.59088774621707,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,12239.7723980665,12097.3029091283,-6028.60574774077,0.450680751204356,n/a,1.3971997802211,0.217209554831705,0.217209554831705,0.282790445168295,0.282790445168295,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+I,22,12267.9330341031,12111.2261969144,-6033.55802062982,0.448706862403215,n/a,1.37979788369653,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.05,0.05,0.18,0.04,0.15,0.06,0.04,0.14,0.06,0.12,0.05,0.05
TN93+I,23,12269.0450225065,12105.2201674208,-6029.54999226689,0.447654540186284,n/a,1.38581766455974,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.05,0.05,0.16,0.04,0.17,0.06,0.04,0.16,0.06,0.1,0.05,0.05
K2+I,19,12276.6071223678,12141.2569634975,-6051.58713245604,0.449519504938162,n/a,1.35176672792709,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+I,26,12285.5237203218,12100.3474381734,-6024.09727348067,0.445782168736791,n/a,1.39967669486695,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.04,0.07,0.16,0.03,0.17,0.05,0.05,0.16,0.07,0.1,0.04,0.06
JC+G+I,19,12413.7530041686,12278.4028452983,-6120.16007335643,0.322013445693308,1.16562657817652,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12414.3382633988,12286.1078717012,-6125.01672553615,n/a,0.427987948437877,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12466.5534390819,12338.3230473842,-6151.12431337768,0.446921348294847,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,12862.9249254026,12727.5747665323,-6344.74603397342,n/a,n/a,1.1861124422895,0.217209554831705,0.217209554831705,0.282790445168295,0.282790445168295,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR,25,12867.5987617912,12689.5391840826,-6319.69881677999,n/a,n/a,1.18966030339777,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.04,0.08,0.15,0.03,0.16,0.05,0.06,0.15,0.08,0.09,0.04,0.07
HKY,21,12876.2501546983,12726.6617729397,-6342.28060349205,n/a,n/a,1.18947178529265,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.05,0.06,0.17,0.04,0.14,0.07,0.04,0.13,0.07,0.11,0.05,0.06
TN93,22,12876.364027158,12719.6571899693,-6337.77351715728,n/a,n/a,1.19238169941099,0.198588490770901,0.235830618892508,0.255700325732899,0.309880564603692,0.05,0.06,0.15,0.04,0.16,0.07,0.04,0.15,0.07,0.1,0.05,0.06
K2,18,12877.4830890546,12749.252697357,-6356.58913836406,n/a,n/a,1.17665327512099,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,13044.7069103367,12923.596722774,-6444.76507156975,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
