Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,6236.34657468461,6108.34237658253,-3034.07720753494,n/a,0.487399678781439,1.70959791772469,0.214922048997773,0.214922048997773,0.285077951002227,0.285077951002227,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G+I,21,6243.47756268384,6109.0825990275,-3033.43789754419,0.197541403813119,0.846942715497931,1.69063826826223,0.214922048997773,0.214922048997773,0.285077951002227,0.285077951002227,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,6246.82379667803,6099.65001419588,-3026.70140656055,n/a,0.465880817963943,1.86167347903566,0.206013363028953,0.223830734966592,0.267706013363029,0.302449888641425,0.04,0.05,0.13,0.04,0.24,0.05,0.04,0.2,0.05,0.09,0.04,0.05
GTR+G,26,6248.93410331985,6082.59888242165,-3015.14214791035,n/a,0.47239701817617,1.83774090053314,0.206013363028953,0.223830734966592,0.267706013363029,0.302449888641425,0.01,0.07,0.13,0.01,0.24,0.04,0.05,0.2,0.07,0.09,0.03,0.07
TN93+G+I,24,6254.35858781953,6100.79675328074,-3026.26399814093,0.177217597620205,0.753087491571519,1.83832110600841,0.206013363028953,0.223830734966592,0.267706013363029,0.302449888641425,0.04,0.05,0.13,0.04,0.24,0.05,0.04,0.2,0.05,0.09,0.04,0.05
HKY+G,22,6255.84956566807,6115.06474034931,-3035.41909504593,n/a,0.488575969601468,1.70717319067019,0.206013363028953,0.223830734966592,0.267706013363029,0.302449888641425,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.14,0.06,0.13,0.04,0.05
GTR+G+I,27,6257.27057490461,6084.55002092182,-3015.10557971236,0.0725780421842548,0.559312695737678,1.83448693236943,0.206013363028953,0.223830734966592,0.267706013363029,0.302449888641425,0.01,0.07,0.13,0.01,0.24,0.04,0.05,0.2,0.07,0.09,0.03,0.07
HKY+G+I,23,6263.30594234821,6116.13215986607,-3034.94247939564,0.177997994225912,0.790389055353134,1.69064058452088,0.206013363028953,0.223830734966592,0.267706013363029,0.302449888641425,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.14,0.06,0.13,0.04,0.05
K2+G,19,6263.86306162173,6142.2505323591,-3052.04025499387,n/a,0.507479454458774,1.62970153970522,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,6271.52586835632,6143.52167025424,-3051.6668543708,0.172010112250927,0.808807649555124,1.61632710260061,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
