Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,32237.4435917223,32011.1961364838,-15978.5746060111,0.460808564806362,0.763809852941814,2.96780507612313,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.02,0.03,0.11,0.02,0.33,0.03,0.02,0.24,0.06,0.08,0.02,0.05
TN93+G+I,24,32246.8694576682,32045.7561361039,-15998.8594489674,0.45848431828363,0.725353351180448,3.01863033771316,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.02,0.03,0.11,0.03,0.33,0.04,0.03,0.24,0.04,0.08,0.02,0.03
GTR+G,26,32258.2513612528,32040.381826237,-15994.1691274375,n/a,0.227388320362645,2.94029357889656,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.01,0.03,0.11,0.02,0.32,0.03,0.02,0.24,0.06,0.08,0.02,0.05
TN93+G,23,32274.3756091865,32081.6405808279,-16017.8031613877,n/a,0.22305930552856,3.01835335128248,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.02,0.03,0.11,0.03,0.33,0.04,0.03,0.24,0.04,0.08,0.02,0.03
T92+G+I,21,32348.9041641162,32172.9260950706,-16065.4487121748,0.524391416029142,1.08990985734806,2.66198785882231,0.212899224806202,0.212899224806202,0.287100775193798,0.287100775193798,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,32371.5598193429,32203.9604163816,-16081.9671764492,n/a,0.221202933050655,2.60057371035661,0.212899224806202,0.212899224806202,0.287100775193798,0.287100775193798,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+I,26,32400.3241033477,32182.4545683319,-16065.2054984849,0.603881262608322,n/a,2.28322803944307,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.02,0.03,0.14,0.02,0.27,0.04,0.03,0.2,0.06,0.1,0.03,0.06
HKY+G+I,23,32414.2659880918,32221.5309597331,-16087.7483508403,0.52429422641742,1.07587585677982,2.73949554142125,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.03,0.04,0.22,0.03,0.2,0.04,0.03,0.15,0.04,0.17,0.03,0.04
HKY+G,22,32436.7112077172,32252.3545968687,-16104.1615973142,n/a,0.219742135675115,2.67381229309867,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.03,0.04,0.22,0.03,0.2,0.04,0.03,0.15,0.04,0.16,0.03,0.04
TN93+I,23,32452.3973877838,32259.6623594252,-16106.8140506863,0.599142248884253,n/a,1.89400091306798,0.22431007751938,0.201488372093023,0.27122480620155,0.302976744186047,0.03,0.05,0.11,0.04,0.27,0.05,0.04,0.2,0.05,0.08,0.03,0.05
