Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,6124.12065466301,5988.44312965759,-2973.12426070074,0.440384845592883,1.61966065230192,1.88886128865728,0.226205450733753,0.226205450733753,0.273794549266247,0.273794549266247,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,6128.99674892019,5999.77159658556,-2979.79735862127,n/a,0.323063510819305,1.98285915377376,0.226205450733753,0.226205450733753,0.273794549266247,0.273794549266247,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G+I,20,6136.61426860997,6007.38911627534,-2983.60611846616,0.441182318591671,1.71835899203413,1.81775936699659,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,6137.91938180557,6008.69422947094,-2984.25867506396,0.498096876615189,n/a,1.62833127486814,0.226205450733753,0.226205450733753,0.273794549266247,0.273794549266247,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,6138.57413101879,5983.54459079275,-2967.6458465028,0.421813782831471,1.40481504098924,1.99907811461046,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.04,0.04,0.13,0.04,0.24,0.05,0.04,0.22,0.05,0.09,0.04,0.04
TN93+G,23,6140.64724961235,5992.06753012363,-2972.91745659153,n/a,0.315858909077365,2.18159424232158,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.03,0.04,0.12,0.04,0.25,0.05,0.04,0.23,0.05,0.09,0.03,0.04
K2+G,19,6141.3563390319,6018.58440893814,-2990.21220446907,n/a,0.330912952356725,1.90665734836253,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G+I,27,6146.21584767112,5971.84195771102,-2958.76155245315,0.405353567306581,1.2532640492114,1.97885847937342,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.02,0.06,0.13,0.02,0.24,0.02,0.06,0.22,0.07,0.09,0.02,0.06
K2+I,19,6148.76368622281,6025.99175612904,-2993.91587806452,0.497392365595258,n/a,1.59302659732444,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G+I,23,6152.01140366491,6003.43168417619,-2978.59953361781,0.436352048400363,1.5407931967856,1.93645760889161,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.04,0.04,0.2,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.04
TN93+I,23,6156.01696508919,6007.43724560047,-2980.60231432995,0.492630565726788,n/a,1.63308823092832,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.04,0.05,0.14,0.04,0.2,0.06,0.04,0.19,0.06,0.1,0.04,0.05
HKY+G,22,6156.19016206174,6014.0611144925,-2984.92396360816,n/a,0.321810988930988,2.03308047827073,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.04,0.04,0.21,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.04
GTR+G,26,6158.52477060646,5990.59814460579,-2969.15106471276,n/a,0.349748447571407,1.67608388891257,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.02,0.06,0.14,0.02,0.21,0.05,0.06,0.19,0.07,0.1,0.04,0.05
HKY+I,22,6167.11621399717,6024.98716642794,-2990.38698957588,0.497512504972059,n/a,1.64392128202917,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.04,0.05,0.19,0.04,0.15,0.06,0.04,0.14,0.06,0.14,0.04,0.05
GTR+I,26,6167.68847016234,5999.76184416166,-2973.7329144907,0.49067854530469,n/a,1.6542179742574,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.02,0.06,0.14,0.03,0.2,0.04,0.06,0.19,0.08,0.1,0.03,0.06
JC+G+I,19,6267.77965694772,6145.00772685395,-3053.42386342698,0.455161101823515,2.75590495386631,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,6271.15793827813,6154.84007945884,-3059.34805488412,0.49423812083822,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,6275.47294512912,6159.15508630983,-3061.50555830962,n/a,0.371964916411532,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,6522.30792958824,6399.53599949447,-3180.68799974724,n/a,n/a,1.32046323259076,0.226205450733753,0.226205450733753,0.273794549266247,0.273794549266247,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93,22,6522.98124828865,6380.85220071941,-3168.31950672162,n/a,n/a,1.33321606177764,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.05,0.05,0.12,0.05,0.19,0.06,0.05,0.18,0.06,0.09,0.05,0.05
K2,18,6524.88074302152,6408.56288420223,-3186.20945725582,n/a,n/a,1.31870938977605,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR,25,6526.73834707808,6365.25983783515,-3157.49290374051,n/a,n/a,1.1757566081814,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.04,0.07,0.12,0.05,0.17,0.04,0.06,0.16,0.09,0.09,0.03,0.07
HKY,21,6548.9338607885,6413.25633578308,-3185.53086376349,n/a,n/a,1.31988064077185,0.229559748427673,0.222851153039832,0.241509433962264,0.306079664570231,0.05,0.05,0.17,0.05,0.14,0.07,0.05,0.13,0.07,0.13,0.05,0.05
JC,17,6630.37996154187,6520.51702249466,-3243.19411730794,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
