Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,30709.3037279902,30491.9558115279,-15218.945294255,0.320597143003086,1.52861386052634,2.17915675604224,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.02,0.05,0.11,0.02,0.26,0.03,0.04,0.21,0.06,0.11,0.03,0.06
TN93+G+I,24,30713.0651509315,30519.8607845509,-15235.9045134745,0.325308031104222,1.53070704995501,2.18802482368407,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.03,0.04,0.11,0.04,0.26,0.04,0.04,0.21,0.04,0.11,0.03,0.04
GTR+G,26,30738.6533433892,30529.3531040266,-15238.6462712041,n/a,0.483087978539106,2.25750339734803,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.02,0.05,0.11,0.02,0.27,0.03,0.04,0.21,0.06,0.11,0.02,0.06
TN93+G,23,30745.6146559222,30560.458485379,-15257.2054352195,n/a,0.470982972149104,2.28892945185255,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.03,0.04,0.11,0.04,0.27,0.04,0.04,0.21,0.04,0.11,0.03,0.04
T92+G+I,21,30796.250745687,30627.1914853997,-15292.5758186012,0.319482371529284,1.4430110871416,2.06228237517907,0.231688927186558,0.231688927186558,0.268311072813442,0.268311072813442,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G+I,23,30810.6522275628,30625.4960570197,-15289.7242210398,0.325062698515669,1.48843747177524,2.08187074940812,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.04,0.04,0.18,0.04,0.19,0.04,0.04,0.15,0.04,0.17,0.04,0.04
GTR+I,26,30815.7394946045,30606.4392552419,-15277.1893468118,0.412936233038442,n/a,1.91713349111087,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.02,0.05,0.12,0.03,0.24,0.04,0.04,0.19,0.06,0.11,0.03,0.06
T92+G,20,30819.4625061688,30658.4519602552,-15309.2078680917,n/a,0.477073582284484,2.12962904346559,0.231688927186558,0.231688927186558,0.268311072813442,0.268311072813442,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+I,23,30833.4575449746,30648.3013744315,-15301.1268797457,0.414524179287374,n/a,1.66093863158991,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.04,0.05,0.12,0.05,0.22,0.05,0.05,0.17,0.05,0.12,0.04,0.05
HKY+G,22,30836.1783280513,30659.0705262134,-15307.5134405337,n/a,0.474076637599657,2.15382814144281,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.03,0.04,0.18,0.04,0.19,0.04,0.04,0.15,0.04,0.17,0.03,0.04
K2+G+I,20,30854.2870231588,30693.2764772452,-15326.6201265867,0.319290829701121,1.50858796796179,2.00313334342326,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,30877.5161070813,30724.5544483421,-15343.2608377976,n/a,0.491509206508601,2.06544320619175,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,30911.0913480545,30750.0808021409,-15355.0222890346,0.418976862788426,n/a,1.84122909204942,0.231688927186558,0.231688927186558,0.268311072813442,0.268311072813442,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+I,22,30921.1111824888,30744.0033806509,-15349.9798677524,0.419710603952007,n/a,1.85907165916549,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.04,0.05,0.17,0.04,0.18,0.05,0.04,0.14,0.05,0.16,0.04,0.05
K2+I,19,30962.4087414322,30809.4470826929,-15385.707154973,0.417390950042958,n/a,1.80735582234336,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,31785.9440771627,31632.9824184235,-15797.4748228383,0.336469128076508,2.13917981727732,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,31819.3301625184,31674.4175637319,-15819.1940347658,n/a,0.558795548331002,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,31856.5126317601,31711.6000329736,-15837.7852693867,0.412358430396874,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,32136.3266056785,31935.0742163507,-15942.5090715984,n/a,n/a,1.40187479659907,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.04,0.06,0.12,0.05,0.2,0.04,0.05,0.16,0.07,0.11,0.03,0.08
TN93,22,32148.5610515058,31971.4532496679,-15963.704802261,n/a,n/a,1.57883329985451,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.04,0.05,0.12,0.05,0.22,0.05,0.05,0.17,0.05,0.11,0.04,0.05
T92,19,32234.2196283096,32081.2579695704,-16021.6125984117,n/a,n/a,1.56405162159712,0.231688927186558,0.231688927186558,0.268311072813442,0.268311072813442,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2,18,32245.5099655164,32100.5973667299,-16032.2839362648,n/a,n/a,1.56071568430957,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,32261.4160810077,32092.3568207204,-16025.1584862615,n/a,n/a,1.56477421207802,0.246402412753124,0.216975441619991,0.276346402412753,0.260275743214132,0.04,0.05,0.16,0.05,0.17,0.05,0.05,0.13,0.05,0.15,0.04,0.05
