Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8391.35002568283,8248.99224562582,-4103.42524217468,0.402961084025393,1.72613681846716,1.45331144145681,0.208868501529052,0.208868501529052,0.291131498470948,0.291131498470948,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G,20,8397.62050604317,8262.03551127287,-4110.95332857707,n/a,0.40053863186336,1.49420221558007,0.208868501529052,0.208868501529052,0.291131498470948,0.291131498470948,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,8404.01150220916,8241.33907387234,-4096.57744177116,0.393705380339409,1.56694371249163,1.51788521249566,0.21697247706422,0.200764525993884,0.282415902140673,0.299847094801223,0.04,0.05,0.13,0.04,0.23,0.06,0.04,0.16,0.06,0.09,0.04,0.05
TN93+G,23,8408.73541486005,8252.83391773528,-4103.33224431883,n/a,0.390164638626886,1.58135695506442,0.21697247706422,0.200764525993884,0.282415902140673,0.299847094801223,0.04,0.05,0.12,0.04,0.24,0.06,0.04,0.17,0.06,0.09,0.04,0.05
T92+I,20,8410.3928256213,8274.807830851,-4117.33948836614,0.475569339675735,n/a,1.32337829002715,0.208868501529052,0.208868501529052,0.291131498470948,0.291131498470948,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,8413.52112601499,8257.61962889022,-4105.72509989631,0.402473752133279,1.7124559668345,1.4563497215023,0.21697247706422,0.200764525993884,0.282415902140673,0.299847094801223,0.04,0.06,0.18,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.06
HKY+G,22,8419.75029508283,8270.62034747952,-4113.23253065245,n/a,0.399849235252387,1.49779292582069,0.21697247706422,0.200764525993884,0.282415902140673,0.299847094801223,0.04,0.06,0.18,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.06
TN93+I,23,8426.7268899071,8270.82539278232,-4112.32798184236,0.473787255027694,n/a,1.33961776890735,0.21697247706422,0.200764525993884,0.282415902140673,0.299847094801223,0.04,0.06,0.13,0.05,0.2,0.06,0.05,0.15,0.06,0.1,0.04,0.06
GTR+G+I,27,8428.60997748117,8245.62846821317,-4095.69814074049,0.391644300080148,1.53000882484467,1.51612908253002,0.21697247706422,0.200764525993884,0.282415902140673,0.299847094801223,0.05,0.05,0.13,0.05,0.23,0.05,0.04,0.16,0.06,0.09,0.03,0.06
K2+G+I,20,8431.8994244738,8296.3144297035,-4128.09278779239,0.408662185624853,2.08794266473296,1.33310628386745,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
